"-OR-","-YA DA-"
"Debug Mode","Hata Ayıklama Modu"
"Direct Payment API","Direkt Ödeme APIsi"
"Discount","İndirim"
"Display Express Checkout in the Payment Information step","Ödeme Bilgisi aşamasında Express Ödemeyi göster"
"Displays on catalog pages and homepage.","Katalog sayfalarında ve Ana sayfada gözükür."
"Dispute","Dispute"
"Don't have a PayPal account? Simply enter your email address.","PayPal hesabınız yok mu ? Sadece e-mail adresinizi girmeniz yeterli."
"Dynamic","Dinamik"
"EFT Funding (German banking)","EFT Ödemesi (Alman Bankaları için)"
"Edit Shopping Cart","Alışveriş Sepetini Düzenle"
"Email Address","Email Adresi"
"Email Associated with PayPal Merchant Account","Email Adresi PayPal Ticari Hesapla Bağlantılı"
"Email Associated with PayPal Merchant Account (Optional)","PayPal Aracı Hesabınızla İlişkili E-posta Adresi (isteğe bağlı)"
"Enable Automatic Fetching","Otomatik Almayı Etkinleştir"
"Enable Express Checkout","Hızlı Ödeme Yapılabilsin"
"Enable PayPal Guest Checkout","PayPal Misafir Ödemesini Etkinleştir"
"Enable Payflow Link","Payflow Link Kullanılsın"
"Enable SSL verification","SSL Doğrulaması Kullanılsın"
"Enable this Solution","Bu Çözüm Kullanılsın"
"Enabled","Açık"
"Event","Olay"
"Event Code","Olay Kodu"
"Every 10 days","Her 10 günde bir"
"Every 14 days","Her 14 günde bir"
"Every 3 days","Her 3 günde bir"
"Every 30 days","Her 30 günde bir"
"Every 40 days","Her 40 günde bir"
"Every 7 days","Her 7 günde bir"
"Exact Match. Address and Postal Code. International","Tam Eşleme. Adres ve Posta Kodu. Uluslararası"
"Exact Match. Address and Postal Code. UK-specific","Tam Eşleme. Adres ve Posta Kodu. Sadece İngiltere"
"Exact Match. Address and nine-digit ZIP code","Tam Eşleme. Adres ve 9 haneli Posta kodu"
"Express Checkout","Ekspres Ödeme"
"Express Checkout APIs","Ekspres Ödeme APIleri"
"Express Checkout and Order have been canceled.","Ekspres Ödeme ve Sipariş iptal edildi."
"Express Checkout has been canceled.","Ekspres Ödeme iptal edildi."
"Failed to fetch reports from '%s@%s'.","'%s@%s' adresinden raporlar alınamadı."
"Fax","Faks"
"Fee Amount","Ücret Toplamı"
"Fee Debit or Credit","Ücret Debit veya Kredi"
"Fee Reversal","Ücret Geri Ödeme"
"Fee: Foreign ACH Withdrawal","Ücret: Yabancı ACH Para Çekimi"
"Fee: Mass Pay Request","Ücret: Toplu Ödeme İsteği"
"Fee: Web Site Payments Pro Account Monthly","Ücret: Web Site Payments Pro Hesabı için Aylık Ücret"
"Fee: WorldLink Check Withdrawal","Ücret: WorldLink Çek ödemesi"
"Fetch","Al"
"Fetch Updates","Güncellemeleri Al"
"Fetched %s report rows from '%s@%s'.","%s raporu '%s@%s' konumundan alındı."
"For Virtual Quotes Only","Sadece Sanal Sepetler İçin"
"Frontend Experience Settings","Ön Sayfa Ayarları"
"Funding","Para Ekleme"
"General (Authorization)","Genel (Kimlik Onayı)"
"General (Dividend)","Genel (Pay)"
"General (Funds Transfer from PayPal Account to Another)","Genel (Bir PayPal hesabından diğerine Aktarılan Para)"
"General (Purchase with a credit card)","Genel (Kredi Kartıyla Ödeme)"
"General Adjustment without businessrelated event","Genel Ayarlama (işle alakalı olmayan bir olay nedeniyle)"
"General Currency Conversion","Genel Döviz Çevrimi"
"General Funding of PayPal Account ","Genel PayPal Hesabına Para Ekleme"
"General Redemption","Genel Geri Alma"
"General Withdrawal from PayPal Account","Genel Paypal Hesabından Para Çekme"
"General. Product no longer supported","Genel. Ürün desteklenmiyor"
"General: Use of PayPal account for purchasing as well as receiving payments","Genel: PayPal hesabının ödeme yapma ve para tahsilatı için kullanılması"
"General: Withdrawal from PayPal Account","Genel: Paypal Hesabından Para Çekme"
"General: Withdrawal to Non-Bank Entity","Genel: Banka olmayan bir kurum üzerinden Para Çekme"
"General: adjustment of a type not belonging to the other T12xx categories","Genel: Diğer T12xx kategorilerine ait olmayan tipte ayarlama"
"General: bonus of a type not belonging to the other T08xx categories","Genel: Diğer T08xx kategorilerine ait olmayan tipte kazanç"
"General: event not yet categorized","Genel: olay kategorize edilmedi"
"General: non-payment fee of a type not belonging to the other T01xx categories","Genel: Diğer T01xx kategorilerine ait olmayan tipte tahsilat komisyonu olmayan ücret"
"General: received payment of a type not belonging to the other T00xx categories","Genel: Diğer T00xx kategorilerine ait olmayan tipte yapılmış tahsilat"
"General: reversal of a type not belonging to the other T11xx categories","Genel: Diğer T11xx kategorilerine ait olmayan tipte ücret iadesi"
"General: temporary hold of a type not belonging to the other T15xx categories","Genel: Diğer T15xx kategorilerine ait olmayan tipte geçici askıya alma"
"Get Credentials from PayPal","Bilgileri PayPaldan al"
"Gift Certificate Payment: purchase of Gift Certificate","Hediye Çeki Ödemesi: Hediye Çeki satın alındı"
"Gift Certificate Redemption","Hediye Çeki Kurtarma"
"Gross Amount","Brüt Toplam"
"Header Background Color","Başlık Arka Plan Rengi"
"Header Border Color","Başlık Çerçeve Rengi"
"Header Image URL","Başlık Resim Adresi"
"Help","Yardım"
"Hidden Virtual PayPal Debit Card Transaction","Gizli Sanal Paypal Debit Kart İşlemi"
"Hold for Dispute Investigation","İhtilaf araştırması için Askıda"
"IPN ""%s"".","IPN ""%s""."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Boş bırakırsanız varsayılan değer kullanılır. Özel adres CardinalCommerce sözleşmesinin içinde yer almaktadır."
"If not specified, Default Country from General Config will be used","Eğer veri girmezseniz, ana ayarlardaki varsayılan ülke kullanılacaktır"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Bu seçenek aktifse, müşteri teslimat yöntemini ve teslimat adresini PayPal sitesindeyken değiştirebilir. Gerçek modda iken sadece HTTPS ile çalışır."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Hesabınızda birden çok kullanıcı yoksa, buraya Satıcı/Aracı oturum açma kullanıcı adınızı yazın."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Para tahsili işlemi olmayan bir işleme iade isteyemezsiniz."
"Incentive","İstek"
"Initiation Date","Davet Tarihi"
"Integral Evolution","Integral Evolution"
"Invoice ID","Fatura No"
"Issuer Liability","Kart Sağlayıcı Sorumluluğu"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Bu değeri her mağaza görünümü için ""Debit veya Kredi Kartı"" olarak ayarlamanız tavsiye edilir."
"It is recommended to set this value to ""PayPal"" per store views.","Bu değeri her mağaza görünümü için ""PayPal"" olarak ayarlamanız tavsiye edilir."
"Items in Your Shopping Cart","Sepetinizdeki Ürünler"
"Last Correlation ID","Son İlişki No"
"Last Transaction ID","Son İşlem No"
"Learn More","Daha Fazla Bilgi"
"Login","Giriş"
"Mass Pay Payment","Toplu Tahsilat İşlemi"
"Matched (CVV2)","Eşleşti (CVV2)"
"Matched (CVV2CSC)","Eşleşti (CVV2CSC)"
"Matched Address only (no ZIP)","Sadece Adres Eşleşti (Posta Kodu yok)"
"Matched Address only (no ZIP). International","Sadece Adres Eşleşti (Posta Kodu yok). Uluslararası"
"Matched Postal Code only (no Address)","Sadece Posta Kodu Eşleşti (Adres yok)"
"Matched five-digit ZIP only (no Address)","Sadece 5 haneli Posta Kodu Eşleşti (Adres yok)"
"Matched whole nine-didgit ZIP (no Address)","9 haneli Posta Kodu Eşleşti (Adres yok)"
"Merchant Account","Satıcı Hesabı"
"Merchant Country","Satıcı Ülkesi"
"Merchant Liability","Satıcı Sorumluluğu"
"Merchant Location","Aracı Konumu"
"Merchant Protection Eligibility","Satıcı Hak Sahipliği Koruması"
"Merchant Referral Bonus","Satıcı Referans Kazancı"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Satıcı A.B.D. dışı bir hesap kullanıyor ve para çekme imkanına sahip değil."
"Merchant reference ID format is not supported.","Satıcı Referans No biçimi desteklenmiyor."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Satıcılar müşteriden periyodik ödeme alabilmek için PayPal'dan bu özelliği açmak zorundadır. PayPal onay vermeden bu özelliği açmayınız."
"Mobile Payment (made via a mobile phone)","Mobil Ödeme (mobil telefon ile yapılır)"
"N/A","Yok"
"N/A. Address not checked, or acquirer had no response. Service not available","Yok. Adres kontrol edilmedi veya alıcı cevap vermedi. Hizmet kullanım dışı"
"N/A. Global Unavailable","Yok. Genel olarak Kullanım Dışı"
"N/A. International Unavailable","Yok. Uluslararası olarak Kullanım Dışı"
"N/A. Merchant has indicated that CVV2 is not present on card","Yok. Satıcı kart üzerinde CVV2 bilgisi olmadığını onayladı"
"N/A. No response","Yok. Cevap yok"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Yok. MOTO (Internet/Telefon) ödeme işlemlerine kapalı"
"N/A. Not processed","Yok. İşlenmedi"
"N/A. Retry","Yok. Yeniden deneyiniz"
"N/A. Service not Supported","Yok. Hizmet desteklenmiyor"
"N/A. Service not available","Yok. Hizmet kullanım dışı"
"N/A. Service not supported","Yok. Hizmet desteklenmiyor"
"N/A. The merchant did not provide AVS information","Yok. Satıcı AVS bilgisi sağlamıyor"
"N/A. The merchant has not implemented CVV2 code handling","Yok. Satıcı CVV2 kod kontrolünü sağlamıyor"
"N/A. Unavailable","Yok. Kullanım dışı"
"Negative Balance","Negatif Bakiye"
"Never","Asla"
"No","Hayır"
"No Details matched","Detaylar eşleşmedi"
"No Details matched. International","Detaylar eşleşmedi. Uluslararası"
"No Liability Shift","Sorumluluk yükseltmesi yok"
"No Logo","Logo Yok"
"No match","Eşleşme yok"
"None of the address information matched","Adres bilgisi eşleşmedi"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Hangi PayPal ödeme yöntemini kullanacağınızdan emin değilseniz, ayıntıları öğrenmek için <a href=""%s"" target=""_blank"">buraya</a> tıklayabilirsiniz."
"Note: %s","Not: %s"
"Nothing to fetch because of an empty configuration.","Ayar bilgileri boş olduğu için çekim yapılamıyor."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Eğer 10 taneden fazla teslimat seçeneği varsa PayPal bunların 10 taneden sonrasını kabul etmeyecektir. Magento bu seçeneklerden en ucuz 10 tanesini gönderecektir."
"Notified customer about creditmemo #%s.","#%s Müşteri alacak kaydı için müşteri bilgilendirildi."
"Notified customer about invoice #%s.","#%s fatura için müşteri bilgilendirildi."
"Now accepting PayPal (150 X 40)","PayPal ile ödeme yapabilirsiniz (150 X 40)"
"Now accepting PayPal (150 X 60)","PayPal ile ödeme yapabilirsiniz (150 X 60)"
"Number of Child Authorizations","Alt Doğrulama Sayısı"
"Open Authorization","Açık Kimlik Onayı"
"Order","Sipariş"
"Order ID","Sipariş No"
"Order Valid Period (days)","Sipariş Geçerlilik Süresi (gün)"
"Ordered amount of %s.","Sipariş toplamı %s."
"Ordering amount of %s is pending approval on gateway.","Sipariş toplamı %s ödeme sağlayıcısından onay bekliyor."
"Page Background Color","Sayfa Arka Plan Rengi"
"Page Style","Sayfa Biçimi"
"Part of the address information matched","Adres bilgisi kısmen eşleşti"
"Partner","Partner"
"Pasarela integral","Pasarela integral"
"Password","Şifre"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal hepsi bir arada ödeme çözümleri&nbsp;&nbsp;<i>PayPal ve kredi kartı ödemelerini alıp işleyin.</i>"
"PayPal Balance Manager function of PayPal account","PayPal hesabındaki PayPal Bakiye Yöneticisi Fonksiyonu"
"PayPal Billing Agreement Settings","PayPal Faturalama Anlaşması Ayarları"
"PayPal Buyer Warranty Bonus","PayPal Alıcı Garanti Kazancı"
"PayPal Debit Card Cash Advance","PayPal Debit Kart Ödeme İlerlemesi"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Kartı ile ATM den para çekme"
"PayPal Express Checkout","PayPal Ekspres Ödeme"
"PayPal Express Checkout Shortcut Wrapper","PayPal Ekspres Ödeme Kısayol Çerçevesi"
"PayPal Express Checkout Token does not exist.","PayPal Ekspres Ödeme anahtar bilgisi bulunamadı."
"PayPal Express Checkout is not enabled.","PayPal Hızlı Ödeme devre dışı."
"PayPal Express Order Review Form","PayPal Ekspres Sipariş Önizleme Formu"
"PayPal Fee Information","PayPal Ücret Bilgisi"
"PayPal Merchant Pages Style","PayPal Satıcı Sayfası Stili"
"PayPal Payment Gateways","PayPal Ödeme Geçitleri"
"PayPal Payment Solutions","PayPal Ödeme Çözümleri"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","PayPal Ürün Logosu"
"PayPal Protection Bonus","PayPal Koruma Kazancı"
"PayPal Reference ID","PayPal Referans No"
"PayPal Reference ID Type","PayPal Referans No Tipi"
"PayPal Settlement Reports","PayPal Ödeme Raporları"
"PayPal certificate does not exist.","PayPal sertifikası bulunamadı."
"PayPal certificate file is empty.","PayPal sertifika dosyası boş."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal sıfır toplamlı siparişleri desteklemez. Siparişinizi tamamlamak için normal alışveriş bitirme yöntemini kullanınız."
"PayPal gateway has rejected request. %s","PayPal sunucusu isteği reddetti. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal, manager.paypal.com sitesinden ek bir kullanıcı hesabı oluşturmanızı önerir."
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal, buraya yönetici kullanıcı adı ve parolanızı yazmanız yerine, manager.paypal.com sitesinden ek bir kullanıcı hesabı oluşturmanızı önerir. Bu uygulama güvenliği arttırır ve ileride parolanızı değiştirirseniz hizmet kesintilerini engeller. Yeni bir kullanıcı eklemek istemiyorsanız, buraya yeniden Aracı oturum açma bilgilerinizi yazabilirsiniz."
"PayPal response hasn't required fields.","PayPal cevabında gereken alanlar bulunamadı."
"PayPal retains reports for 45 days.","PayPal raporları 45 gün tutar."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Elektronik Ticaret Göstergesi"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Müşteri Kimlik Doğrulama Hizmeti Sonucu"
"Payer Address ID","Müşteri Adres No"
"Payer Address Status","Müşteri Adres Durumu"
"Payer Email","Müşteri E-Mail Adresi"
"Payer ID","Müşteri No"
"Payer Status","Müşteri Durumu"
"Payer is not identified.","Müşteri kimlik bilgisi alınamadı."
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (Hızlı Ödeme ile)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Hızlı Ödeme ile)"
"Payflow Pro and Express Checkout","Payflow Pro ve Hızlı Ödeme"
"Payment Action","Tahsilat İşlemi"
"Payment Applicable From","Ödeme Alabilecek Kişi/Firma"
"Payment Refund initiated by merchant","Ödeme iadesi satıcı tarafından başlatıldı"
"Payment has been declined. Please try again.","Ödeme kabul edilemedi. Lütfen tekrar deneyiniz."
"Payment transactions disallow storing objects.","Ödeme işlemleri nesneleri kaydetmeye izin vermiyor."
"Payments Advanced","Payments Advanced"
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Hızlı Ödeme ile)"
"Payments Pro (Includes Express Checkout)","Payments Pro (Hızlı Ödeme ile)"
"Payments Pro Hosted Solution","Payments Pro Barındırılan Çözüm"
"Payments Pro and Express Checkout","Payments Pro ve Hızlı Ödeme"
"Payments Standard","Payments Standard"
"Payments by PayPal (150 X 40)","PayPal ödemeleri (150 X 40)"
"Payments by PayPal (150 X 60)","PayPal ödemeleri (150 X 60)"
"Pending PayPal","PayPal Bekleniyor"
"Place Order","Siparişi Tamamla"
"Please agree to all the terms and conditions before placing the order.","Siparişi tamamlamadan önce kullanım koşullarını kabul etmeniz gerekiyor."
"Please do not refresh the page until you complete payment.","Lütfen ödeme işlemi tamamlanana kadar sayfayı yenilemeyiniz."
"Please re-enable the previously enabled payment solutions.","Lütfen önceden kullanılan ödeme çözümlerini yeniden etkinleştirin."
"Please select a shipping method...","Lütfen bir teslimat yöntemi seçiniz..."
"Please select region, state or province","Lütfen Bölge/Şehir/İlçe seçiniz"
"Please update order data to get shipping methods and rates","Teslimat yöntemleri ve fiyatlarının belirlenebilmesi için sipariş bilgilerini tamamlayınız"
"Points Incentive Redemption","Teşvik Puanı İadesi"
"Postage Payment to either USPS or UPS","USPS veya UPS için gönderim ücreti"
"Preapproved Payment (BillUser API), either sent or received","Ön Onaylı Ödeme (BillUser API), gönderildi veya alındı"
"Preapproved Payment ID","Ön Onaylı Ödeme No"
"Price","Fiyat"
"Pro","Pro"
"Process payments using your own internet merchant account.","Ödemeler kendi İnternet aracı hesabınız kullanılarak işlenir."
"Product Name","Ürün Adı"
"Proxy Host","Vekil Sunucu Adresi"
"Proxy Port","Vekil Sunucu Portu"
"Qty","Adet"
"Reauthorization","Yeniden Onaylama"
"Reference Information","Referans Bilgisi"
"Reimbursement for a chargeback.","Geri ödeme için geri ödeme."
"Reimbursement of Chargeback","Geri ödemenin iadesi"
"Report Date","Rapor Tarihi"
"Reports","Raporlar"
"Require CVV Entry","CVV Bilgisi iste"
