"%s %s cycle.","%s %s tekrar."
"--Please Select--","-- Lütfen Seçiniz --"
"Credit Card Number","Kredi Kart Numarası"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Kredi Kart Tipi"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Kredi Kart Tipleri"
"Credit card number mismatch with credit card type.","Kredi kartı numarası ile tipi eşleşmiyor."
"Credit card type is not allowed for this payment method.","Bu ödeme yöntemi için bu kredi kart tipine izin verilmiyor."
"Currency","Para Birimi"
"Currency code is undefined.","Para Birimi Kodu belirlenmedi."
"Customer ID is not set.","Müşteri numarası belirlenmedi."
"Day","Gün"
"Debug Mode","Hata Ayıklama Modu"
"Enabled","Aktif"
"Expiration Date","Son Kullanım Tarihi"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Periyodik ödemeye konu olan ürünü/hizmeti alan kişinin adı."
"Incorrect credit card expiration date.","Kredi kartı son kullanım tarihi hatalı."
"Initial Fee","Başlangıç Ücreti"
"Initial non-recurring payment amount due immediately upon profile creation.","Profil oluşturmadan hemen sonra periyodik olmayan ilk ödeme miktarı."
"Instructions","Talimatlar"
"Internal Reference ID","İç Referans No"
"Invalid Credit Card Number","Kredi Kartı Numarası Hatalı"
"Issue Number","Sayı"
"Make Check Payable to","Çek Alıcısı"
"Make Check payable to:","Çek Alıcısı:"
"Make Check payable to: %s","Çeki Şu İsme Kesiniz: %s"
"Maximum Billing Cycles","Periyodik ödeme için En Fazla Ödeme Sayısı"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Maximum Payment Failures","En Fazla Ödeme Hatası"
"Maximum Trial Billing Cycles","En Fazla Ödeme Denemesi"
"Merchant ID","Satıcı (Merchant) No"
"Minimum Order Total","En Düşük Sipariş Toplamı"
"Month","Ay"
"N/A","Yok"
"Name on Card","Kart Üzerindeki İsim"
"Name on the Card","Kart Üzerindeki İsim"
"Name on the Card: %s","Name on the Card: %s"
"New Order Status","Yeni Sipariş Durumu"
"Number of billing periods that make up one billing cycle.","Tek ödemeye çevrilecek periyod sayısı."
"Order action is not available.","Sipariş işlemi kullanılabilir değil."
"Overrides API URL that may be specified by a payment method.","Ödeme yöntemi tarafından belirlenen API URL adresini değiştirir."
"Password","Şifre"
"Payment ID: %s","Payment ID: %s"
"Payment Method","Ödeme Yöntemi"
"Payment Methods","Ödeme Yöntemleri"
"Payment Methods Section","Ödeme Yöntemleri Bölümü"
"Payment Reference ID","Ödeme Referans Numarası"
"Payment Services","Ödeme Hizmetleri"
"Payment from Applicable Countries","İzin Verilen Tüm Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçili Ülkelerden Tahsilat"
"Payment method code is not set.","Ödeme yöntemi kodu ayarlanmadı."
"Payment method code is undefined.","Ödeme yöntemi kodu ayarlanmadı."
"Payment profile is invalid:\n%s","Ödeme profili hatalı :\n%s"
"Period frequency is wrong.","Periyod sıklığı hatalı."
"Please enter a valid credit card verification number.","Lütfen geçerli bir kredi kartı numarası giriniz."
"Processor ID","İşleyici (Processor) No"
"Purchase Order","Direk Satınalma"
"Purchase Order Number","Sipariş Numarası"
"Purchase Order Number:","Direk Satınalma No:"
"Purchase Order Number: %s","Sipariş Numarası : %s"
"Recurring Profile Start Date","Periyodik Ödeme Başlangıç Tarihi"
"Recurring profile start date has invalid format.","Periyodik Ödeme Başlangıç Tarihi hatalı biçimde."
"Reference ID is not set.","Referans no ayarlanmadı."
"Refund action is not available.","İade işlemi kullanılabilir değil."
"Repeats %s time(s).","%s defa tekrarlanır."
"Repeats until suspended or canceled.","Beklemeye alınana veya iptal edilene kadar tekrarlanır."
"Request Card Security Code","Kart Güvenlik Numarası İste"
"Saved CC","Kaydedilmiş Kredi Kartı"
"Schedule Description","Zamanlama Açıklaması"
"Schedule description must be not empty.","Zamanlama açıklaması boş bırakılamaz."
"Selected payment type is not allowed for billing country.","Seçtiğiniz ödeme tipi fatura ülkesi için kullanılamaz."
"Send Check to","Çeki Göndereceğiniz Adres"
"Send Check to:","Çeki Göndereceğiniz Adres:"
"Severe 3D Secure Card Validation","Kesin 3D Secure Kart Doğrulaması"
"Severe validation removes chargeback liability on merchant.","Kesin doğrulama satıcının para iadesi oranını çok düşüren bir uygulamadır."
"Shipping Amount","Teslimat Ücreti"
"Short description of the recurring payment. By default equals to the product name.","Periyodik ödeme için kısa açıklama. Varsayılan değer ürün adıdır."
"Sort Order","Sıralama"
"Start Date","Başlangıç Tarihi"
"Start date has invalid format.","Başlangıç Tarihinin biçimi hatalı."
"Start date is undefined.","Başlangıç Tarihi belirlenmedi."
"Subscriber Name","Abone Adı"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Durum No"
"Switch/Solo/Maestro Only","Sadece Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Start Tarihi"
"Tax Amount","Vergi Toplamı"
"Test Mode","Test Modu"
"The date when billing for the profile begins.","Profil için ödeme oluşurma tarihi."
"The number of billing cycles for payment period.","Ödeme periyodu içindeki ödeme adedi."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Profil beklemeye alınmadan önce izin verilen ödeme hatası sayısı."
"The payment review action is unavailable.","Ödeme yorumlama işlemine izin verilmiyor."
"The requested Payment Method is not available.","Seçtiğiniz Ödeme Yöntemi kullanılamıyor."
"Title","Başlık"
"Trial Billing Amount","Deneme Süresi için Ücret"
"Trial Billing Frequency","Deneme Süresi Sıklığı"
"Trial Billing Period Unit","Deneme süresi periyod birimi"
"Trial Period","Deneme Süresi"
"Trial billing amount is wrong.","Deneme süresi ücreti hatalı."
"Trial billing period unit is wrong.","Deneme süresi periyod birimi hatalı."
"Trial period frequency is wrong.","Deneme süresi sıklığı hatalı."
"Trial period max cycles is wrong.","Deneme süresi periyod adedi hatalı."
"Two Weeks","İki hafta"
"Unable to save Billing Agreement:","Ödeme Sözleşmesi kaydedilemedi :"
"Unit for billing during the subscription period.","Abonelik süresince yapılacak ödemelerin birimi."
"Unsupported currency code: %s.","Desteklenmeyen para birimi : %s."
"Void action is not available.","İptal işlemi kullanılabilir değil."
"Week","Hafta"
"What is this?","Bu nedir ?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Başlangıç ücreti alınamadıysa profili durdur veya yapılmamış ödemelere ekle."
"Wrong %s specified.","Hatalı %s belirlendi."
"Wrong or empty billing amount specified.","Hatalı veya boş ücret toplamı belirtildi."
"Year","Yıl"
"Zero Subtotal Checkout","Sıfır Toplamla Alışveriş Sonu"
