"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"%s Item(s)","%s Kayıt"
"%s and above","%s ve aşağısı"
"Add new custom option into product","Ürüne özel seçenek ekle"
"Add new values into custom option","Özel seçeneklere değer ekle"
"Add option","Seçenek Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Additional Information","Ek Bilgi"
"Alert Urls","Alarm Adresleri"
"All","Hepsi"
"All Product Types","Tüm Ürün Tipleri"
"All Websites","Tüm Siteler"
"All products","All products"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Bu sete bağlı tüm ürünler silinecek! Bu özellik setini silmek istediğinizden emin misiniz ?"
"Allow All Products per Page","Her sayfada 'Tüm Ürünler' bağlantısını göster"
"Allow Dynamic Media URLs in Products and Categories","Ürün ve Kategoriler için dinamik medya URL'lerine izin ver"
"Allow HTML Tags on Frontend","Ön sayfada HTML etiketlerine izin ver"
"Allowed File Extensions","İzin Verilen Dosya Uzantıları"
"Allowed file extensions to upload","Dosya Yüklemede Izin Verilen Dosya Uzantıları"
"An error occurred while adding products to websites.","Websitelerine ürünler eklenirken hata oluştu."
"An error occurred while clearing comparison list.","Karşılaştırma listesi temizlenirken hata oluştu."
"An error occurred while deleting this review.","Yorum silinirken sorun oluştu."
"An error occurred while removing products from websites.","Web Sitelerinden ürün silerken hata oluştu."
"An error occurred while saving the URL rewrite","Adres Yeniden Yazımı kaydedilirken sorun oluştu"
"An error occurred while saving the attribute set.","Özellik seti kaydedilirken hata oluştu."
"An error occurred while saving the collection, aborting. Error message: %s","Koleksiyon kaydedilirken hata oluştu, işleme son veriliyor. Hata mesajı : %s"
"An error occurred while saving the product. ","Ürün kaydedilirken hata oluştu. "
"An error occurred while saving the search query.","Arama kelimesi kaydedilirken hata oluştu."
"An error occurred while saving this group.","Bu grup kaydedilirken hata oluştu."
"An error occurred while saving this review.","Yorum kaydedilirken sorun oluştu."
"An error occurred while trying to delete the category.","Kategori silinirken hata oluştu."
"An error occurred while updating the product(s) attributes.","Ürünlerin özellikleri güncellenirken hata oluştu."
"An error occurred while updating the product(s) status.","Ürünlerin durumu güncellenirken hata oluştu."
"An invalid group ID is specified, skipping the record.","Hatalı grup numarası, kayıt atlanıyor."
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s) için hatalı seçenek no belirlendi, kayıt atlanıyor."
"An invalid store was specified.","Hatalı mağaza seçimi yapıldı."
"Anchor Custom Text","Bağlantı Yazısı"
"Anchor Custom Title","Bağlantı Başlığı"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Sadece katalog ürünlerine ve kategorilerine etkilidir. Medya içerikleri editöre statik bir URL olarak girilir. Mağaza adresi değiştiğinde bu adresler değişmeyecektir."
"Apply MAP (Default Value)","Eşlemeyi Uygula (Varsayılan Değer)"
"Apply To","Uygula"
"Approved","Onaylandı"
"Are you sure you want to delete this category?","Bu kategoriyi silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove all products from your comparison?","Karşılaştırma listesindeki tüm ürünleri listeden silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove this item from the compare products?","Bu ürünü Karşılaştırma Listesinden silmek istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz ?"
"As low as:","En ucuz :"
"Assign","Ata"
"Assign product link","Ürün bağlantısı ata"
"Assign product to category","Ürünü kategoriye ata"
"Assigned Products","Atanmış Ürünler"
"Associated Products","Gruba Bağlı Ürünler"
"Attrib. Set Name","Özellik Seti Adı"
"Attribute ""%s"" is invalid.","Özellik ""%s"" hatalı."
"Attribute ""%s"" is required.","Özellik ""%s"" gerekli."
"Attribute Information","Özellik Bilgisi"
"Attribute Model","Özellik Modeli"
"Attribute Name:","Özellik Adı:"
"Attribute Set","Özellik Seti"
"Attribute Sets","Özellik Setleri"
"Attribute add","Özellik Ekle"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Özellik kodu hatalı. Lütfen bu alanda sadece harfler (a-z), rakamlar (0-9) veya alt çizgi (_) kullanınız, ilk karakter sadece harf olabilir."
"Attribute group with the \/name/\"" name already exists"""," \/name/\"" adında bir özellik grubu zaten var"""
"Attribute remove","Özellik Sil"
"Attribute with the same code already exists","Aynı kodu kullanan bir özellik zaten var"
"Attributes","Özellikler"
"Attrribute names can be specified per store.","Özellik adları her mağaza için ayrı belirtilmelidir."
"Autogenerate","Otomatik Oluştur"
"Availability:","Stok Durumu :"
"Back","Geri"
"Backend Model","Arka Uç Modeli"
"Backend Table","Arka Uç Tablosu"
"Backend Table Title","Arka Uç Tablo Başlığı"
"Backorders","İadeler"
"Based On","Şuna Bağlı"
"Before Order Confirmation","Sipariş Onayından Önce"
"Best Value","Kategori Sıralaması"
"Block after Info Column","Bilgi kolonundan sonra Blok"
"Bottom Block Options Wrapper","Alt Blok Seçenek Kutusu"
"Bottom/Left","Alt/Sol"
"Bottom/Right","Alt/Sağ"
"Browse By","Daralt"
"Bundle Items","Paket Ürünler"
"Buy %1$s","%1$s Al"
"Buy %1$s for","%1$s Al"
"Buy %1$s for %2$s","%1$s için %2$s öde"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s al, her biri için %2$s öde (Vergi Dahil %3$s)"
"Buy %1$s for %2$s each","%1$s al, her biri için %2$s öde"
"Cache Lifetime (Seconds)","Önbellek Süresi (Saniye)"
"Cache refresh needed.","Önbelleğin tazelenmesi gerekiyor."
"Can be Divided into Multiple Boxes for Shipping","Teslimat için 1 den fazla kutuya bölünebilir"
"Can be used only with catalog input type Dropdown","Sadece katalog girişi tipindeki Dropdown (açılır menü) ile kullanılır"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sadece katalog girişi tipindeki açılır menülerde, Çoklu Seçimlerde ve Fiyatta kullanılabilir"
"Can\'t create image.","Resim oluşturulamıyor."
"Cancel","İptal"
"Cannot create image.","Resim oluşturulamadı."
"Cannot create writeable directory '%s'.","'%s' klasörü yazdırılabilir olarak oluşturulamadı."
"Cart Item Attribute","Sepetteki ürün özelliği"
"Catalog","Katalog"
"Catalog Category (Anchor)","Katalog Kategorisi (Bağlantı)"
"Catalog Category (Non-Anchor)","Katalog Kategorisi (Bağlantı olmayan)"
"Catalog Category (Without Subcategories)","Katalog Kategorisi (Alt Kategorisi olmayan)"
"Catalog Category Link","Katalog Kategorisi Bağlantısı"
"Catalog New Products List","Katalog Yeni Ürünler Listesi"
"Catalog Price Scope","Katalog Fiyat Havuzu"
"Catalog Product Compare List","Katalog Karşılaştırılan Ürünler Listesi"
"Catalog Product Email to a Friend","Katalog Ürünü Arkadaşına Tavsiye Et"
"Catalog Product Image Gallery Popup","Katalog Ürün Resim Galerisi Kutusu"
"Catalog Product Link","Katalog Ürün Bağlantısı"
"Catalog Product View (Any)","Katalog Ürün Detayı (Herhangi Bir Ürün Tipi)"
"Catalog Product View (Configurable)","Katalog Ürün Detayı(Ayarlanabilir Ürün)"
"Catalog Product View (Grouped)","Katalog Ürün Detayı(Grup Ürün)"
"Catalog Product View (Simple)","Katalog Ürün Detayı(Basit Ürün)"
"Catalog Product View (Virtual)","Katalog Ürün Detayı(Sanal Ürün)"
"Catalog Section","Katalog Bölümü"
"Catalog Seo Sitemap (Category List)","Katalog Seo Site Haritası  (Kategori Listesi)"
"Catalog Seo Sitemap (Category Tree)","Katalog Seo Site Haritası  (Kategori Ağacı)"
"Catalog Seo Sitemap (Common)","Katalog Seo Site Haritası  (Genel)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Site Haritası  (Ürün Listesi)"
"Catalog URL Rewrites","Katalog Adres Yeniden Yazımı"
"Catalog product custom option values API","Ürün Özel Seçenek Değerleri APIsi"
"Catalog product custom options API","Ürün Özel Seçenekleri APIsi"
"Catalog, Search","Katalog, Arama"
"Categories","Kategoriler"
"Categories Sitemap","Kategorilerin Site Haritası"
"Category","Kategori"
"Category API","Kategori API si"
"Category Data","Kategori Verisi"
"Category Flat Data","Kategori Flat Tablosu "
"Category Link Block Template","Kategori Bağlantısı Blok Şablonu"
"Category Link Inline Template","Kategori Bağlantısı İç Şablonu"
"Category Products","Kategori Ürünleri"
"Category Top Navigation","Kategori Gezinmesi"
"Category URL Suffix","Kategori URL Soneki"
"Category attributes API","Kategori Özellikleri API si"
"Category move error","Kategori taşıma hatası"
"Category move error %s","Category move error %s"
"Category move operation is not possible: parent category is equal to child category.","Kategori taşıma işlemi yapılamıyor : üst kategori ile alt kategori aynı."
"Category move operation is not possible: the current category was not found.","Kategori taşıma işlemi yapılamıyor : mevcut kategori bulunamadı."
"Category move operation is not possible: the new parent category was not found.","Kategori taşıma işlemi mümkün değil : Yeni üst kategori bulunamadı."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori Mage_Catalog_Model_Category modelinin örneği olmalı."
"Center","Merkez"
"Change","Değiştir"
"Change or Retrieve attribute store view","Özellik görünümünü Gör/Değiştir"
"Change status","Durumu Değiştir"
"Check items to add to the cart or","Sepete eklenmek üzere ürün seçiniz veya "
"Choose an Option...","Birini seçiniz..."
"Clear All","Hepsini Temizle"
"Clear Price","Net Fiyat"
"Click for price","Fiyat için tıklayınız"
"Close Window","Pencereyi Kapat"
"Collapse All","Hepsini Toparla"
"Comma-separated.","Virgülle ayrılmış."
"Comparable","Karşılaştırılabilir"
"Comparable on Front-end","Ön sayfada Karşılaştırılabilir"
"Comparable on the Frontend","Ön Sayfada Karşılaştırılabilir"
"Compare","Karşılaştır"
"Compare Products","Ürünleri Karşılaştır"
"Conditions Combination","Durum Kombinasyonu"
"Configurable Product","Ayarlanabilir Ürün"
"Configurable Product Settings","Ayarlanabilir Ürün Ayarları"
"Configure Product","Ürünü Ayarla"
"Continue","Devam"
"Copy From Configurable","Ayarlanabilir Üründen Kopyala"
"Country/State","Ülke/Şehir"
"Create","Oluştur"
"Create (Upload)","Oluştur (Yükle)"
"Create Empty","Boş Oluştur"
"Create Permanent Redirect for URLs if URL Key Changed","URL değişince eski URL için kalıcı yönlendirme yap"
"Create Permanent Redirect for old URL","Eski adres için yönlendirme kaydı ekle"
"Create Product Settings","Ürün Ayarlarını Oluştur"
"Create Simple Associated Product","Basit Ürün Oluştur"
"Create attribute set based on another set","Başka bir özellik setinden yeni bir özellik seti oluştur"
"Create new attribute","Yeni özellik oluştur"
"Create new category","Yeni kategori Ekle"
"Create new product","Yeni Ürün Ekle"
"Cross-sells","Çapraz Satış"
"Currently Shopping by:","Mevcut Alışveriş :"
"Custom Design","Özel Tasarım"
"Custom Options","Özel Seçenekler"
"Custom options","Özel Seçenekler"
"Customer Group","Müşteri Grubu"
"Customers Reviews","Müşteri Yorumları"
"Customers Tagged Product","Müşteriler tarafından eklenen etiketler"
"Data Type for Saving in Database","Veritabanına kaydederken kullanılacak veri tipi"
"Date & Time Custom Options","Tarih & Saat Seçenekleri"
"Date Fields Order","Tarih Alanları Sıralaması"
"Date Subscribed","Eklendiği Tarih"
"Datetime","Tarih-Saat"
"Decimal","Ondalık"
"Declare attribute value saving scope","Özellik değeri kaydetme havuzunu belirtiniz"
"Default ""What's This"" Text Message","Default ""Bu Nedir"" Yazılı Mesajı"
"Default Popup Text Message","Varsayılan Açılır Pencere Mesajı"
"Default Price","Varsayılan Fiyat"
"Default Price Navigation Step","Ana Fiyat Gezinme Adımı"
"Default Qty","Varsayılan Adet"
"Default Values","Varsayılan Değerler"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ana para birimi havuzunu ayarlar (""Para Birimleri"" > ""Para Birimi Seçenekleri"" > ""Ana para birimi"")."
"Delete","Sil"
"Delete Attribute","Özelliği Sil"
"Delete Attribute Set","Özellik Setini Sil"
"Delete Category","Kategoriyi Sil"
"Delete Group Price","Grup Fiyatını Sil"
"Delete Option","Seçeneği Sil"
"Delete Row","Satır Sil"
"Delete Search","Aramayı Sil"
"Delete Selected Group","Seçili Grubu Sil"
"Delete Tier","Fiyat Kanalını Sil"
"Delete attribute","Özellik Sil"
"Delete category","Kategori Sil"
"Delete product","Ürün Sil"
"Depends on design theme","Temaya göre değişir"
"Design","Tasarım"
"Details","Detaylar"
"Disabled","Pasif"
"Disallowed file type.","İzin verilmeyen dosya tipi."
"Display Actual Price","Varolan Fiyatları Göster"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Fiyat aralığını tek bir fiyat olarak göster"
"Display Product Count","Ürün Sayısını Göster"
"Display Type","Display Type"
"Display in Suggested Terms","Tavsiye edilen deyimler kısmında göster"
"Double click on a group to rename it","Adını değiştirmek istediğiniz gruba tıklayınız"
"Double click on above image to view full picture","Tam boyutu görmek için yukarıdaki resme çift tıklayınız"
"Downloadable Information","İndirilebilir Ürün Bilgisi"
"Duplicate","Çoğalt"
"Duplicate website group price customer group.","Websitesi grup fiyatı için müşteri grubunu çoğalt."
"Duplicate website tier price customer group and quantity.","Müşteri grubu ve adete özel fiyat vermek için çoğalt."
"Duplicate website, country and state tax found.","Çift web sitesi, ülke ve bölge vergisi bulundu."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Örnek: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dinamik emir ayıklaması katalog performansını etkiler."
"Edit","Düzenle"
"Edit Attribute Set '%s'","Özellik setini düzenle '%s'"
"Edit Product Attribute","Ürün Özelliğini Düzenle"
"Edit Product Attribute ""%s""","Ürün özelliğini düzelt ""%s"""
"Edit Search","Aramayı Düzenle"
"Edit Search '%s'","Aramayı Düzenle '%s'"
"Edit Set Name","Set Adını Düzenle"
"Email","E-mail"
"Email to a Friend","Arkadaşına Tavsiye Et"
"Empty","Boş"
"Enable MAP","Eşlemeyi Aç"
"Enable Qty Increments","Adet Artırımlarını Aç"
"Enable WYSIWYG","WYSIWYG Editörü Aç"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enabled","Aktif"
"Error during retrieval of option value: %s","Seçenek değeri alınırken hata oluştu : %s"
"Exclude","Hariç Tut"
"Expand All","Hepsini Aç"
"Failed","Başarısız"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","%s adlı dosya kopyalanamadı. Varolmayan dosyaları içeren medyayı silip tekrar deneyiniz."
"Failed to move file: %s","Dosya taşınamadı : %s"
"Feature Products","Özel Ürünler"
"Field is not complete","Alan doldurulmadı"
"File options format is not valid.","Dosya seçenekleri biçimi geçersiz."
"File upload failed","Dosya yüklemede hata oluştu"
"Filter model name must be declared.","Filtre model adı belirlenmelidir."
"Filter must be an object. Please set correct filter.","Filtre bir nesne olmalıdır. Lütfen geçerli bir filtre ayarlayınız."
"Filterable (no results)","Filtrelenebilir (sonuçsuz)"
"Filterable (with results)","Filtrelenebilir (sonuçlu)"
"First Name","Adı"
"Fixed","Sabit"
"For internal use.","İç kullanım içindir."
"For the last time placed.","Son eklendiğinde."
"Frontend","Ön Sayfa"
"Frontend Model","Ön Sayfa Modeli"
"Frontend Properties","Ön Sayfa Özellikleri"
"Gallery","Galeri"
"General Information","Genel Bilgi"
"Get full information about attribute with list of options","Özellik hakkında seçenekleri dahil olmak üzere bilgi al"
"Get full information about custom option in product","Üründeki özel seçenekle ilgili bilgi al"
"Get list of available custom option types","Kullanılabilir özel seçenek tiplarini listele"
"Get list of non-default attributes by product type and attributes set","Varsayılan olmayan özelliklerin ( ürüne göre ) ve özellik setlerini listele"
"Get list of possible attribute types","Kullanılabilir özellik tiplerini listele"
"Get special price","Özel fiyatı al"
"Global","Genel"
"Globally Editable","Genel olarak Düzenlenebilir"
"Go to Home Page","Ana Sayfaya Git"
"Grid","Izgara"
"Group add","Grup Ekle"
"Group remove","Grup Sil"
"Grouped Product","Grup Ürünü"
"Groups","Gruplar"
"Home","Ana Sayfa"
"ID","No"
"ID: %s","No: %s"
"If empty, the Category Name will be used","Eğer boşsa, kategori adı kullanılır"
"If empty, the Product Name will be used","Boş bırakırsanız ürün adı kullanılır"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Bir mağaza için özel bir değer belirlemezseniz varsayılan değer uygulanacaktır."
"Image","Resim"
"Image content is not valid base64 data.","Resim içeriği geçerli base64 verisi değil."
"Image does not exist.","Resim bulunamıyor."
"Image file was not found.","Resim dosyası bulunamadı."
"Image type and information need to be specified for each store view.","Resim tipi ve bilgisi her mağaza için ayrı belirlenmeli."
"In Cart","Sepette"
"In Stock","Stokta var"
"In stock","Stokta var"
"Incl. Tax","Vergi Dahil"
"Index product and categories URL rewrites","Ürün ve Kategoriler için adres yeniden yazımı bilgisini indeksle"
"Index product attributes for layered navigation building","Katmanlı Gezinme için ürün özelliklerini indeksle"
"Index product prices","Ürün fiyatlarını indeksle"
"Indexed category/products association","Kategori/Ürün eşleşmesi indekslendi"
"Info","Bilgi"
"Info Column Options Wrapper","Bilgi Kolonu Seçenek Çerçevesi"
"Input Type","Giriş Tipi"
"Integer","Sayısal"
"Interval Division Limit","Aralık Bölünme Limiti"
"Invalid Tier Prices","Hatalı Kanal Fiyatı"
"Invalid attribute %s","Hatalı özellik %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","%s (%s) özelliği için hatalı özellik seçeneği seçildi, kayıt atlanıyor."
"Invalid attribute set specified, skipping the record.","Hatalı özellik seti belirtildi, kayıt atlanıyor."
"Invalid block: %s.","Hatalı blok : %s."
"Invalid category IDs.","Hatalı kategori numaraları."
"Invalid category.","Hatalı kategori."
"Invalid image file type.","Hatalı resim dosyası tipi."
"Invalid image type.","Hatalı resim tipi."
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s) için seçenek belirtildi, kayıt atlanıyor."
"Invalid product type specified, skipping the record.","Hatalı ürün tipi seçildi, kayıt atlanıyor."
"Invalid store specified","Hatalı mağaza seçimi"
"Invalid store specified, skipping the record.","Hatalı mağaza seçimi yapıldı, kayıt atlanıyor."
"Invalid tier prices. The product is not associated to the requested website.","Hatalı kanal fiyatı. Bu ürün istediğiniz mağaza ile ilişkili değil."
"Inventory","Envanter"
"Is Default","Varsayılan"
"Is Required","Zorunlu"
"Items %s to %s of %s total","Ürünler %s - %s / Toplam %s "
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda ve aramada görünmesini istemediğiniz ürünlerin durumu 'Pasif' olmalıdır."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda veya ürün aramalarında gözükmesini istemediğiniz ürünler için istediğiniz mağazada 'Kapalı' seçiniz."
"Keep your eyes open for our special Back to School items and save A LOT!","Gözünüzü açın kampanyaları yakalayın!"
"Label","İsim"
"Last Name","Soyad"
"Last Notification","Son Bildirim"
"Layered Navigation","Katmanlı Gezinme"
"Learn More","Daha Fazla Bilgi"
"Line %d, Email: %s","Satır %d, Email: %s"
"Line %d, SKU: %s","Satır %d, Ürün Kodu: %s"
"Link (Related, Up sell, Cross sell)","Bağlantı (İlişkili, Üst Satış, Çapraz Satış)"
"Link product does not exist.","Bağlı ürün bulunamıyor."
"Link to a Specified Category","Belirlenen kategoriyle ilişkilendir"
"Link to a Specified Product","Belirlenen ürünle ilişkilendir"
"List","Liste"
"List Mode","Liste Modu"
"List of Products that are set as New","Yeni olarak işaretlenecek ürün listesi"
"List of types","Tipleri listele"
"Manage Attribute Sets","Özellik Setlerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Catalog Categories","Katalog Kategorilerini Yönet"
"Manage Categories","Kategorileri Yönet"
"Manage Label / Options","İsim / Seçenek Yönetimi"
"Manage Options (values of your attribute)","Seçenekleri Yönet (özelliklerin değerleri)"
"Manage Product Attributes","Ürün Özelliklerini Yönet"
"Manage Product Sets","Ürün Setlerini Yönet"
"Manage Products","Ürünleri Yönet"
"Manage Stock","Stok Yönetimi"
"Manage Titles (Size, Color, etc.)","Başlıkları Yönet (Boyut, Renk, vs.)"
"Max Characters","En fazla karakter"
"Maximal Depth","En yüksek derinlik"
"Maximum Image Size","En Yüksek Resim Boyutu"
"Maximum Number of Price Intervals","İzin verilen en fazla Fiyat aralıkları adedi"
"Maximum Qty Allowed in Shopping Cart","Bir sipariş için izin verilen en çok adet"
"Maximum allowed image size for '%s' is %sx%s px.","'%s', izin verilen resim dosyası boyutlarından büyük. %sx%s px."
"Maximum image height","En Yüksek Resim Boyu"
"Maximum image width","En Yüksek Resim Eni"
"Maximum number of characters:","İzin verilen en fazla karakter sayısı :"
"Maximum number of price intervals is 100","İzin verilen en fazla Fiyat aralıkları adedi 100 dür"
"Media Image","Resim"
"Minimum Advertised Price","Açıklanan En Düşük Fiyat"
"Minimum Lines per Page","Sayfa başı en az satır sayısı"
"Minimum Qty Allowed in Shopping Cart","Bir Sipariş İçin İzin Verilen En Az Adet"
"Minimum Qty for Item\'s Status to be Out of Stock","Ürünün stokta yok gözükmesi için gerekli adet"
"Missing SKU, skipping the record.","SKU ( Ürün Kodu ) bilgisi bulunamadı, kayıt atlanıyor."
"More Views","Diğer Görünümler"
"Move","Taşı"
"Move category in tree","Kategoriyi ağaç içinde taşı"
"Must be in the allowed values list.","İzin verilen değerler listesinde olmalıdır."
"N/A","Yok"
"Name","Adı"
"Name in %s","Adı %s"
"New Product","Yeni Ürün"
"New Product Attribute","Yeni Ürün Özelliği"
"New Products","Yeni Ürünler"
"New Products Grid Template","Yeni Ürünler Izgara Görünümü"
"New Products List Template","Yeni Ürünler Liste Görünümü"
"New Root Category","Yeni Kök Kategori"
"New Search","Yeni Arama"
"New Set Name","Yeni Set Adı"
"New Subcategory","Yeni Alt Kategori"
"New products","New products"
"Next","Sonraki"
"No","Hayır"
"No image","Resim yok"
"No layout updates","Yapısal güncelleme yok"
"No options of this product are available.","Bu ürün için seçenekler yok."
"No product collections found.","Hiç ürün koleksiyonu bulunamadı."
"None","Yok"
"Not Visible Individually","Görünmez"
"Notify Low Stock RSS","Düşük Stok RSS Akışı"
"Notify for Quantity Below","Düşük Ürün Adedi Uyarısı"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Gösterilecek Ürün Sayısı"
"Number of Uses","Kullanım Sayısı"
"Number of results","Sonuç sayısı"
"Number of results (For the last time placed)","Sonuç sayısı (Son eklendiğinde)"
"OK","Tamam"
"OR","VEYA"
"Old Price:","Eski fiyat :"
"On Gesture","Hareket anında"
"Option validation failed to add product to cart.","Ürün sepete eklenirken seçenek doğrulama hatası oldu."
"Option values","Seçenek değerleri"
"Option:","Seçenek:"
"Options","Seçenekler"
"Options Control","Seçenek Kontrolü"
"Options is required","Seçenek gerekli"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Müşteri destek sistemimize ulaşmak için iletişim sayfamıza bakınız."
"Out of Stock","Stokta Yok"
"Out of stock","Stokta yok"
"PM","ÖS"
"Page Title Separator","Sayfa Başlık Ayracı"
"Parent Category","Üst Kategori"
"Pending","Beklemede"
"Pending Reviews RSS","Bekleyen Yorumlar RSS Akışı"
"Percentage","Yüzde"
"Please add rows to option.","Seçeneğe satır ekle."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Lütfen dikkatli olunuz. Bu satıra bir kere tıkladığınızda seçili dosyadan veriler yüklenecek, kaydedilmemiş verileriniz kaybolacaktır."
"Please click on the Close Window button if it is not closed automatically.","Eğer otomatik kapanmazsa Pencereyi Kapat butonuna basınız."
"Please enter a new group name","Yeni bir Grup Adı giriniz"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a static block ...","Lütfen bir statik blok seçiniz..."
"Please select items.","Lütfen kayıtları seçiniz."
"Please select one or more attributes.","Lütfen bir veya daha fazla özellik seçiniz."
"Please select product(s).","Lütfen ürünleri seçiniz."
"Please select products for attributes update","Lütfen özellikleri güncellenecek ürünleri seçiniz"
"Please specify date required option(s).","Lütfen tarih seçeneklerini belirleyiniz."
"Please specify the number of products, that will not be divided into subintervals.","En küçük bölünme limiti için ürün sayısını belirtiniz."
"Please specify the product required option(s)","Lütfen gerekli olan ürün seçeneklerini seçiniz"
"Please specify the product required option(s).","Lütfen üründe gerekli seçenekleri belirleyiniz."
"Please specify the product\'s option(s).","Lütfen ürün seçeneklerini belirleyiniz."
"Please specify the product\'s required option(s).","Lütfen ürünün zorunlu seçeneklerini belirleyiniz."
"Please specify the quantity of product(s).","Lütfen ürün adedini belirleyiniz."
"Please specify time required option(s).","Lütfen zaman gereken seçenekleri belirleyiniz."
"Please wait...","Lütfen bekleyiniz..."
"Position","Konum"
"Position in Layered Navigation","Katmanlı Gezinmedeki Pozisyonu"
"Position of attribute in layered navigation block","Özelliğin Katmanlı Gezinme Menüsündeki Yeri"
"Prev","Önceki"
"Previous","Önceki"
"Price","Fiyat"
"Price Navigation Step Calculation","Fiyat Gezinmesi Adım Hesaplaması"
"Price Type","Fiyat Tipi"
"Price is not available","Fiyat Bulunamadı"
"Price values for options should be specified in system base currency.","Ürün Seçeneklerinin ücretlendirilmesi sistemde kullanılan varsayılan para birimi ile yapılmalıdır."
"Price:","Fiyat :"
"Price: %s","Fiyat : %s"
"Print This Page","Bu sayfayı Yazdır"
"Product","Ürün"
"Product API","Ürün API si"
"Product Alerts","Ürün Alarmları"
"Product Attribute","Ürün Özelliği"
"Product Attributes","Ürün Özellikleri"
"Product Categories","Ürün Kategorileri"
"Product Description","Ürün Açıklaması"
"Product Extra Info","Ekstra Ürün Bilgisi"
"Product Flat Data","Ürün için Düz Katalog Verisi"
"Product ID","Ürün No"
