"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","""%s"" özelliği kullanılarak yapılan %d Kuponları iptal edildi."
"%s Coupon(s) have been generated","%s adet kupon üretildi"
"Actions","İşlemler"
"Products subselection","Ürün alt-seçimi"
"Promotions","Promosyonlar"
"Public In RSS Feed","RSS Akışında genel kullanıma açık"
"Quantity in cart","Sepetteki adet"
"Row total in cart","Sepetteki satır toplamo"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Rule is not defined","Kural ayarlanmadı"
"Sales Discount Amount","İndirim Toplamı"
"Sales Subtotal Amount","Ara Toplam"
"Sales Total Amount","Genel Toplam"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Shipping Country","Kargo ülkesi"
"Shipping Method","Kargo yöntemi"
"Shipping Postcode","Kargo posta kodu"
"Shipping Region","Kargo bölgesi"
"Shipping State/Province","Kargo şehir"
"Shopping Cart Price Rule","Alışveriş Sepeti Fiyat Kuralı"
"Shopping Cart Price Rules","Alışveriş Sepeti Fiyat Kuralları"
"Special Price","Özel Fiyat"
"Specific Coupon","Özel Kupon"
"Status","Durum"
"Stop Further Rules Processing","Önceki Kuralların Çalışmasını Durdur"
"Store View Specific Labels","Mağaza Görünümüne Özel Adlar"
"Subtotal","Ara toplam"
"Subtotal Amount","Ara Toplam"
"The rule has been deleted.","Kural silindi."
"The rule has been saved.","Kural kaydedildi."
"This rule no longer exists.","Kural bulunamıyor."
"Times Used","Kullanım Sayısı"
"To Date","Bitiş Tarihi"
"To Fixed Value","Sabit değere"
"To Percentage","Yüzdeye"
"Total","Toplam"
"Total Amount","Toplam Ödenecek"
"Total Items Quantity","Ürünün sepetteki miktarına"
"Total Weight","Toplam Ağırlık"
"Unable to create requested Coupon Qty. Please check settings and try again.","İstenen adette kupon üretilemedi. Lütfen ayarları kontrol ederek tekrar deneyiniz."
"Unable to find a rule to delete.","Silmek istediğiniz kural bulunamadı."
"Update prices using the following information","Aşağıdaki bilgiyi kullanarak fiyatları güncelle"
"Update product's %s %s: %s","Ürünleri güncelle %s %s: %s"
"Update the Product","Ürünü Güncelle"
"Use Auto Generation","Otomatik Üret"
"Used","Kullanıldı"
"Uses per Coupon","Kupon başı Kullanım Sayısı"
"Uses per Customer","Müşteri başı Kullanım Sayısı"
"Website","Web Sitesi"
"Websites","Web Siteleri"
"Wrong rule specified.","Hatalı kural seçimi."
"Yes","Evet"
"total amount","toplam ücret"
"total quantity","toplam adet"
