"%s","%s的"
"Product Type","產品類型"
"Product URL","產品網址"
"Product Website","產品網站"
"Product and Custom Options Name","產品和自定選項名稱"
"Qty","數量"
"Qty Increments","數量遞增"
"Qty Uses Decimals","數量使用小數"
"Qty for Item's Status to Become Out of Stock","為項目的狀態數量，成為缺貨"
"REST - Attributes","REST的 - 屬性"
"REST - Roles","REST的 - 角色"
"REST ACL Attributes","休息ACL屬性"
"REST Attributes","REST的屬性"
"REST Role","REST的作用"
"REST Roles","REST的角色"
"REST Roles Information","REST的角色信息"
"Read","閱讀"
"Refunded Qty","退還數量"
"Regular Price With Tax","稅務原價"
"Regular Price Without Tax","定期不含稅價格"
"Rest Roles","其餘角色"
"Retrieve","取回"
"Role ""%s"" no longer exists","角色，""%s""的""不再存在"""
"Role ""%s"" not found.","角色，""%s""的""未找到。"""
"Role API Resources","角色的API資源"
"Role Info","角色信息"
"Role Information","角色信息"
"Role Name","角色名稱"
"Role Users","角色的用戶"
"Role has been deleted.","角色已被刪除。"
"Roles","角色"
"SKU","的SKU"
"Salability Status","暢銷狀態"
"Sales","銷售"
"Save","保存"
"Shipped Qty","發運數量"
"Shipping Amount","航運量"
"Shipping Discount","航運折扣"
"Shipping Including Tax","航運含稅"
"Shipping Method","運送方法"
"Shipping Tax","送貨稅"
"State","州"
"Stock Availability","存貨"
"Stock ID","股票代號"
"Stock Item","庫存產品"
"Stock Status","庫存情況"
"Store Currency to Order Currency Rate","儲存貨幣訂購貨幣匯率"
"Store Name","商店名稱"
"Street","街頭"
"Subtotal","小計"
"Subtotal Including Tax","小計含稅"
"System","系統"
"Tax Amount","稅額"
"Tax Name","稅名"
"Tax Percent","稅收的百分比"
"Tax Rate","稅率"
"The ""enable_qty_increments"" field must be set to 0 or 1.","enable_qty_increments""""欄位必須設置為0或1。"""
"The ""is_decimal_divided"" field must be set to 0 or 1.","必須，""is_decimal_divided""""欄位設置為0或1。"""
"The ""is_in_stock"" field must be set to 0 or 1.","is_in_stock""""欄位必須設置為0或1。"""
"The ""is_qty_decimal"" field must be set to 0 or 1.","is_qty_decimal""""欄位必須設置為0或1。"""
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","is_qty_decimal""""欄位必須設置為0，1或2。"""
"The ""manage_stock"" field must be set to 0 or 1.","manage_stock""""欄位必須設置為0或1。"""
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","stock_status_changed_auto""""欄位必須設置為0或1。"""
"The ""use_config_backorders"" field must be set to 0 or 1.","use_config_backorders""""欄位必須設置為0或1。"""
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","use_config_enable_qty_inc""""欄位必須設置為0或1。"""
"The ""use_config_manage_stock"" field must be set to 0 or 1.","use_config_manage_stock""""欄位必須設置為0或1。"""
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","use_config_max_sale_qty""""欄位必須設置為0或1。"""
"The ""use_config_min_qty"" field must be set to 0 or 1.","use_config_min_qty""""欄位必須設置為0或1。"""
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","use_config_min_sale_qty""""欄位必須設置為0或1。"""
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","use_config_notify_stock_qty""""欄位必須設置為0或1。"""
"The ""use_config_qty_increments"" field must be set to 0 or 1.","use_config_qty_increments""""欄位必須設置為0或1。"""
"The attribute rules were saved.","保存的屬性規則。"
"The role has been saved.","已保存的作用。"
"The role is a special one and not for assigning it to admin users.","這個角色是一個特殊的和沒有為它分配給管理員用戶。"
"Total Due","共有由於"
"Total Paid","共支付"
"Total Refunded","共有退款"
"Total Reviews Count","總評論計數"
"Type","類型"
"URL","網址"
"Update","更新"
"Use Config Settings for Allow Gift Message","使用配置設置為允許禮品消息"
"Use Config Settings for Allow Gift Wrapping","允許使用禮品包裝配置設置"
"Use Config Settings for Backorders","使用配置設置為允許缺貨"
"Use Config Settings for Enable Qty Increments","使用配置設置啟用數量遞增"
"Use Config Settings for Manage Stock","使用配置設置，管理庫存"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","使用購物車中允許的最大數量的配置設置"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","使用購物車在允許的最低數量的配置設置"
"Use Config Settings for Notify for Quantity Below","使用的數量通知下面的配置設置"
"Use Config Settings for Qty Increments","使用配置設置的數量遞增"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","用於項目的狀態配置設置成為缺貨數量"
"User Type","用戶類型"
"User type ""%s"" no longer exists","用戶類型%s""的""不再存在"""
"User type ""%s"" not found.","用戶類型，""%""""未找到。"""
"Web Services","Web服務"
"Web services","Web服務"
"Write","寫"
"ZIP/Postal Code","郵政編碼/郵遞區號"
