"%s","%s"
"%s already exist.","%s 已存在。"
"%s already exists.","%s 已存在。"
"-- Please Select --","-- 請選擇 --"
"Before modifying the store view code please make sure that it is not used in index.php.","請在修改商店視圖代碼前，確認它沒有在 index.php 中使用。"
"Before modifying the website code please make sure that it is not used in index.php.","請在修改網站代碼前，確認它沒有在 index.php 中使用。"
"Block with name ""%s"" already exists","擁有名稱""%s""的區塊已存在"
"Browser Capabilities Detection","瀏覽器功能檢測"
"CSS Settings","CSS 設置"
"Cache Storage Management","緩存存儲管理"
"Cache storage may contain additional data. Are you sure that you want flush it?","緩存存儲可能包含額外數據。您確認要清空它嗎？"
"Can not create invoice. Order was not found.","無法建立發票。未找到訂單。"
"Can't retrieve request object","無法獲取請求對象"
"Can\'t retrieve entity config: %s","無法獲取實體配置：%s"
"Cancel","取消"
"Cannot complete this operation from non-admin area.","無法從非管理員區域完成該操作。"
"Card type does not match credit card number.","信用卡類型與信用卡號不匹配。"
"Code","代碼"
"Controller file was loaded but class does not exist","控制器文件已載入，但類不存在"
"Cookie Domain","Cookie域"
"Cookie Lifetime","Cookie壽命"
"Cookie Path","Cookie路徑"
"Cookie Restriction Mode","Cookie的限制模式"
"Copyright","版權所有"
"Core","Core"
"Countries Options","國家選項"
"Country","國家"
"Create Store","建立店舖"
"Create Store View","建立店舖視圖"
"Create Website","建立網站"
"Credit card number does not match credit card type.","信用卡編號與信用卡類型不匹配。"
"Current Package Name","當前包名稱"
"Custom Admin Path","自定管理路徑"
"Custom Admin URL","自定管理 URL"
"Custom Design","自定設計"
"Custom Email 1","自定郵件1"
"Custom Email 2","自定郵件2"
"Custom Variables","自定變數"
"Custom1 Contact Email","CUSTOM1聯繫電郵"
"Custom1 Contact Name","CUSTOM1聯繫人姓名"
"Custom2 Contact Email","CUSTOM2聯繫電郵"
"Custom2 Contact Name","CUSTOM2聯繫人姓名"
"Customer Support","客戶支持"
"Dashboard","儀表板"
"Date From","日期自"
"Date To","日期至"
"Date/time format ""%s"" is not supported.","日期/時間格式 ""%s"" 不被支持。"
"Debug","偵錯"
"Default","預設"
"Default Country","預設國家"
"Default Description","預設描述"
"Default Keywords","預設關鍵字"
"Default No-route URL","預設非路由URL"
"Default Pages","預設頁面"
"Default Robots","預設機器人"
"Default Store","預設店舖"
"Default Store View","預設店舖視圖"
"Default Title","預設標題"
"Default Web URL","預設網站 URL"
"Delete","刪除"
"Delete Store","刪除店舖"
"Delete Store View","刪除店舖視圖"
"Delete Website","刪除網站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","刪除 %1$s 並不能刪除關聯給 %1$s 的資訊（例如分類、產品等），但 %1$s 將無法被還原。建議首先建立數據庫備份，然後再刪除 %1$s。"
"Design","設計"
"Design Change","設計更改"
"Developer","開發人員"
"Developer Client Restrictions","開發人員客戶端閒置"
"Disable Email Communications","禁用電子郵件通訊"
"Disable Modules Output","禁用模塊輸出"
"Display Demo Store Notice","顯示預覽店舖通知"
"Duplicate Of Template Name","範本名稱副本"
"Edit Design Change","編輯設計變動"
"Edit Store","編輯店舖"
"Edit Store View","編輯店舖視圖"
"Edit Website","編輯網站"
"Empty identifier field name","標識符欄位名為空"
"Empty main table name","主表名為空"
"Enable Charts","啟用圖表"
"Enabled","已啟用"
"Enabled for Admin","啟用管理"
"Enabled for Frontend","為前端啟用"
"Environment Update Time","環境更新時間"
"Error in file: ""%s"" - %s","文件中出錯：""%s"" - %s"
"European Union Countries","歐洲聯盟國家"
"Exceptions Log File Name","例外日誌文件名"
"Favicon Icon","Favicon圖標"
"File %s does not exist","文件 %s 不存在"
"File %s is not readable","文件 %s 不可讀"
"File not found","文件未找到"
"File system","文件系統"
"File with an extension ""%value%"" is protected and cannot be uploaded","與擴展""%值%的文件被保護，不能上傳"""
"First Day of Week","每週第一天"
"Flush Cache Storage","清理緩存存儲"
"Flush Magento Cache","清理Magento緩存"
"Footer","腳注"
"Forgot Password Email Sender","忘記密碼電子郵件發送"
"Forgot Password Email Template","忘記密碼郵件範本"
"General","基本"
"General Contact","常規聯繫人"
"General Contact Email","一般聯絡電郵"
"General Contact Name","一般聯繫人姓名"
"General Settings","常規設置"
"Get info about current Magento installation","獲取有關當前Magento安裝的詳細信息"
"Global","全球"
"HTML Head","HTML頭"
"HTML tags are not allowed","不允許HTML標籤"
"Header","頭部"
"Host","主機"
"How many links to display at once.","一次顯示多少連結。"
"ID Path for Specified Store","特定商店的 ID 路徑"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","如果當前框架位置無法涵蓋最大的頁面，將呈現連結到當前位置並加/減該數值。"
"Incorrect credit card expiration date.","錯誤的信用卡到期日。"
"Input type ""%value%"" not found in the input types list.","輸入類型""%value%""無法在輸入類型列表中找到。"
"Invalid URL '%value%'.","無效的URL'%值%。"""
"Invalid base url type","無效的基礎 URL 類型"
"Invalid block name to set child %s: %s","無效的區塊名稱來設置 %s: %s"
"Invalid block type: %s","無效的區塊類型：%s"
"Invalid block: %s","無效的區塊：%s"
"Invalid connection","無效的連接"
"Invalid layout update handle","無效的佈局更新句柄"
"Invalid messages storage ""%s"" for layout messages initialization","對佈局消息初始化中無效的消息存儲""%s"""
"Invalid query","無效的查詢"
"Invalid transactional email code: ","無效的交易電子郵件代碼："
"Invalid website\'s configuration path: %s","無效的網站配置路徑：%s"
"JavaScript Settings","JavaScript 設置"
"Layout","佈局"
"Leave empty for access from any location.","從任何位置訪問留空。"
"List of stores","店鋪名單"
"Locale","區域"
"Locale Options","區域選項"
"Log Settings","日誌設置"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","登錄自 Mage::log()。文件位於 {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","登錄自 Mage::logException()。文件位於 {{base_dir}}/var/log"
"Login is Case Sensitive","登錄資訊大小寫敏感"
"Logo Image","徽標圖像"
"Logo Image Alt","備選徽標圖像"
"Logo Image Src","徽標圖像Src"
"Magento info","Magento的信息"
"Magento info API","Magento的API的檔案"
"Mail Sending Settings","郵件發送設置"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","確保基本URL以""/""（斜線）結尾，例如http://yourdomain/magento/"
"Manage Stores","管理店舖"
"Match expressions in the same order as displayed in the configuration.","匹配的表達式將以與配置相同的順序顯示出來。"
"Media Storage","媒體存儲"
"Merge CSS Files","合併CSS文件"
"Merge JavaScript Files","合併JavaScript文件"
"Miscellaneous HTML","HTML雜項"
"Miscellaneous Scripts","雜項腳本"
"Model collection resource name is not defined.","模塊集合資源名未定義。"
"Module ""%1$s"" cannot depend on ""%2$s"".","模塊""%1 $ S""不能依賴於%2 $ S""。"""
"Module ""%1$s"" requires module ""%2$s"".","模塊 ""%1$s"" 需要模塊 ""%2$s""。"
"Name","名稱"
"New Design Change","新設計變動"
"New Store","新店鋪"
"New Store View","新店鋪視圖"
"New Website","新網站"
"No","否"
"Offloader header","Offloader頭部"
"PHP SOAP extension is required.","PHP SOAP擴展是必需的。"
"Package","包裹"
"Pagination","輪換"
"Pagination Frame","輪換框架"
"Pagination Frame Skip","跳過輪換框架"
"Parent directory does not exist: %s","父目錄不存在：%s"
"Path ""%value%"" is not available and cannot be used.","路徑 ""%value%"" 不可用，因此無法使用。"
"Path ""%value%"" is protected and cannot be used.","路徑 ""%value%"" 受保護，無法使用。"
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","路徑 ""%value%"" 可能不包含父目錄遍歷 (""../"", ""..\\)."""
"Please define flag code.","請定義旗幟代碼。"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","請輸入六個或更多字符。開頭或結尾處的空格會被忽略。"
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","請輸入至少7個字符。密碼應包含數字與字母。"
"Please enter a number 0 or greater in this field.","請在該欄位中輸入數字0或更大值。"
"Please enter a number 1 or greater in this field.","請輸入一個數字1或在這一領域。"
"Please enter a number greater than 0 in this field.","請在該欄位中輸入大於0的數字。"
"Please enter a number lower than 100.","請輸入不超過100個數字。"
"Please enter a valid $ amount. For example $100.00.","請輸入有效的金額，例如$100.00。"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","請輸入有效的 URL 密鑰。例如， ""example-page""、""example-page.html""，或 ""anotherlevel/example-page""。"
"Please enter a valid URL. For example http://www.example.com or www.example.com","請輸入有效的URL，例如http://www.example.com 或 www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","請輸入有效URL。協議名是必須的（http://、https://，或ftp://）"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","請輸入有效的XML標識符。例如，類似something_1、block5、id-4。"
"Please enter a valid credit card number.","請輸入有效的信用卡卡號。"
"Please enter a valid credit card verification number.","請輸入有效的信用卡驗證碼。"
"Please enter a valid date between %s and %s","請在 %s 與 %s 之間輸入有效日期。"
"Please enter a valid date equal to or greater than %s","請輸入等於或大於 %s 的有效日期"
"Please enter a valid date less than or equal to %s","請輸入小於或等於 %s 的有效日期"
"Please enter a valid date.","請輸入有效日期"
"Please enter a valid day (1-%d).","請輸入有效天數（1-%d）。"
"Please enter a valid email address. For example johndoe@domain.com.","請輸入有效郵件地址。例如johndoe@domain.com。"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","請輸入有效傳真號碼，例如 (123) 456-7890 或 123-456-7890。"
"Please enter a valid full date","請輸入有效完整日期"
"Please enter a valid month (1-12).","請輸入有效月份（1-12）。"
"Please enter a valid number in this field.","請在此區域輸入有效的數字。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","請輸入有效的電話號碼。例如 (123) 456-7890 或 123-456-7890。"
"Please enter a valid social security number. For example 123-45-6789.","請輸入有效社會安全號碼，例如123-45-6789。"
"Please enter a valid year (1900-%d).","請輸入有效年份（1900-%d）。"
"Please enter a valid zip code.","請輸入有效的郵政編碼。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","請輸入有效郵編，例如90602或90602-1234。"
"Please enter issue number or start date for switch/solo card type.","請輸入Switch/Solo類卡的頒發號或開始日期。"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","請輸入有效 CSS長度。例如， 100px 或 77pt 或 20em 或 .5ex 或 50%。"
"Please make sure your passwords match.","請確保密碼匹配。"
"Please select State/Province.","請選擇州/省。"
"Please select a file","請選擇一個文件"
"Please select an option.","請選擇一個選項。"
"Please select one of the above options.","請選擇上列選項中的一個。"
"Please select one of the options.","請選擇下列一個選項。"
"Please set available and/or protected paths list(s) before validation.","請設置有效並/或受保護的路徑列表，隨後再驗證。"
"Please specify either a category or a product, or both.","請指定分類或產品，或兩者都指定。"
"Please use letters only (a-z or A-Z) in this field.","在該欄位中請只使用字母（a-z或A-Z）"
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","請在該欄位中只使用數字。請不要使用空格或其它字符，例如句點或逗號。"
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","該欄位中請只使用字母（a-z 或 A-Z）或數字（0-9），不能使用空格或其它字符。"
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","該欄位中只能使用字母（a-z 或 A-Z）或數字（0-9）或空格，或 # 。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","請使用字母（az或AZ），數字（0-9）或下劃線（_），在這方面，第一個字符必須是字母。"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","該欄位中請只使用字母（a-z）、數字（0-9）以及下劃線（_），第一個字符應為字母。"
"Please use only visible characters and spaces.","請只使用可見字符和空格。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","請使用這樣的日期格式：dd/mm/yyyy。例如17/03/2006代表2006年3月17日。"
"Please wait, loading...","請稍候，正在載入..."
"Polls","投票"
"Port (25)","端口（25）"
"Profiler","設定檔"
"Recovery Link Expiration Period (days)","恢復連結的有效期限（天）"
"Request Path for Specified Store","特殊店舖的請求路徑"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","所請求的文件可能沒有包含在父目錄遍歷中 (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","請求了無效店舖 ""%s"""
"Resource is not set.","資源未設置。"
"Retrieve info about current Magento installation","當前Magento安裝檢索信息"
"Retrieve store data","獲取店鋪資料"
"Retrieve store list","獲取店鋪列表"
"Return-Path Email","返回路徑郵件"
"Root Category","根分類"
"Sales Representative","銷售代表"
"Sales Representative Contact Email","銷售代表聯絡電郵"
"Sales Representative Contact Name","銷售代表聯繫人姓名"
"Save","保存"
"Save Store","保存店舖"
"Save Store View","保存店舖視圖"
"Save Website","保存網站"
"Search Engines Optimization","搜索引擎優化"
"Secure","安全"
"Security","安全"
"Select Date","選擇日期"
"Select Media Database","選擇媒體數據庫"
"Sender Email","發送人郵件"
"Sender Name","發送人名稱"
"Services","服務"
"Session Cookie Management","會話Cookie管理"
"Session Lifetime (seconds)","會話壽命（秒）"
"Session Validation Settings","會話驗證設置"
"Set Return-Path","設置返回路徑"
"Set as Default","設置為預設值"
"Skin (Images / CSS)","皮膚（圖片/CSS）"
"Sort Order","排序順序"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定的日期/時間 ""%1$s"" 不符合格式 ""%2$s""。"
"Start date cannot be greater than end date.","開始日期不能大於結束日期。"
"Startup Page","啟動頁面"
"Status","狀態"
"Storage Configuration for Media","媒體的存儲配置"
"Store","店舖"
"Store API","店舖 API"
"Store Contact Address","店舖聯繫人地址"
"Store Contact Information","店舖聯繫人資訊"
"Store Contact Telephone","店舖聯繫人電話號碼"
"Store Email Addresses","店舖電子郵件地址"
"Store Information","店舖資訊"
"Store Name","店舖名稱"
"Store View","店舖視圖"
"Store View Information","店舖視圖資訊"
"Store View Name","店舖視圖名稱"
"Store view doesn't exist","店舖視圖不存在"
"Store with the same code","具有相同代碼的商店"
"System","系統"
"System Log File Name","系統日誌文件名"
"Template Path Hints","模版路徑提示"
"Template Settings","範本設置"
"Template Variables","模版變數"
"Templates","範本"
"Text length does not satisfy specified text range.","文本長度不符合指定的文本長度範圍。"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","您輸入的 %s 無效。請確保使用了類似 ""http://domain.com/"" 的格式。"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","商店代碼只可包含字母 (a-z)，數字 (0-9) 或下劃線 (_)，首字符必須為字母"
"The store does not exist","商店不存在"
"The store has been deleted.","商店已被刪除。"
"The store has been saved.","商店已保存。"
"The store view has been deleted.","商店視圖已被刪除。"
"The store view has been saved","商店視圖已保存"
"The template Name must not be empty.","範本名稱不能為空。"
"The value is not within the specified range.","數值不在指定範圍內。"
"The website does not exist.","網站不存在。"
"The website has been deleted.","網站已被刪除。"
"The website has been saved.","網站已保存。"
"Themes","主題"
"This category and all its child elements","該類別和其全部子元素"
"This category and its child categories only","僅支持該分類與其子分類"
"This category and its products only","僅支持該分類與其產品"
"This category only","僅支持該分類"
"This date is a required value.","該日期為必需值。"
"This is a required field.","這是必填區域。"
"This store cannot be deleted.","該商店無法被刪除。"
"This store view cannot be deleted.","商店視圖無法被刪除。"
"This website cannot be deleted.","該網站無法被刪除。"
"This will be displayed just before body closing tag.","這將在正文結束標記前顯示。"
"This will be included before head closing tag in page HTML.","這將在 HTML 頁面頭部結束標記前被包含。"
"Timezone","時區"
"Title Prefix","標題前綴"
"Title Suffix","標題尾碼"
"Transactional Emails","業務往來email"
"Translate Inline","翻譯內嵌"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","對於前端和管理員內嵌翻譯，翻譯區塊和其它輸出緩存應被禁用。"
"Translations","翻譯"
"Two and more slashes together are not permitted in request path","兩個或更多斜槓在請求的路徑中不被允許"
"Two and more slashes together are not permitted in url rewrite suffix","兩個或更多斜槓在 URL 重寫尾碼中不被允許"
"Unable to create directory: %s","無法建立目錄：%s"
"Unable to delete store view. Please, try again later.","無法刪除商店視圖。請稍後重試。"
"Unable to delete store. Please, try again later.","無法刪除商店。請稍後重試。"
"Unable to delete website. Please, try again later.","無法刪除網站。請稍後重試。"
"Unable to proceed. Please, try again","無法繼續。請重試"
"Unable to proceed. Please, try again.","無法處理。請重試。"
"Unable to save file ""%s"" at ""%s""","無法保存文件 ""%s"" 中的 ""%s"""
"Unable to save file: %s","無法保存文件：%s"
"Unknown old style column type definition: {$definition}.","未知的舊式列類型定義：{$definition}。"
"Unknown scope ""%s"".","未知範圍  ""%s""。"
"Unsecure","不安全"
"Url Options","URL 選項"
"Use Custom Admin Path","使用自定管理員路徑"
"Use Custom Admin URL","使用自定管理 URL"
"Use HTTP Only","僅使用HTTP"
"Use SID on Frontend","在前端使用 SID"
"Use Secure URLs in Admin","在管理介面使用安全URL"
"Use Secure URLs in Frontend","在前端使用安全 URL"
"Use Web Server Rewrites","使用網路伺服器重寫"
"VAT Number","增值稅號碼"
"Validate HTTP_USER_AGENT","驗證 HTTP_USER_AGENT"
"Validate HTTP_VIA","驗證 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","驗證 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","驗證 REMOTE_ADDR"
"Validation has failed.","驗證失敗。"
"Values less than 60 are ignored. Note that changes will apply after logout.","忽略小於60的值。請注意更改將在登出後生效。"
"Variable Code must be unique.","變數代碼必須是唯一的。"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","警告！不建議在生產環境中啟用該功能，因為可能帶來潛在的安全隱患。"
"Web","Web"
"Website","網站"
"Website Information","網站資訊"
"Website Name","網站名稱"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","網站代碼只能包含字母（a到z）、數字（0到9）或下劃線（_），且第一個字符必須是字母。"
"Website with the same code","使用相同代碼的網站"
"Weekend Days","週末"
"Welcome Text","歡迎資訊"
"Wrong file info format","錯誤的文件資訊格式"
"Wrong number of arguments for %s","%s 的參數有誤"
"Wrong old style column type definition: {$definition}.","定義的老式欄目類型有誤： {$definition}。"
"Yes","是"
"You will have to log in after you save your custom admin path.","保存您的自定管理路徑後，您需要重登錄。"
"Your design change for the specified store intersects with another one, please specify another date range.","您對指定商店設計的更改和另一個有交叉，請重新指定日期範圍。"
"database ""%s""","數據庫 ""%s"""
