"-OR-","-或-"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","可用的值： ""paypal""、""primary"" （預設值）、your_custom_value（您的帳戶設定檔中包含的一種自定支付頁面樣式）。"
"Allowed Credit Card Types","允許的信用卡類型"
"Also affects mini-shopping cart.","同時會影響迷你購物車。"
"Ask Customer","詢問顧客"
"Attempted Authentication, Bad Result","嘗試身份驗證，結果有誤"
"Attempted Authentication, Good Result","嘗試身份驗證，結果正常"
"Auction Payment other than through eBay","eBay之外的其他拍賣支付"
"Authenticated, Bad Result","已身份驗證，結果有誤"
"Authenticated, Good Result","已身份驗證，結果正常"
"Authorization","授權"
"Authorization Honor Period (days)","授權有效期限（天）"
"Authorization transaction is required to void.","授權的交易必須無效。"
"Authorized amount of %s.","授權額度 %s"
"Authorizing amount of %s is pending approval on gateway.","授權額度 %s 正等待網關的審批。"
"Auto","自動"
"AutoSweep","自動清理"
"Available Balance","可用餘額"
"Balance Manager Account Bonus","餘額管理器帳戶點數"
"Basic Settings - PayPal Express Checkout","基本設置 -  PayPal快速結帳"
"Basic Settings - PayPal Integral Evolution","貝寶積分的嬗變 - 基本設置"
"Basic Settings - PayPal Pasarela integral","基本設置 - 貝寶Pasarela積分"
"Basic Settings - PayPal Payflow Link","基本設置 - 貝寶Payflow鏈接"
"Basic Settings - PayPal Payflow Pro","基本設置 - 貝寶Payflow臨"
"Basic Settings - PayPal Payments Advanced","基本設置 -  PayPal付款高級"
"Basic Settings - PayPal Payments Pro","基本設置 - 臨PayPal付款"
"Basic Settings - PayPal Payments Pro Hosted Solution","基本設置 - 臨託管解決方案PayPal付款"
"Basic Settings - PayPal Payments Standard","基本設置 - 標準PayPal付款"
"Basic Settings - PayPal Pro","基本設置 - 貝寶臨"
"Basic Settings - PayPal Website Payments Plus","基本設置 - 貝寶網站付款加"
"Basic Settings - PayPal Website Payments Pro","基本設置 - 貝寶網站付款專業版"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","貝寶網站付款專業的託管解決方案 - 基本設置"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","貝寶網站付款專業Payflow版 - 基本設置"
"Basic Settings - PayPal Website Payments Standard","基本設置 - 貝寶網站付款標準"
"Billing Address","賬單地址"
"Billing Agreement Signup","結算協議Signup"
"Bonus for first ACH Use","首次使用ACH獎勵"
"Both section above must be complete. ","兩個以上的部分必須是完整的。 "
"Buyer Credit Payment","買家信用支付"
"Buyer\'s Tax ID","Buyer\'s Tax ID"
"Buyer\'s Tax ID Type","Buyer\'s Tax ID Type"
"By default it is ""reports.paypal.com"".","預設為""reports.paypal.com""。"
"CNPJ","CNPJ"
"CPF","CPF"
"CVV Entry is Editable","血液濾過條目是編輯"
"CVV2 Check Result by PayPal","PayPal的CVV2檢查結果"
"Can not send new order email.","無法發送新的訂單郵件。"
"Cannot create target file for reading reports.","無法為閱讀的報告建立目標文件。"
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel 自定 API URL"
"Charge-off","收取"
"Chargeback","退款"
"Chargeback by customer.","由客戶退款。"
"Checkout with PayPal","使用PayPal結賬"
"Choose a secure bundled payment solution for your business.","選擇為您的企業的安全捆綁的支付解決方案。"
"City","城市"
"Click here if you are not redirected within 10 seconds...","點擊這裡，如果你沒有在10秒內重定向..."
"Close","關閉"
"Company","公司"
"Completion Date","完成日期"
"Configure","配置"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","連接與PCI兼容的網關，它可以讓用戶無需離開您的網站支付您的商家帳戶。"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","連接您的商家帳戶，完全可定制的網關，它可以讓用戶無需離開您的網站支付。"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","正在連接到PayPal SFTP伺服器獲取新報告。您是否確定要處理？"
"Continue","繼續"
"Countries Payment Applicable From","各國支付可用情況表單"
"Country","國家"
"Coupon Redemption","代金券兌換"
"Credit","信用"
"Credit Card Settings","信用卡設置"
"Currency Conversion required to cover negative balance","貨幣轉換需要考慮餘額負值"
"Custom","自定"
"Custom Endpoint Hostname or IP-Address","自定端點主機名或IP地址"
"Custom Path","自定路徑"
"Customer Information","客戶信息"
"Customer complaint.","客戶投訴。"
"Customer did not include a confirmed address.","客戶並未提供確認的地址。"
"Customer triggered a money-back guarantee.","客戶觸發了返款保證。"
"Daily","每天"
"Debit","藉記"
"Debit Card Cash Back","藉記卡返現"
"Debit Card Transaction","藉記卡交易"
"Debit or Credit","藉記卡或信用卡"
"Debug Mode","偵錯模式"
"Direct Payment API","直接支付API"
"Discount","折扣"
"Display Express Checkout in the Payment Information step","顯示快速結帳付款信息步驟"
"Displays on catalog pages and homepage.","顯示在分類頁和首頁"
"Don't have a PayPal account? Simply enter your email address.","還沒有PayPal帳戶？直接輸入您的電子郵件地址。"
"Dynamic","動態"
"EFT Funding (German banking)","EFT返款（德國銀行）"
"Edit Shopping Cart","編輯購物車"
"Email Address","電郵地址"
"Email Associated with PayPal Merchant Account","關聯給PayPal銀行帳戶的電子郵件地址"
"Email Associated with PayPal Merchant Account (Optional)","貝寶商家帳戶（可選）相關聯的電子郵件"
"Enable Automatic Fetching","啟用自動獲取"
"Enable Express Checkout","啟用快速結帳"
"Enable PayPal Guest Checkout","啟用PayPal來賓結賬"
"Enable Payflow Link","啟用Payflow鏈接"
"Enable SSL verification","啟用SSL驗證"
"Enable this Solution","啟用此解決方案"
"Enabled","已啟用"
"Event","事件"
"Event Code","事件代碼"
"Every 10 days","每10天"
"Every 14 days","每14天"
"Every 3 days","每3天"
"Every 30 days","每30天"
"Every 40 days","每40天"
"Every 7 days","每7天"
"Exact Match. Address and Postal Code. International","完全匹配。地址和郵編。國際"
"Exact Match. Address and Postal Code. UK-specific","完全匹配。地址和郵編。僅限英國"
"Exact Match. Address and nine-digit ZIP code","完全匹配，地址和九位郵編"
"Express Checkout","快速結賬"
"Express Checkout APIs","快速結賬API"
"Express Checkout and Order have been canceled.","快速結賬且訂單已取消。"
"Express Checkout has been canceled.","快速結賬已被取消。"
"Failed to fetch reports from '%s@%s'.","從 '%s@%s'獲取報告失敗。"
"Fax","傳真"
"Fee Amount","費率"
"Fee Debit or Credit","藉記卡或信用卡費用"
"Fee Reversal","撤銷手續費"
"Fee: Foreign ACH Withdrawal","費用：外國ACH撤銷"
"Fee: Mass Pay Request","費用：批量付款請求"
"Fee: Web Site Payments Pro Account Monthly","費用：專業帳戶月度網站支付"
"Fee: WorldLink Check Withdrawal","費用：WorldLink支票撤銷"
"Fetch","獲取"
"Fetch Updates","獲取更新"
"Fetched %s report rows from '%s@%s'.","從'%s@%s'獲取 %s 報告。"
"For Virtual Quotes Only","僅對於虛擬行情"
"Frontend Experience Settings","前端體驗設置"
"Funding","退款"
"General (Authorization)","常規（身份驗證）"
"General (Dividend)","常規（利息）"
"General (Funds Transfer from PayPal Account to Another)","常規（從一個PayPal帳戶向另一個轉移資金）"
"General (Purchase with a credit card)","常規（使用信用卡購買）"
"General Adjustment without businessrelated event","與業務無關的常規調整"
"General Currency Conversion","常規貨幣轉換"
"General Funding of PayPal Account ","PayPal帳戶的常規退款"
"General Redemption","常規兌換"
"General Withdrawal from PayPal Account","來自PayPal帳戶的常規撤銷"
"General. Product no longer supported","常規。產品不在被支持"
"General: Use of PayPal account for purchasing as well as receiving payments","常規：使用PayPal帳戶進行付款以及收款"
"General: Withdrawal from PayPal Account","常規：通過PayPal帳戶撤銷"
"General: Withdrawal to Non-Bank Entity","常規：通過非銀行實體撤銷"
"General: adjustment of a type not belonging to the other T12xx categories","常規：調整為一種不再屬於其他T12xx分類的類型"
"General: bonus of a type not belonging to the other T08xx categories","常規：通過一種不再屬於其他T08xx類型的獎勵"
"General: event not yet categorized","常規：事件尚未分類"
"General: non-payment fee of a type not belonging to the other T01xx categories","常規：一種不屬於其他T01xx分類的非支付費用"
"General: received payment of a type not belonging to the other T00xx categories","常規：一種不屬於其他T00xx分類的支付收款"
"General: reversal of a type not belonging to the other T11xx categories","常規：不屬於其他T11xx分類的保留類型"
"General: temporary hold of a type not belonging to the other T15xx categories","常規：不屬於其他T15xx分類的暫時保留類型"
"Get Credentials from PayPal","從PayPal獲得憑證"
"Gift Certificate Payment: purchase of Gift Certificate","禮品券支付：購買禮品券"
"Gift Certificate Redemption","禮品券兌換"
"Gross Amount","總額"
"Header Background Color","頭部背景色"
"Header Border Color","頭部邊框顏色"
"Header Image URL","頭部圖像URL"
"Help","幫助"
"Hidden Virtual PayPal Debit Card Transaction","隱藏虛擬PayPal藉記卡交易"
"Hold for Dispute Investigation","保留做爭議調查"
"IPN ""%s"".","IPN ""%s""。"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","如果為空，則會使用預設值。自定URL可通過 CardinalCommerce 協議提供。"
"If not specified, Default Country from General Config will be used","如果不指定，則使用常規配置中的預設國家"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","如果啟用該選項，客戶即可在PayPal網站更改自己的發貨地址和發貨方法。動態模式下只能使用HTTPS協議。"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","如果您沒有在您的帳戶設立多個用戶，請重新輸入您的供應商/商戶登錄。"
"Impossible to issue a refund transaction because the capture transaction does not exist.","無法發布退款交易，因為獲得的交易不存在。"
"Incentive","獎勵"
"Initiation Date","發起日期"
"Integral Evolution","整體演化"
"Invoice ID","發票ID"
"Issuer Liability","發卡人責任"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","建議對店舖的每個視圖，將該值設置為""儲蓄卡或信用卡""。"
"It is recommended to set this value to ""PayPal"" per store views.","建議對店舖的每個視圖，將該值設置為""PayPal""。"
"Items in Your Shopping Cart","您購物車中的商品"
"Last Correlation ID","最新關聯ID"
"Last Transaction ID","最新交易ID"
"Learn More","了解更多"
"Login","登錄"
"Mass Pay Payment","大量付款支付。"
"Matched (CVV2)","匹配（CVV2）"
"Matched (CVV2CSC)","匹配（CVV2CSC）"
"Matched Address only (no ZIP)","只匹配地址（無郵編）"
"Matched Address only (no ZIP). International","只匹配地址（無郵編）。國際"
"Matched Postal Code only (no Address)","只匹配郵編（無地址）"
"Matched five-digit ZIP only (no Address)","只匹配五位郵編（無地址）"
"Matched whole nine-didgit ZIP (no Address)","只匹配九位郵編（無地址）"
"Merchant Account","銀行帳戶"
"Merchant Country","銀行所在國"
"Merchant Liability","商家責任"
"Merchant Location","商家位置"
"Merchant Protection Eligibility","銀行保護的資格"
"Merchant Referral Bonus","銀行推薦獎勵"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","銀行提供了非美國帳戶，並且沒有撤銷機制。"
"Merchant reference ID format is not supported.","不支持的銀行推薦ID格式。"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","銀行需要通過PayPal啟用記賬協議功能。在PayPal確認您的銀行帳戶已經啟用記賬協議之前，不要啟用該功能。"
"Mobile Payment (made via a mobile phone)","移動支付（通過手機進行）"
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A。地址未檢查，或對方行未響應。服務不可用"
"N/A. Global Unavailable","N/A.全球不可用"
"N/A. International Unavailable","N/A. 國際不可用"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. 商家指出信用卡缺少CVV2碼"
"N/A. No response","N/A. 沒有響應"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. 不允許MOTO（網路，手機廠商）交易"
"N/A. Not processed","N/A. 未處理"
"N/A. Retry","N/A. 重試"
"N/A. Service not Supported","N/A. 不支持的服務"
"N/A. Service not available","N/A. 服務不可用"
"N/A. Service not supported","N/A。服務不支持"
"N/A. The merchant did not provide AVS information","N/A. 商家未提供AVS資訊。"
"N/A. The merchant has not implemented CVV2 code handling","N/A. 商家未完成CVV2碼的處理"
"N/A. Unavailable","N/A. 不可用"
"Negative Balance","逆差"
"Never","永不"
"No","否"
"No Details matched","無匹配資料"
"No Details matched. International","無匹配資料。國際化"
"No Liability Shift","無責任轉移"
"No Logo","沒有標示"
"No match","無匹配結果"
"None of the address information matched","無匹配地址資訊"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","不知道使用貝寶付款方式？點擊<a href="" %s""="" target="" _blank""="">這裡</a>了解更多信息。"
"Note: %s","注意：%s"
"Nothing to fetch because of an empty configuration.","由於配置為空，未獲取任何資訊"
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","請注意，PayPal 最多可處理10個運送選項。因此如果可用數超過10個，Magento將只傳輸運費最便宜的前十個。"
"Notified customer about creditmemo #%s.","通知客戶有關信用提醒 #%s。"
"Notified customer about invoice #%s.","通知客戶有關發票 #%s。"
"Now accepting PayPal (150 X 40)","現在接受PayPal（150X40）"
"Now accepting PayPal (150 X 60)","現在接受PayPal（150X60）"
"Number of Child Authorizations","授權子帳戶的數量"
"Open Authorization","開放授權"
"Order","訂單"
"Order ID","訂單 ID"
"Order Valid Period (days)","訂單有效期（天）"
"Ordered amount of %s.","%s 的已下單數量。"
"Ordering amount of %s is pending approval on gateway.","%s的訂單數量正在網站上掛起供審批。"
"Page Background Color","頁面背景色"
"Page Style","頁面樣式"
"Part of the address information matched","地址資訊中部分匹配"
"Partner","合作夥伴"
"Pasarela integral","Pasarela integral"
"Password","密碼"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","貝寶在支付解決方案的   <i>接受和處理信用卡和PayPal付款。</i>"
"PayPal Balance Manager function of PayPal account","PayPal帳戶的PayPal餘額管理器功能"
"PayPal Billing Agreement Settings","貝寶結算協議設置"
"PayPal Buyer Warranty Bonus","PayPal買家擔保津貼"
"PayPal Debit Card Cash Advance","PayPal藉記卡預付現金"
"PayPal Debit Card Withdrawal from ATM","從ATM進行PayPal藉記卡撤銷"
"PayPal Express Checkout","PayPal快速結帳"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout 快捷方式保護"
"PayPal Express Checkout Token does not exist.","PayPal快速結賬Token不存在。"
"PayPal Express Checkout is not enabled.","未啟用PayPal快速結帳。"
"PayPal Express Order Review Form","PayPal快速訂單審查表單"
"PayPal Fee Information","PayPal費用資訊"
"PayPal Merchant Pages Style","PayPal商業頁面樣式"
"PayPal Payment Gateways","貝寶支付網關"
"PayPal Payment Solutions","PayPal付款解決方案"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","PayPal產品徽標"
"PayPal Protection Bonus","PayPal保護津貼"
"PayPal Reference ID","PayPal推薦ID"
"PayPal Reference ID Type","PayPal推薦ID類型"
"PayPal Settlement Reports","PayPal處理報告"
"PayPal certificate does not exist.","PayPal 證書不存在。"
"PayPal certificate file is empty.","PayPal 證書文件為空。"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal不支持處理零金額的訂單。為完成您的訂購，請使用標準結賬流程。"
"PayPal gateway has rejected request. %s","PayPal網關拒絕了該請求。%s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","貝寶建議您設置其他用戶對您的帳戶manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","貝寶建議設立manager.paypal.com您的帳戶上，而不是在這裡輸入您的管理員用戶名和密碼，其他用戶。這將增強您的安全和防止服務中斷，如果您以後更改您的密碼。如果你不想成立一個額外的用戶，你可以重新輸入您的商家登錄。"
"PayPal response hasn't required fields.","PayPal的響應缺少必須欄位。"
"PayPal retains reports for 45 days.","PayPal會將報告保存45天。"
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce指示器"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa付款者驗證服務結果"
"Payer Address ID","付款者地址ID"
"Payer Address Status","付款者地址狀態"
"Payer Email","付款者郵件地址"
"Payer ID","付款者ID"
"Payer Status","付款者狀態"
"Payer is not identified.","付款者未經檢定。"
"Payflow Link","payflow鏈接"
"Payflow Link (Includes Express Checkout)","payflow鏈接（包括快速結帳）"
"Payflow Pro","payflow臨"
"Payflow Pro (Includes Express Checkout)","payflow臨（包括快速結帳）"
"Payflow Pro and Express Checkout","payflow Pro和快速結帳"
"Payment Action","支付操作"
"Payment Applicable From","支付適用性表單"
"Payment Refund initiated by merchant","由商戶發起的支付退款"
"Payment has been declined. Please try again.","支付被拒絕。請重試。"
"Payment transactions disallow storing objects.","支付交易不允許存儲對象。"
"Payments Advanced","支付高級"
"Payments Advanced (Includes Express Checkout)","高級的款項（包括快速結帳）"
"Payments Pro (Includes Express Checkout)","付款專業（包括快速結帳）"
"Payments Pro Hosted Solution","付款專業託管解決方案"
"Payments Pro and Express Checkout","付款Pro和快速結帳"
"Payments Standard","支付標準"
"Payments by PayPal (150 X 40)","用PayPal付款（150X40）"
"Payments by PayPal (150 X 60)","用PayPal付款（150X60）"
"Pending PayPal","掛起的PayPal"
"Place Order","下訂單"
"Please agree to all the terms and conditions before placing the order.","請在下訂單前同意所有的條款和條件。"
"Please do not refresh the page until you complete payment.","請不要重新整理該頁面，直到付款完成。"
"Please re-enable the previously enabled payment solutions.","請重新啟用以前啟用的支付解決方案。"
"Please select a shipping method...","請選擇送貨方法..."
"Please select region, state or province","請選擇地區，州或省"
"Please update order data to get shipping methods and rates","請更新訂單數據的運輸方式和價格"
"Points Incentive Redemption","兌換獎勵點"
"Postage Payment to either USPS or UPS","USPS或UPS的運費"
"Preapproved Payment (BillUser API), either sent or received","預審核接收或發送的支付（BillUser API）"
"Preapproved Payment ID","預審核的支付ID"
"Price","價格"
"Pro","臨"
"Process payments using your own internet merchant account.","過程中使用自己的互聯網商家帳戶的支付。"
"Product Name","產品名"
"Proxy Host","代理主機"
"Proxy Port","代理端口"
"Qty","數量"
"Reauthorization","撤銷授權"
"Reference Information","參考資訊"
"Refund issued by merchant.","商家發起的退款。"
"Reimbursement for a chargeback.","償還退款。"
"Reimbursement of Chargeback","退款的償還"
"Report Date","報告日期"
"Reports","報告"
"Require CVV Entry","需要CVV項"
"Require Customer's Billing Address","需要客戶的帳單地址"
"Required PayPal Settings","需要貝寶設置"
"Required Settings","所需的設置"
"Reversal","撤銷"
"Reversal of General Account Hold","常規帳戶保持的撤銷"
"Reversal of Points Usage","點數使用情況撤銷"
"Reversal of an adjustment.","調整撤銷"
"Reversal of hold for Dispute Investigation","撤銷保留的爭議調查"
"Review Order","查看訂單"
"Reward Voucher Redemption","獎勵兌換"
"SFTP Credentials","SFTP憑據"
"Sale","銷售"
"Sales","銷售"
"Same as shipping","同為航運"
"Sandbox Credentials","沙箱憑據"
"Sandbox Mode","沙箱模式"
"Schedule","計劃"
"Schedule description is too long.","計劃描述太長。"
"Scheduled Fetching","計劃的獲取"
"Select a Payment Solution","選擇一個支付解決方案"
"Send Email Confirmation","發送電子郵件確認"
"Server Error. Please try again.","服務器錯誤。請再試一次。"
"Settlement Consolidation","合併處理"
"Settlement Report Settings","處理報告設置"
"Settlement of a chargeback.","處理返款。"
"Severe 3D Secure Card Validation","提供 3D 安全信用卡驗證"
"Severe Validation Removes Chargeback Liability on Merchant","正式驗證將撤銷銀行的退款責任"
"Severe validation removes chargeback liability on merchant.","嚴格的驗證可避免分行的退款責任。"
"Shipping","運送"
"Shipping Address","送貨地址"
"Shipping Method","運送方式"
"Shop now using (150 X 40)","立刻購物並使用（150X40）"
"Shop now using (150 X 60)","立刻購物並使用（150X60）"
"Shortcut","快捷方式"
"Shortcut Buttons Flavor","快捷方式按鈕風格"
"Shortcut on Product View","產品視圖上的快捷方式"
"Shortcut on Shopping Cart","購物車上的快捷方式"
"Sign a billing agreement to streamline further purchases with PayPal.","與PayPal簽署記賬協議簡化後續購買。"
"Solo","Solo"
"Some PayPal solutions conflict.","一些貝寶解決方案衝突。"
"Sorry, no quotes are available for this order at this time.","抱歉，當前該訂單中沒有報價可用。"
"Sort Order","排序順序"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","指定商家PayPal帳戶的授權週期時長，這裡的設置必須與PayPal中的設置一致。"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","指定商家PayPal帳戶的訂單驗證週期。這裡的設置必須與PayPal中的設置一致。"
"State/Province","州/省"
"Static","靜態"
"Street Address","街道地址"
"Street Address %s","地址%S"
"Submitting order information...","正在提交訂單資訊..."
"Subscriber name is too long.","訂閱者名稱太長。"
"Subscription ID","訂閱ID"
"Subscription Payment, either payment sent or payment received","訂閱支付，可通過發出或收到的付款進行"
"Subtotal","小計"
"Summary Text for Aggregated Cart","聚合購物車的摘要文字"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","對美國運通卡的支持要求額外的協議。欲知詳情請訪問 <a href="" http:="" www.paypal.com="" amexupdate""="">http://www.paypal.com/amexupdate</a>。"
"Switch/Maestro","Switch/Maestro"
"Telephone","電話"
"Test Mode","測試模式"
"The background color for the checkout page around the header and payment form.","付款頁面上頭部和支付表單周圍的背景色。"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","付款頁面上頭部的背景色。請用ASCII碼方式輸入大小寫敏感的六位代表HTML十六進製顏色代碼的字符。"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","您PayPal帳戶中授權子帳戶的預設數量為1。如果要獲得更多授權，請聯繫PayPal增加數量。"
"The following error(s) occured:","（S）發生以下錯誤："
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","付款頁面左上角的圖像，最大尺寸為750x90像素。 強烈建議使用<strong style="" color:red""="">https</strong>地址。"
"The maximum number of child authorizations is reached.","授權子帳戶的最大數量已達到。"
"The merchant account is not yet verified.","銀行帳戶尚未驗證。"
"The payment curency does not match any of the merchant\'s balances currency.","支付的幣種與銀行支持的幣種不一致。"
"The payment eCheck is not yet cleared.","支付的電子支票尚未兌現。"
"The payment is authorized but not settled.","支付已獲授權但尚未確定。"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","支付被掛起，因為支付使用了一個未經確認的電子郵件地址。"
"The payment is pending while it is being reviewed by PayPal for risk.","支付被掛起，因為正在由PayPal進行風險評估。"
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","支付是通過信用卡進行的。為了收到資金，銀行必須將帳戶升級為商業或白金狀態。"
"There is already another PayPal solution enabled. Enable this solution instead?","目前已啟用另一家貝寶解決方案。啟用此解決方案呢？"
"There was an error processing your order. Please contact us or try again later.","處理您的訂單時發生錯誤。請聯繫我們，或稍後再試。"
"This feature needs be enabled first for the merchant account through PayPal technical support.","此功能需要啟用商家帳戶通過PayPal的技術支持。"
"This operation requires an existing transaction object.","此操作需要一個現有的交易對象。"
"Time of Day","每天的時間段"
"Title","標題"
"Transaction ID","交易ID"
"Transaction ID must not be empty.","交易 ID 不能為空白。"
"Transaction Information","交易資訊"
"Transfer Cart Line Items","傳輸購物車內容"
"Transfer Shipping Options","傳輸送貨選項"
"Triggered Fraud Filters","觸發的欺詐篩選器"
"URL method for Cancel URL and Return URL","取消URL，並返回URL的URL方法"
"Unable to cancel Express Checkout.","無法取消快速結賬。"
"Unable to change status. Current status is not correspond to real status.","無法更改狀態。當前狀態與實際狀態不一致。"
"Unable to communicate with the PayPal gateway.","無法與PayPal網關通訊。"
"Unable to initialize Express Checkout review.","無法初始化快速結賬評估。"
"Unable to initialize Express Checkout.","無法發起快速結賬。"
"Unable to place the order.","無法下訂單。"
"Unable to process Express Checkout approval.","無法處理快速結賬審批。"
"Unable to start Express Checkout.","無法進行快速結賬。"
"Unable to update Order data.","無法更新訂單數據。"
"Unable to update shipping method.","無法更新送貨方法。"
"Unknown Error. Please try again later.","未知的錯誤。請稍後再試。"
"Unknown reason. Please contact PayPal customer service.","未知原因。請聯繫PayPal客戶服務。"
"Update Order Data","更新訂單數據"
"Use Proxy","使用代理"
"Use colon to specify port. For example: ""test.example.com:5224"".","使用冒號指定端口。例如：""test.example.com:5224""。"
"User","用戶"
"User-initiated Currency Conversion","用戶發起的貨幣轉換"
"Uses store frontend name by default.","預設使用店舖前端名稱。"
"VAT Number","增值稅號碼"
"Vendor","供應商"
"View","查看"
"View Demo","查看演示"
"View Transaction","查看交易"
"View Transaction Details","查看交易詳情"
"Virtual PayPal Debit Card Transaction","虛擬PayPal藉記卡交易"
"Virtual Terminal Payment","虛擬終端支付"
"Void","無效"
"We prefer PayPal (150 X 40)","我們喜歡PayPal（150X40）"
"We prefer PayPal (150 X 60)","我們喜歡PayPal（150X60）"
"Website Payments Plus","網站支付進階版"
"Website Payments Pro (Includes Express Checkout)","網站付款專業版（包括快速結帳）"
