"%s was added to your shopping cart.","פריט %s נוסף בהצלחה לסל הקניות שלך"
"%s was updated in your shopping cart.","%s עודכן בסל הקניות שלך"
"* Required Fields","* שדות חובה"
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was canceled.","Coupon code was canceled."
"Create Billing Address","הגדר את הכתובת לחיוב"
"Create Shipping Address","הגדר כתובת למשלוח"
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer Address is not valid.","כתובת הלקוח אינה תקינה"
"Customer Information","Customer Information"
"Customer's information","Customer's information"
"Data saving problem","אירעה שגיאה בשמירת הנתונים"
"Default Billing","חיוב ברירת מחדל"
"Default Shipping","פרטי משלוח כברירת מחדל "
"Delete Condition","מחק תנאי"
"Details","פרטים"
"Disabled","לא פעיל"
"Discount Codes","קופון הנחה"
"Display Cart Summary","הצג את סיכום סל הקניות שלי"
"Display Shopping Cart Sidebar","הצג סרגל סל-קניות"
"Display item quantities","הצג כמויות פריט"
"Display number of items in cart","הצג כמות סך הפריטים בסל"
"Display number of items in wishlist","Display number of items in wishlist"
"Easy access to your order history and status","גישה קלה להיסטוריית ההזמנות והסטאטוס"
"Edit","ערוך"
"Edit Address","ערוך כתובת"
"Edit Billing Address","ערוך כתובת לחיוב"
"Edit Condition","Edit Condition"
"Edit Items","ערוך פריטים"
"Edit Shipping Address","ערוך כתובת למשלוח"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","ערוך את הסל שלך"
"Edit item","ערוך פריט"
"Edit item parameters","ערוך נתוני פריט"
"Email Address","דוא""ל"
"Enable Onepage Checkout","הפעל דף קופה"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","הפעל"
"Enter a New Address","הכנס כתובת חדשה"
"Enter your coupon code if you have one.","הקלד קוד קופון או שובר מתנה."
"Enter your destination to get a shipping estimate.","לקבלת הערכה של עלות המשלוח, הגדר יעד."
"Estimate Shipping and Tax","הערכת עלות המשלוח + מע""מ "
"Excl. Tax","לא כולל מע""מ"
"Fast and easy check out","תשלום מהיר וקל"
"Fax","פקס"
"Forgot an Item?","שכחת פריט כלשהו?"
"Forgot your password?","שכחת את הסיסמא?"
"Get a Quote","קבל הצעת מחיר"
"Get list of available payment methods","Get list of available payment methods"
"Get list of available shipping methods","Get list of available shipping methods"
"Get list of products in shopping cart","Get list of products in shopping cart"
"Get terms and conditions","Get terms and conditions"
"Get total prices for shopping cart","Get total prices for shopping cart"
"Gift Message","הודעת ברכה"
"Grand Total:","סה""כ:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTMLקובץ "
"ID","מזהה"
"Incl. Tax","כולל מע""מ"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Invalid data."
"Invalid email address ""%s""","כתובת הדוא""ל ""%s"" אינה תקינה"
"Invalid method: %s","Invalid method: %s"
"Invalid shipping method.","שיטת משלוח שגויה"
"Item not found or already ordered","Item not found or already ordered"
"Items","פריטים"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","שגיאה בטעינת הצעת המחיר "
"Loading next step...","טוען את השלב הבא..."
"Login","התחבר"
"Login/Registration Before","Login/Registration Before"
"Manage Terms and Conditions","Manage Terms and Conditions"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","כמות הפריטים המקסימאלית, המותרת למשלוח למספר יעדים היא: %s"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","העבר"
"Move to Wishlist","העבר ל-wishlist "
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","סל הקניות שלי"
"My Cart (%s item)","הסל שלי (%s פריט)"
"My Cart (%s items)","הסל שלי (%s פריטים)"
"My Cart Link","לינק לסל שלי"
"New Address","כתובת חדשה"
"New Condition","תנאי חדש"
"New Terms and Conditions","New Terms and Conditions"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","הזמנה #"
"Order Review","סקירת הזמנה"
"Order Success","הזמנתך בוצעה בהצלחה"
"Order place error.","Order place error."
"Other Items in Your Order","Other Items in Your Order"
"Overview Items After","Overview Items After"
"Password","סיסמא"
"Payment Failed Email Reciever","כתובת דוא""ל להודעה במקרה של כשל בתשלום"
"Payment Failed Email Sender","כתובת שולח ההודעה על כשל בתשלום"
"Payment Failed Emails","כתובות להודעה על כשל התשלום"
"Payment Failed Template","תבנית הודעה על כשל בתשלום"
"Payment Information","פרטי התשלום"
"Payment Method","אמצעי תשלום"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment method information","Payment method information"
"Payment method is not defined","אמצעי התשלום אינו מוגדר"
"Payment methods in shopping cart","Payment methods in shopping cart"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","בצע הזמנה"
"Please agree to all Terms and Conditions before placing the order.","לפני ביצוע ההזמנה, נא אשר את תקנון האתר."
"Please agree to all Terms and Conditions before placing the orders.","לפני ביצוע ההזמנה, נא אשר את תקנון האתר."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check billing address information.","Please check billing address information."
"Please check shipping address information.","Please check shipping address information."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please log in below:","נא הכנס את פרטי הזיהוי באתר:"
"Please select region, state or province","בחר אזור, מדינה או מחוז"
"Please select shipping address for applicable items","נא בחר את כתובת המשלוח לפריטים הרלוונטיים"
"Please select shipping methods for all addresses","נא בחר את אמצעי המשלוח לכל כתובת"
"Please select valid payment method.","Please select valid payment method."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Price","מחיר"
"Proceed to Checkout","עבור לקופה"
"Product","מוצר"
"Product Name","שם המוצר"
"Products","מוצרים"
"Qty","כמות"
"Qty:","כמות:"
"Quantity was recalculated from %d to %d","Quantity was recalculated from %d to %d"
"Quote Lifetime (days)","תוקף הצעת מחיר (בימים)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","פריט(ים) שהוספת לאחרונה"
"Register","הירשם"
"Register and save time!","הירשם וחסוך בזמן!"
"Register to Create an Account","הירשם כדי ליצור חשבון"
"Register with us for future convenience:","למען נוחיותך בעתיד, הירשם לשירות שלנו:"
"Remove Item","הסר פריט"
"Remove This Item","הסר את הפריט"
"Remove coupon code from shopping cart","Remove coupon code from shopping cart"
"Remove item","הסר פריט"
"Remove product from shopping cart","Remove product from shopping cart"
"Remove product(s) from shopping cart","Remove product(s) from shopping cart"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Retrieve information about shopping cart","Retrieve information about shopping cart"
"Review Order","הצג הזמנה"
"Review Order - %s","צפה בהזמנה - %s"
"Sales","מכירות"
"Save Condition","שמור תנאי"
"Save in address book","שמור בספר הכתובות"
"See price before order confirmation.","הצג מחיר לפני אישור ההזמנה."
"Select Address","בחר כתובת"
"Select Addresses","בחר כתובות"
"Select Shipping Method","בחר אמצעי משלוח"
"Select State/Province...","בחר אזור/מחוז..."
"Select a billing address from your address book or enter a new address.","בחר פרטי חיוב מתוך רשימה, או הזן פרטים חדשים."
"Select a shipping address from your address book or enter a new address.","בחר פרטי המשלוח מתוך רשימה, או הזן פרטים חדשים."
"Send Payment Failed Email Copy Method","העתק הודעה על כשל התשלום, שלח באמצעות:"
"Send Payment Failed Email Copy To","העתק הודעה על כשל תשלום, שלח אל:"
"Send To","שלח אל"
"Separate by "","".","הפרד על ידי "",""."
"Set customer for shopping cart","קבע לקוח לסל הקניות"
"Set customer's addresses in shopping cart","קבע כתובת לקוח בסל הקניות"
"Set payment method","קבע אמצעי התשלום"
"Set shipping method","
קבע אמצעי משלוח"
"Ship to Multiple Addresses","משלוח למספר כתובות"
"Ship to different address","שלח לכתובת שונה"
"Ship to this address","שלח לכתובת זו"
"Shipping Address","כתובת למשלוח"
"Shipping Information","פרטי משלוח"
"Shipping Method","אמצעי משלוח"
"Shipping Methods","אמצעי המשלוח"
"Shipping To","משלוח עבור"
"Shipping information","פרטי משלוח"
"Shipping method has not been selected yet","אמצעי המשלוח טרם נבחר"
"Shipping methods in shopping cart","אמצעי - המשלוח בסל הקניות"
"Shipping selection is not applicable.","בחירת אמצעי המשלוח אינה זמינה"
"Shopping Cart","סל קניות"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","מודול סל קניות"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","סל הקניות ריק"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","הצג תוכן כ-"
"Some of the requested products are not available in the desired quantity.","Some of the requested products are not available in the desired quantity."
"Some of the requested products are unavailable.","Some of the requested products are unavailable."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","מצטערים, לא ניתן לבצע רכישות ללא הרשמה. אנא נסה שנית, או פנה למנהל האתר."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Sorry, guest checkout is not enabled. Please try again or contact the store owner."
"Sorry, no quotes are available for this order at this time.","אנו מצטערים. בשלב זה אין הצעות מחיר להזמנה זו."
"State/Province","אזור/מחוז"
"Status","סטאטוס"
"Store View","תצוגת חנות"
"Street Address","רחוב"
"Street Address %s","כתובת רחוב %s"
"Submitting order information...","שולח פרטי ההזמנה..."
"Subtotal","סיכום ביניים"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","טלפון"
"Terms and Conditions","תקנון"
"Terms and Conditions Information","פרטי התקנון"
"Terms and conditions","תקנון"
"Text","טקסט"
"Thank you for your purchase!","אנו מודים לך על הזמנתך!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","The product could not be found."
"The product does not exist.","The product does not exist."
"There are <a href=""%s"">%s items</a> in your cart.","ישנם <a href=""%s""><strong>%s פריטים</strong></a> בסל הקניות שלך."
"There is <a href=""%s"">1 item</a> in your cart.","יש <a href=""%s""><strong>פריט 1</strong></a> בסל הקניות שלך."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"There was an error processing your order. Please contact us or try again later.","התרחשה שגיאה במהלך ביצוע הזמנתך. אנא נסה מאוחר יותר, או צור קשר."
"This condition no longer exists.","This condition no longer exists."
"Total","סה""כ"
"Total for this address","סה""כ לכתובת הנבחרת"
"Unable to set Payment Method.","Unable to set Payment Method."
"Unit Price","מחיר ליחידה"
"Update Cart","Update Cart"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Update Shopping Cart","עדכן את סל הקניות"
"Update Total","עדכן סיכום הזמנה"
"Update product quantities in shopping cart","Update product quantities in shopping cart"
"Update product(s) quantities in shopping cart","Update product(s) quantities in shopping cart"
"Use Billing Address","השתמש בכתובת המזמין"
"VAT Number","VAT Number"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","הזמנתך התקבלה, ובקרוב תקבל אישור עם פרטיה, לכתובת הדוא""ל שהגדרת. עם צאת המשלוח, תקבל הודעה נוספת עם קישור למעקב."
"What's this?","מה זה?"
"You have no items in your shopping cart.","סל הקניות שלך ריק"
"You will receive an order confirmation email with details of your order and a link to track its progress.","אישור הזמנה יישלח לכתובת הדוא""ל שצוינה, עם קישור למעקב."
"Your Checkout Progress","תהליך התשלום שלך"
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your order # is: %s.","מספר ההזמנה שלך: %s"
"Your order cannot be completed at this time as there is no payment methods available for it.","Your order cannot be completed at this time as there is no payment methods available for it."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your order has been received.","Your order has been received."
"Your order number is ","Your order number is "
"Your recurring payment profiles:","פרופילים מתחדשים שלך לתשלום:"
"Zip/Postal Code","מיקוד"
