"%s","%s"
"%s already exist.","%s already exist."
"%s already exists.","%s already exists."
"-- Please Select --","-- בחר מהרשימה --"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Card type does not match credit card number.","Card type does not match credit card number."
"Code","קוד"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Cookie Restriction Mode","Cookie Restriction Mode"
"Copyright","זכויות יוצרים"
"Core","Core"
"Countries Options","Countries Options"
"Country","Country"
"Create Store","צור חנות"
"Create Store View","צור תצוגת חנות"
"Create Website","צור אתר"
"Credit card number does not match credit card type.","Credit card number does not match credit card type."
"Current Package Name","Current Package Name"
"Custom Admin Path","Custom Admin Path"
"Custom Admin URL","Custom Admin URL"
"Custom Design","עיצוב בהתאמה אישית"
"Custom Email 1","Custom Email 1"
"Custom Email 2","Custom Email 2"
"Custom Variables","משתנים מותאמים אישית"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Customer Support","Customer Support"
"Dashboard","לוח הבקרה"
"Date From","מתאריך"
"Date To","עד תאריך"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","ברירת מחדל"
"Default Country","ארץ ברירת מחדל"
"Default Description","תיאור ברירת מחדל"
"Default Keywords","מילות מפתח ברירת מחדל"
"Default No-route URL","Default No-route URL"
"Default Pages","עמודי ברירת מחדל"
"Default Robots","Default Robots"
"Default Store","חנות - ברירת מחדל"
"Default Store View","תצוגת חנות - ברירת מחדל"
"Default Title","Default Title"
"Default Web URL","Default Web URL"
"Delete","מחק"
"Delete Store","מחק חנות"
"Delete Store View","מחק תצוגת חנות"
"Delete Website","מחק אתר"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","עיצוב"
"Design Change","שינוי עיצוב"
"Developer","מפתח"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable Email Communications","Disable Email Communications"
"Disable Modules Output","Disable Modules Output"
"Display Demo Store Notice","Display Demo Store Notice"
"Duplicate Of Template Name","כפילות בשם התבנית"
"Edit Design Change","ערוך שינוי עיצוב"
"Edit Store","ערוך חנות"
"Edit Store View","ערוך מבט חנות"
"Edit Website","ערוך אתר"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enable Charts","Enable Charts"
"Enabled","פעיל"
"Enabled for Admin","פעיל למנהל"
"Enabled for Frontend","מופעל באתר"
"Environment Update Time","Environment Update Time"
"Error in file: ""%s"" - %s","שגיאה בקובץ: ""%s"" - %s"
"European Union Countries","European Union Countries"
"Exceptions Log File Name","Exceptions Log File Name"
"Favicon Icon","Favicon Icon"
"File %s does not exist","File %s does not exist"
"File %s is not readable","File %s is not readable"
"File not found","File not found"
"File system","File system"
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"First Day of Week","יום ראשון של השבוע"
"Flush Cache Storage","רוקן אחסון המטמון"
"Flush Magento Cache","רוקן מטמון של מג'נטו"
"Footer","תחתית הדף"
"Forgot Password Email Sender","Forgot Password Email Sender"
"Forgot Password Email Template","Forgot Password Email Template"
"General","כללי"
"General Contact","General Contact"
"General Contact Email","General Contact Email"
"General Contact Name","General Contact Name"
"General Settings","הגדרות כלליות"
"Get info about current Magento installation","Get info about current Magento installation"
"Global","גלובלי"
"HTML Head","כותר HTML"
"HTML tags are not allowed","HTML tags are not allowed"
"Header","כותרת"
"Host","שרת מארח"
"How many links to display at once.","How many links to display at once."
"ID Path for Specified Store","ID Path for Specified Store"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Invalid URL '%value%'.","Invalid URL '%value%'."
"Invalid base url type","Invalid base url type"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","סוג בלוק מידע לא תקני: %s"
"Invalid block: %s","בלוק מידע לא תקני: %s"
"Invalid connection","Invalid connection"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid query","Invalid query"
"Invalid transactional email code: ","Invalid transactional email code: "
"Invalid website\'s configuration path: %s","Invalid website\'s configuration path: %s"
"JavaScript Settings","הגדרות JavaScript"
"Layout","תצורה"
"Leave empty for access from any location.","Leave empty for access from any location."
"List of stores","List of stores"
"Locale","שפה"
"Locale Options","Locale Options"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Login is Case Sensitive","פרטי כניסה רגישים לגודל האותיות"
"Logo Image","Logo Image"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Magento info","Magento info"
"Magento info API","Magento info API"
"Mail Sending Settings","הגדרות שליחת מיילים"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Manage Stores","ניהול חנויות"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Media Storage","אחסון קבצי מדיה"
"Merge CSS Files","Merge CSS Files"
"Merge JavaScript Files","Merge JavaScript Files"
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Model collection resource name is not defined.","Model collection resource name is not defined."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%1$s"" cannot depend on ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" requires module ""%2$s""."
"Name","שם"
"New Design Change","שינוי עיצוב חדש"
"New Store","חנות חדשה"
"New Store View","תצוגת חנות חדשה"
"New Website","אתר חדש"
"No","לא"
"Offloader header","Offloader header"
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Package","חבילה"
"Pagination","דפדוף"
"Pagination Frame","מסגרת הדפדוף"
"Pagination Frame Skip","קפיצת מסגרת הדפדוף"
"Parent directory does not exist: %s","Parent directory does not exist: %s"
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","אנא הקלד 6 או יותר תווים. רווחים לפני או אחרי לא ילקחו בחשבון"
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Please enter 7 or more characters. Password should contain both numeric and alphabetic characters."
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field."
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Please enter a number greater than 0 in this field.","בשדה זה יש להקליד מספר הגדול מ-0"
"Please enter a number lower than 100.","Please enter a number lower than 100."
"Please enter a valid $ amount. For example $100.00.","בבקשה הכנס סכום תקין לדוגמא $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","אנא הקלד כתובת חוקית, לדוגמא: http://www.example.com or www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Please enter a valid URL. Protocol is required (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Please enter a valid XML-identifier. For example something_1, block5, id-4."
"Please enter a valid credit card number.","אנא הכנס מספר כרטיס אשראי תקין."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please enter a valid date between %s and %s","Please enter a valid date between %s and %s"
"Please enter a valid date equal to or greater than %s","Please enter a valid date equal to or greater than %s"
"Please enter a valid date less than or equal to %s","Please enter a valid date less than or equal to %s"
"Please enter a valid date.","אנא הכנס תאריך חוקי."
"Please enter a valid day (1-%d).","Please enter a valid day (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid full date","Please enter a valid full date"
"Please enter a valid month (1-12).","Please enter a valid month (1-12)."
"Please enter a valid number in this field.","בשדה זה יש להקליד מספר חוקי."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","אנא הקלד מספר טלפון תקני, לדוגמא: (123) 456-7890 או 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","אנא הקלד מספר ביטוח לאומי/ת.ז. תקני, לדוגמא: 123456789"
"Please enter a valid year (1900-%d).","Please enter a valid year (1900-%d)."
"Please enter a valid zip code.","אנא הכנס מיקוד תקין."
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%."
"Please make sure your passwords match.","אנא ודא שסיסמאות תואמות."
"Please select State/Province.","אנא בחר מדינה/אזור."
"Please select a file","Please select a file"
"Please select an option.","אנא בחר אפשרות."
"Please select one of the above options.","אנא בחר אחת האפשרויות לעיל."
"Please select one of the options.","אנא בחר אחת האפשרויות."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","אנא השתמש בספרות (0-9) בלבד. המנע משימוש ברווחים, פסיקים או נקודות."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","אנא השתמש בספרות (0-9), אותיות (א-ת, a-z), או קו תחתון (_) , בשדה זה. תו ראשון צריך להיות אות."
"Please use only visible characters and spaces.","Please use only visible characters and spaces."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","אנא השתמש בפורמט תאריך מסוג dd/mm/yyyy, לדוגמא: 17/03/2006 עבור ה- 17 למרץ, 2006."
"Please wait, loading...","אנא המתן, טוען..."
"Polls","סקרים"
"Port (25)","פורט (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Request Path for Specified Store","Request Path for Specified Store"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Requested file may not include parent directory traversal (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set.","Resource is not set."
"Retrieve info about current Magento installation","Retrieve info about current Magento installation"
"Retrieve store data","Retrieve store data"
"Retrieve store list","Retrieve store list"
"Return-Path Email","Return-Path Email"
"Root Category","קטגוריית שורש"
"Sales Representative","Sales Representative"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Save","שמור"
"Save Store","שמור חנות"
"Save Store View","שמור תצוגת חנות"
"Save Website","שמור אתר"
"Search Engines Optimization","אופטימיזציית מנועי חיפוש"
"Secure","מאובטח"
"Security","אבטחה"
"Select Date","בחר תאריך"
"Select Media Database","Select Media Database"
"Sender Email","דואר אלקטרוני של השולח"
"Sender Name","שם השולח"
"Services","שירותים"
"Session Cookie Management","Session Cookie Management"
"Session Lifetime (seconds)","Session Lifetime (seconds)"
"Session Validation Settings","Session Validation Settings"
"Set Return-Path","Set Return-Path"
"Set as Default","Set as Default"
"Skin (Images / CSS)","סקין (תמונות / CSS)"
"Sort Order","סדר תצוגה"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Start date cannot be greater than end date.","Start date cannot be greater than end date."
"Startup Page","Startup Page"
"Status","סטאטוס"
"Storage Configuration for Media","Storage Configuration for Media"
"Store","חנות"
"Store API","Store API"
"Store Contact Address","Store Contact Address"
"Store Contact Information","Store Contact Information"
"Store Contact Telephone","Store Contact Telephone"
"Store Email Addresses","חנות - כתובות דואר אלקטרוני"
"Store Information","חנות - מידע"
"Store Name","חנות - שם"
"Store View","תצוגת חנות"
"Store View Information","תצוגת חנות - מידע"
"Store View Name","תצוגת חנות - שם"
"Store view doesn't exist","תצוגת חנות אינה קיימת"
"Store with the same code","חנות עם אותו הקוד"
"System","מערכת"
"System Log File Name","System Log File Name"
"Template Path Hints","Template Path Hints"
"Template Settings","Template Settings"
"Template Variables","Template Variables"
"Templates","תבניות"
"Text length does not satisfy specified text range.","Text length does not satisfy specified text range."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"The store does not exist","The store does not exist"
"The store has been deleted.","The store has been deleted."
"The store has been saved.","The store has been saved."
"The store view has been deleted.","The store view has been deleted."
"The store view has been saved","The store view has been saved"
"The template Name must not be empty.","The template Name must not be empty."
"The value is not within the specified range.","The value is not within the specified range."
"The website does not exist.","The website does not exist."
"The website has been deleted.","The website has been deleted."
"The website has been saved.","The website has been saved."
"Themes","ערכות (Themes)"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","קטגוריה זאת ותתי הקטגוריות שלה בלבד"
"This category and its products only","קטגוריה זאת ומוצריה בלבד"
"This category only","קטגוריה זו בלבד"
"This date is a required value.","This date is a required value."
"This is a required field.","שדה זה הינו חובה."
"This store cannot be deleted.","לא ניתן למחוק חנות זו."
"This store view cannot be deleted.","לא ניתן למחוק תצוגת חנות זו."
"This website cannot be deleted.","לא ניתן למחוק אתר זה."
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Timezone","איזור זמן"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Transactional Emails","הודעות דואר על עסקאות"
"Translate Inline","Translate Inline"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Translate, blocks and other output caches should be disabled for both frontend and admin inline translations."
"Translations","תרגומים"
"Two and more slashes together are not permitted in request path","Two and more slashes together are not permitted in request path"
"Two and more slashes together are not permitted in url rewrite suffix","Two and more slashes together are not permitted in url rewrite suffix"
"Unable to create directory: %s","Unable to create directory: %s"
"Unable to delete store view. Please, try again later.","לא יכול למחוק מבט חנות. אנא נסה מאוחר יותר."
"Unable to delete store. Please, try again later.","לא יכול למחוק חנות. אנא נסה מאוחר יותר."
"Unable to delete website. Please, try again later.","לא יכול למחוק אתר. אנא נסה מאוחר יותר"
"Unable to proceed. Please, try again","לא יכול להמשיך. אנא נסה שוב"
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Unable to save file ""%s"" at ""%s""","Unable to save file ""%s"" at ""%s"""
"Unable to save file: %s","Unable to save file: %s"
"Unknown old style column type definition: {$definition}.","Unknown old style column type definition: {$definition}."
"Unknown scope ""%s"".","Unknown scope ""%s""."
"Unsecure","לא מאובטח"
"Url Options","אפשרויות כתובת Url"
"Use Custom Admin Path","Use Custom Admin Path"
"Use Custom Admin URL","Use Custom Admin URL"
"Use HTTP Only","Use HTTP Only"
"Use SID on Frontend","Use SID on Frontend"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"VAT Number","VAT Number"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Validation has failed."
"Values less than 60 are ignored. Note that changes will apply after logout.","Values less than 60 are ignored. Note that changes will apply after logout."
"Variable Code must be unique.","Variable Code must be unique."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk."
"Web","ווב"
"Website","אתר"
"Website Information","פרטי האתר"
"Website Name","שם האתר"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"Website with the same code","אתר עם אותו הקוד"
"Weekend Days","ימות השבוע"
"Welcome Text","טקסט ברוכים הבאים"
"Wrong file info format","Wrong file info format"
"Wrong number of arguments for %s","כמות פרמטרים שגויה ל %s"
"Wrong old style column type definition: {$definition}.","Wrong old style column type definition: {$definition}."
"Yes","כן"
"You will have to log in after you save your custom admin path.","You will have to log in after you save your custom admin path."
"Your design change for the specified store intersects with another one, please specify another date range.","Your design change for the specified store intersects with another one, please specify another date range."
"database ""%s""","database ""%s"""
