"# of Use","מס' שימושים"
"%1$s incl tax.","%1$s כולל מע""מ."
"%s - %s","%s% - s"
"%s Item(s)","%s פריט(ים)"
"%s and above","%s  ומעלה"
"Before Order Confirmation","אימות לפני הזמנה"
"Best Value","ערך הטוב ביותר"
"Block after Info Column","בלוק אחרי עמודת פרטים"
"Bottom Block Options Wrapper","בלוק תחתון עוטף אופציות"
"Bottom/Left","תחתית/שמאל"
"Bottom/Right","תחתית/שמאל"
"Browse By","סייר לפי"
"Bundle Items","פריטי באנדל"
"Buy %1$s","קנה %1$s"
"Buy %1$s for","קנה %1$s עבור"
"Buy %1$s for %2$s","קנה %1$s עבור %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","קנה %1$s עבור %2$s (%3$s כולל מס) כל אחד"
"Buy %1$s for %2$s each","קנה %1$s עבור %2$s כל אחד"
"Cache Lifetime (Seconds)","אורך חיי מטמון (שניות)"
"Cache refresh needed.","ישנו צורך ברענון מטמון."
"Can be Divided into Multiple Boxes for Shipping","יכול להתפצל למספר תיבות משלוח."
"Can be used only with catalog input type Dropdown","שימושי רק עם שדה מסוג Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","שימושי רק עם שדה מסוג Dropdown, Multiple Select ו-Price"
"Can\'t create image.","לא ניתן ליצור תמונה."
"Cancel","ביטול"
"Cannot create image.","לא ניתן ליצור תמונה."
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","תכונה של פריט סל"
"Catalog","קטלוג"
"Catalog Category (Anchor)","קטגוריית קטלוג (עוגן)"
"Catalog Category (Non-Anchor)","קטגוריית קטלוג (שאינה עוגן)"
"Catalog Category (Without Subcategories)","קטגוריית קטלוג (ללא תת-קטגוריות)"
"Catalog Category Link","לינק קטגוריית קטלוג"
"Catalog New Products List","רשימת מוצרים חדשים בקטלוג"
"Catalog Price Scope","טווח מחירים של קטלוג"
"Catalog Product Compare List","רשימת השוואת מוצרים בקטלוג"
"Catalog Product Email to a Friend","שלח מוצר בקטלוג לחבר"
"Catalog Product Image Gallery Popup","חלון קופץ של גלריית תמונות במוצר בקטלוג"
"Catalog Product Link","לינק מוצר קטלוג"
"Catalog Product View (Any)","תצוגת מוצרים בקטלוג (כלשהו)"
"Catalog Product View (Configurable)","תצוגת מוצרים בקטלוג (מורכב)"
"Catalog Product View (Grouped)","תצוגת מוצרים בקטלוג (מקובץ)"
"Catalog Product View (Simple)","תצוגת מוצרים בקטלוג (פשוט)"
"Catalog Product View (Virtual)","תצוגת מוצרים בקטלוג (וירטואלי)"
"Catalog Section","קטלוג"
"Catalog Seo Sitemap (Category List)","מפת אתר של קטלוג ל- SEO (רשימת קטגוריות)"
"Catalog Seo Sitemap (Category Tree)","מפת אתר של קטלוג ל- SEO (עץ קטגוריות)"
"Catalog Seo Sitemap (Common)","מפת אתר SEO של קטגוריות (מצוי)"
"Catalog Seo Sitemap (Product List)","מפת אתר של קטלוג ל- SEO (רשימת מוצרים)"
"Catalog URL Rewrites","שכתובי URL של הקטלוג"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog, Search","קטלוג, חיפוש"
"Categories","קטגוריות"
"Categories Sitemap","מפת אתר של קטגוריות המוצרים"
"Category","קטגוריה"
"Category API","API של קטגוריה"
"Category Data","נתוני קטגוריה"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","מוצרים בקטגוריה"
"Category Top Navigation","ניווט עליון בקטגוריה"
"Category URL Suffix","סיומת URL של קטגוריה"
"Category attributes API","API של תכונות בקטגוריה"
"Category move error","שגיאה בהעברת קטגוריה"
"Category move operation is not possible: parent category is equal to child category.","העברת הקטגוריה אינה אפשרית: תת הקטגוריה שווה לקטגוריית האם."
"Category move operation is not possible: the current category was not found.","העברת הקטגוריה אינה אפשרית: הקטגוריה שנבחרה לא נמצאה."
"Category move operation is not possible: the new parent category was not found.","העברת הקטגוריה אינה אפשרית: קטגוריית האם החדשה לא נמצאה."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Center","אמצע"
"Change","שנה"
"Change or Retrieve attribute store view","שנה או שכתב מראה תכונות בחנות"
"Change status","שנה סטטוס"
"Check items to add to the cart or","סמן מוצרים אשר ברצונך להוסיף לסל או"
"Choose an Option...","בחר אפשרות..."
"Clear All","נקה הכל"
"Clear Price","נקה מחיר"
"Click for price","לחץ למחיר"
"Close Window","סגור חלון"
"Collapse All","קפל הכל"
"Comma-separated.","מופרדים על ידי פסיק."
"Comparable","ניתן להשוואה"
"Comparable on Front-end","ניתן להשוואה באתר"
"Comparable on the Frontend","ניתן להשוואה באתר"
"Compare","השווה"
"Compare Products","השווה מוצרים"
"Conditions Combination","שילוב תנאים"
"Configurable Product","מוצר מורכב"
"Configurable Product Settings","הגדרות מוצר מורכב"
"Configure Product","הרכב מוצר"
"Continue","המשך"
"Copy From Configurable","העתק ממוצר מורכב"
"Country/State","אזור/מחוז"
"Create","צור"
"Create (Upload)","צור (העלה)"
"Create Empty","צור ריק"
"Create Permanent Redirect for URLs if URL Key Changed","צור הפניה קבועה בשביל URL אם מפתח ה- URL השתנה"
"Create Permanent Redirect for old URL","צור הפניה קבועה בשביל כתובת URL ישנה"
"Create Product Settings","הגדרות יצירת מוצר"
"Create Simple Associated Product","צור מוצר רגיל מקושר"
"Create attribute set based on another set","צור סט תכונות המבוסס על סט תכונות אחר"
"Create new attribute","צור תכונה חדשה"
"Create new category","צור קטגוריה חדשה"
"Create new product","צור מוצר חדש"
"Cross-sells","מוצרי קופה"
"Currently Shopping by:","הנך קונה לפי:"
"Custom Design","עיצוב מותאם אישית"
"Custom Options","אפשרויות מותאמות אישית"
"Custom options","אפשרויות מותאמות אישית"
"Customer Group","קבוצת לקוחות"
"Customers Reviews","סקירות לקוחות"
"Customers Tagged Product","מוצר מתויג על ידי לקוחות"
"Data Type for Saving in Database","סוג נתונים לשמירה במאגר הנתונים"
"Date & Time Custom Options","אפשרויות מותאמות אישית עבור תאריך ושעה"
"Date Fields Order","סדר שדות התאריך"
"Date Subscribed","תאריך הרשמה"
"Datetime","Datetime"
"Decimal","עשרוני"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","הודעה בחלון קופץ לפי ברירת מחדל"
"Default Price","מחיר ברירת מחדל"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","כמות ברירת מחדל"
"Default Values","ערכים ברירת מחדל"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","מחק"
"Delete Attribute","מחק תכונה"
"Delete Attribute Set","מחק סט תכונות"
"Delete Category","מחק קטגוריה"
"Delete Group Price","מחק מחיר קבוצה"
"Delete Option","מחק אפשרות"
"Delete Row","מחק טור"
"Delete Search","מחק חיפוש"
"Delete Selected Group","מחק קבוצה שנבחרה"
"Delete Tier","מחק שורה"
"Delete attribute","מחק תכונה"
"Delete category","מחק קטגוריה"
"Delete product","מחק מוצר"
"Depends on design theme","תלוי בתבנית העיצוב"
"Design","עיצוב"
"Details","פרטים"
"Disabled","לא פעיל"
"Disallowed file type.","אסור סוג קובץ."
"Display Actual Price","הצג מחיר אקטואלי"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","הצג מספור מוצר"
"Display in Suggested Terms","הצג במושגים מומלצים"
"Double click on a group to rename it","לחיצה כפולה על קבוצה לשינוי שם"
"Double click on above image to view full picture","לחץ לחיצה כפולה על התמונה לעיל בכדי לראות תמונה שלמה"
"Downloadable Information","מידע להורדה"
"Duplicate","שכפל"
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","ערוך"
"Edit Attribute Set '%s'","ערוך סט תכונות '%s'"
"Edit Product Attribute","ערוך תכונת מוצר"
"Edit Product Attribute ""%s""","ערוך תכונת מוצר ""%s"""
"Edit Search","ערוך חיפוש"
"Edit Search '%s'","ערוך חיפוש '%s'"
"Edit Set Name","ערוך שם סט"
"Email","דואר אלקטרוני"
"Email to a Friend","שלח קישור לחבר"
"Empty","ריק"
"Enable MAP","אפשר MAP"
"Enable Qty Increments","אפשר תוספת כמות"
"Enable WYSIWYG","אפשר עורך ויזואלי"
"Enabled","פעיל"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Exclude","שלל"
"Expand All","הרחב הכל"
"Failed","נכשל"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","אירעה שגיאה בזמן העתקת הקובץ %s. אנא מחק את המדיה עם תמונה לא-קיימת ונסה שוב."
"Failed to move file: %s","נכשל בהעברת קובץ: %s"
"Feature Products","קדם מוצרים"
"Field is not complete","השדה אינו מלא"
"File options format is not valid.","אפשרות פורמט תיקייה אינו תקף"
"File upload failed","העלאת קובץ נכשלה"
"Filter model name must be declared.","על סינון שם המודל להיות מוכרז"
"Filter must be an object. Please set correct filter.","על הפילטר להיות אובייקט. נא ערוך פילטר בהתאם."
"Filterable (no results)","ניתן לסינון (ללא תוצאות)"
"Filterable (with results)","ניתן לסינון (עם תוצאות)"
"First Name","שם פרטי"
"Fixed","קבוע"
"For internal use.","לשימוש פנימי."
"For the last time placed.","ממוקם בפעם האחרונה."
"Frontend","אתר"
"Frontend Model","מודל האתר"
"Frontend Properties","מאפייני האתר"
"Gallery","גלריה"
"General Information","מידע כללי"
"Get full information about attribute with list of options","קבל מידע מלא על תכונות עם רשימת אפשרויות"
"Get full information about custom option in product","קבל מידע מלא על אפשרויות מותאמות אישית במוצר"
"Get list of available custom option types","קבל רשימה של סוגי אפשרויות מותאמות אישית"
"Get list of non-default attributes by product type and attributes set","קבל רשימה של תכונות שאינן ברירות מחדל לפי סוג מוצר וסט תכונות"
"Get list of possible attribute types","קבל רשימה של סוגי תכונות אפשריות"
"Get special price","קבל מחיר מבצע"
"Global","גלובלי"
"Globally Editable","ניתן לעריכה באופן גלובלי"
"Go to Home Page","עבור לדף הבית"
"Grid","טבלה"
"Group add","הוספה קבוצתית"
"Group remove","מחיקה קבוצתית"
"Grouped Product","מוצר מקובץ"
"Groups","קבוצות"
"Home","דף הבית"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","אם ריק, שם הקטגוריה יהיה בשימוש."
"If empty, the Product Name will be used","אם השדה ריק ייעשה שימוש בשם המוצר"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","אם לא תבחר ערך אופציה לתצוגת חנות מסויימת, ייעשה שימוש בערך ברירת מחדל (Admin)."
"Image","תמונה"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","תמונה לא קיימת"
"Image file was not found.","קובץ תמונה לא נמצא"
"Image type and information need to be specified for each store view.","סוג התמונה ונתונים חייבים להיות מוגדרים עבור על תצוגת חנות."
"In Cart","בסל הקניות"
"In Stock","במלאי"
"In stock","במלאי"
"Incl. Tax","כולל מע""מ"
"Index product and categories URL rewrites","אינדוקס שכתובי URL של מוצרים וקטגוריות"
"Index product attributes for layered navigation building","אינדוקס תכונות מוצרים בשביל בניית סינון רב שכבתי"
"Index product prices","אינדוקס מחירי מוצרים"
"Indexed category/products association","שיוך קטגוריות \ מוצרים מאונדקס"
"Info","מידע"
"Info Column Options Wrapper","עוטף אופציות עמודת המידע"
"Input Type","סוג קלט"
"Integer","שלם"
"Interval Division Limit","פער החילוק מוגבל"
"Invalid Tier Prices","מחירים לכמות לא תקינים"
"Invalid attribute %s","תכונה לא תקינה %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category IDs.","מזהי ID של קטגוריות שגוים."
"Invalid category.","קטגוריה שגויה"
"Invalid image file type.","סוג תיקיית תמונה אינו תקף."
"Invalid image type.","סוג תמונה לא תקני."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","נבחרה חנות שגויה"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","מצאי"
"Is Default","הינו ברירת מחדל"
"Is Required","הינו חובה"
"Items %s to %s of %s total","פריטים %s עד %s מתוך %s סה""כ"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","תווית"
"Last Name","שם משפחה"
"Last Notification","הודעה אחרונה"
"Layered Navigation","סינון רב שכתבי"
"Learn More","פרטים נוספים.."
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","קישור לקטגוריה מסויימת"
"Link to a Specified Product","קישור למוצר מסויים"
"List","רשימה"
"List Mode","סגנון רשימה"
"List of Products that are set as New","רשימת מוצרים שמוגדרים כחדשים"
"List of types","רשימת סוגים"
"Manage Attribute Sets","נהל סטים של תכונות"
"Manage Attributes","נהל תכונות"
"Manage Catalog Categories","נהל קטגוריות הקטלוג"
"Manage Categories","נהל קטגוריות"
"Manage Label / Options","נהל תווית / אפשרויות"
"Manage Options (values of your attribute)","נהל אפשרויות (ערכים על התכונה שלך)"
"Manage Product Attributes","נהל תכונות המוצר"
"Manage Product Sets","נהל סטים של מוצרים"
"Manage Products","נהל מוצרים"
"Manage Stock","נהל מלאי"
"Manage Titles (Size, Color, etc.)","נהל כותרות (מידה, צבע כו'.)"
"Max Characters","מקס. תוים"
"Maximal Depth","מקס. עומק"
"Maximum Image Size","מקס. משקל התמונה"
"Maximum Number of Price Intervals","מספר מקסימלי של פער מחירים"
"Maximum Qty Allowed in Shopping Cart","כמות מירבית המותרת בסל הקניות"
"Maximum allowed image size for '%s' is %sx%s px.","גודל מקסימלי מורשה לתמונה %s הוא %s%s פיקסלים."
"Maximum image height","מקס. גובה של תמונה"
"Maximum image width","מקס. רוחב של תמונה"
"Maximum number of characters:","מספר תווים מקסימלי:"
"Maximum number of price intervals is 100","מספר מירבי של פער מחירים הינו 100"
"Media Image","Media Image"
"Minimum Advertised Price","מחיר מינימלי מפורסם"
"Minimum Lines per Page","כמות שורות מינימלית עבור כל עמוד"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בסל הקניות"
"Minimum Qty for Item\'s Status to be Out of Stock","כמות מינימלית על מנת להגדיר סטטוס של פריט כחסר במלאי"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","תמונות נוספות"
"Move","העבר"
"Move category in tree","העבר קטגוריה בעץ"
"Must be in the allowed values list.","חייב להיות ברשימת הערכים המורשים."
"N/A","N/A"
"Name","שם"
"Name in %s","שם ב%s"
"New Product","מוצר חדש"
"New Product Attribute","תכונה חדשה של מוצר"
"New Products","מוצרים חדשים"
"New Products Grid Template","תבנית מוצרים חדשים כטבלה"
"New Products List Template","תבנית מוצרים חדשים כרשימה"
"New Root Category","קטגוריית שורש חדשה"
"New Search","חיפוש חדש"
"New Set Name","שם חדש של סט"
"New Subcategory","תת-קטגוריה חדשה"
"Next","הבא"
"No","לא"
"No image","ללא תמונה"
"No layout updates","No layout updates"
"No options of this product are available.","אין אופציות זמינות של מוצר זה."
"No product collections found.","אוסף מוצרים לא נמצא"
"None","ללא"
"Not Visible Individually","בלתי נראה בנפרד"
"Notify Low Stock RSS","Notify Low Stock RSS"
"Notify for Quantity Below","Notify for Quantity Below"
"Number of Products to Display","מספר המוצרים לתצוגה"
"Number of Uses","מספר שימושים"
"Number of results","מספר תוצאות"
"Number of results (For the last time placed)","מספר תוצאות (לפעם האחרונה שמוקם)"
"OK","OK"
"OR","או"
"Old Price:","מחיר ישן:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","נכשל אישור אפשרות הוספת מוצר לסל המוצרים."
"Option values","ערכי האופציה"
"Option:","אפשרות:"
"Options","אופציות"
"Options Control","בקרת אפשרויות"
"Options is required","האופציות הינן חובה"
"Our customer service is available 24/7. Call us at (555) 555-0123.","שירות הלקוחות שלנו פנוי 24/7. התקשרו אלינו בטלפון (555) 555-0123"
"Out of Stock","חסר במלאי"
"Out of stock","חסר במלאי"
"PM","PM"
"Page Title Separator","מפריד כותרת הדף"
"Parent Category","קטגוריית אם"
"Pending","ממתין"
"Pending Reviews RSS","Pending Reviews RSS"
"Percentage","אחוזים"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on the Close Window button if it is not closed automatically.","אנא לחץ על כפתור סגור חלון במידה לא נסגר אוטומטית"
"Please enter a new group name","אנא הכנס שם לקבוצה החדשה"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please select a static block ...","אמא בחר בלוק סטאטי"
"Please select items.","אנא בחר פרטים."
"Please select one or more attributes.","אנא בחר תכונה אחת או יותר."
"Please select product(s).","אנא בחר מוצר(ים)"
"Please select products for attributes update","Please select products for attributes update"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify the number of products, that will not be divided into subintervals.","נא הגדר מספר מוצרים, שלא יחולקו לתתי פערים."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option(s).","Please specify the product required option(s)."
"Please specify the product\'s option(s).","אנא בחר אפשרויות המוצר(ים)"
"Please specify the product\'s required option(s).","אנא בחר אפשרויות המוצר(ים)"
"Please specify the quantity of product(s).","יש לבחור את כמות המוצרים"
"Please specify time required option(s).","נא הגדירי אפשרויות דרישת זמן (S)"
"Please wait...","אנא המתן..."
"Position","מיקום"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","מיקום התכונה בבלוק הסינון הרב-שכבתי"
"Prev","קודם"
"Previous","קודם"
"Price","מחיר"
"Price Navigation Step Calculation","טווח מחירים במסנן רב שכבתי"
"Price Type","סוג מחיר"
"Price is not available","המחיר אינו זמין"
"Price values for options should be specified in system base currency.","ערכי מחיר האופציות צריכים להיות במטבע הבסיס של המערכת."
"Price:","מחיר:"
"Price: %s","מחיר: %s"
"Print This Page","הדפס דף זה"
"Product","מוצר"
"Product API","API של מוצר"
"Product Alerts","התראות המוצר"
"Product Attribute","תכונת המוצר"
"Product Attributes","תכונות המוצר"
"Product Categories","קטגוריות המוצר"
"Product Description","תיאור המוצר"
"Product Extra Info","מידע נוסף על המוצר"
"Product Flat Data","Product Flat Data"
"Product ID","ID של מוצר"
"Product Image Placeholders","מחזיק מקום תמונת המוצר"
"Product Image Watermarks","Product Image Watermarks"
"Product Images","תמונות המוצרים"
"Product Images API","API של תמונות המוצר"
"Product In Websites","מוצר באתרים"
"Product Info Column","עמודת פרטי המוצר"
"Product Information","פרטי המוצר"
"Product Link Block Template","תבנית בלוק קישור מוצר"
"Product Link Inline Template","תבנית לקישור למוצר Inline"
"Product Listing Sort by","מיון מוצרים לפי"
"Product Name","שם המוצר"
"Product Prices","מחירי המוצר"
"Product Reviews","סקירות המוצר"
"Product Tags","תגיות המוצר"
"Product Tier Price API","Product Tier Price API"
"Product Type","סוג המוצר"
"Product URL Suffix","סיומת URL של מוצר"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","API של סט תכונות"
"Product attributes API","API של תכונות מוצר"
"Product collection expected.","Product collection expected."
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product name","Product name"
"Product types API","API של סוגי המוצרים"
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Products","מוצרים"
"Products Comparison List","Products Comparison List"
"Products Information","פרטי מוצרים"
"Products Reviews","סקירות המוצרים"
"Products Sitemap","מפת אתר של מוצרים"
"Products only","מוצרים בלבד"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
