"# of Use","Lietošanas skaits"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Prece(s)"
"%s and above","%s and above"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Reviews","Apskati"
"Roll Over for preview","Pārrulēt pārskatam"
"Root","Saknes katalogs"
"SKU","Artikuls"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Save","Saglabāt"
"Save Attribute","Saglabāt atribūtu"
"Save Attribute Set","Saglabāt atribūtu komplektu"
"Save Category","Saglabāt kategoriju"
"Save Search","Saglabāt meklēšanas nosacījumus"
"Save and Continue Edit","Save and Continue Edit"
"Saved %d record(s)","Saved %d record(s)"
"Scope","Sfēra"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"Search","Meklēt"
"Search Engine Optimizations","Meklēšanas dzinēja optimizācijas"
"Search Information","Meklēšanas informācija"
"Search Query","Meklēšanas vaicājums"
"Search Term with such search query already exists.","Search Term with such search query already exists."
"Search Weight","Search Weight"
"Searchable","Piemērots meklēšanai"
"See price before order confirmation.","See price before order confirmation."
"Select Category...","Select Category..."
"Select Configurable Attributes ","Atlasīt konfigurējamus atribūtus"
"Select Product...","Select Product..."
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Atlasītie preču tipi"
"Send Count","Nosūtīto skaits"
"Set Ascending Direction","Pieaugošā kārtībā"
"Set Descending Direction","Krītošā kārtībā"
"Set Name","Iestatīt vārdu"
"Set Root Category for Store","Set Root Category for Store"
"Set root category for this store in the <a href=""%s"">configuration</a>","Iestatīt saknes kategoriju veikalam <a href=""%s"">konfigurācijā</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Uzstādījumi"
"Shop By","Kārtot pēc"
"Shopping Options","Atlases kritēriji"
"Show","Rādīt pa"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Vienkārša prece"
"Site Map","Lapas karte"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Izlaist rindas importu, nav korekta vērtība ""%s"" laukam ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import row, the value ""%s"" is invalid for field ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Skipping import row, required field ""%s"" for new products is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"Sort By","Kārtot pēc"
"Sort Order","Kārtošanas virziens"
"Source Model","Izejas modelis"
"Special Expires On: %s","Special Expires On: %s"
"Special Price:","Speciāla cena:"
"Special Price: %s","Special Price: %s"
"Starting at:","Sākot no:"
"Static","Statiska"
"Static block and products","Statisks bloks un preces"
"Static block only","Tikai statisks bloks"
"Status","Statuss"
"Stock Availability","Pieejamība noliktavā"
"Store","Veikals"
"Store View","Veikala skats"
"Stretch","Izstiept"
"Subscribe to RSS Feed","Parakstīties uz RSS barotni"
"Super product attributes configuration","Superpreču atribūtu konfigurācija"
"Synonym For","Sinonīms priekš"
"System Properties","Sistēmas rekvizīti"
"Tag Name","Birkas nosaukums"
"Tax","Tax"
"Template","Template"
"Text","Teksts"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","The attribute code \'%s\' is reserved by system. Please try another attribute code"
"The attribute model is not defined","The attribute model is not defined"
"The attribute set has been saved.","The attribute set has been saved."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The category has been deleted.","The category has been deleted."
"The category has been saved.","The category has been saved."
"The comparison list was cleared.","The comparison list was cleared."
"The file '%s' for '%s' has an invalid extension","The file '%s' for '%s' has an invalid extension"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","The file '%s' you uploaded is larger than %s Megabytes allowed by server"
"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"The filters must be an array.","The filters must be an array."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","The image is not specified."
"The model collection resource name is not defined.","The model collection resource name is not defined."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"The product %s has been removed from comparison list.","The product %s has been removed from comparison list."
"The product attribute has been deleted.","The product attribute has been deleted."
"The product attribute has been saved.","The product attribute has been saved."
"The product has been created.","The product has been created."
"The product has been deleted.","The product has been deleted."
"The product has been duplicated.","The product has been duplicated."
"The product has been saved.","The product has been saved."
"The product has required options","The product has required options"
"The review has been deleted","The review has been deleted"
"The review has been saved.","The review has been saved."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"The search was deleted.","The search was deleted."
"The text is too long","The text is too long"
"There are no %s available.","%s nav pieejams."
"There are no customers for this alert","Priekš šī brīdinājuma nav klientu."
"There are no customers for this alert.","There are no customers for this alert."
"There are no products matching the selection.","Neviena prece neatbilst atlasei."
"There was an error while request processing.","There was an error while request processing."
"This Attribute no longer exists","This Attribute no longer exists"
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be edited.","This attribute cannot be edited."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is used in configurable products.","This attribute is used in configurable products."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","This attribute is used in configurable products. You cannot remove it from the attribute set."
"This attribute no longer exists","Dotais atribūts vairs neeksistē"
"This attribute set no longer exists.","This attribute set no longer exists."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Šī grupa satur sistēmas atribūtus. Lūdzu pārlieciet sistēmas atribūtus uz citu grupu un mēģiniet vēlreiz."
"This is a required option","This is a required option"
"This product no longer exists.","This product no longer exists."
"This search no longer exists.","This search no longer exists."
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Tier Pricing","Rindas cenošana"
"Tile","Cepure"
"Time Format","Time Format"
"Title","Title"
"To reindex the enabled product(s), the store or product must be specified","To reindex the enabled product(s), the store or product must be specified"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
"Top/Left","Augšējais/Kreisais"
"Top/Right","Augšējais/Labais"
"Total Qty Base Items","Total Qty Base Items"
"Total Qty Content Items","Total Qty Content Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Type","Tips"
"URL Rewrite Management","URL Rewrite Management"
"Unable to complete this request.","Unable to complete this request."
"Unable to find a search term to delete.","Unable to find a search term to delete."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to get the product ID.","Unable to get the product ID."
"Unassigned Attributes","Nepilietotie atribūti"
"Unknown EAV indexer type ""%s"".","Unknown EAV indexer type ""%s""."
"Unknown attribute: %s.","Unknown attribute: %s."
"Unsupported product type ""%s"".","Unsupported product type ""%s""."
"Up-sells","Pēdējā pārdošana"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attribute","Update attribute"
"Update attributes","Atjaunot atribūtus"
"Update category","Update category"
"Update custom option of product","Update custom option of product"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Update value of custom option","Update value of custom option"
"Upload new product image ","Upload new product image "
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Use Config Settings","Lietot konfigurācijas uzstādījumus"
"Use Default Value","Lietot noklusēto vērtību"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Lietot slāņu navigāciju"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"Use To Create Configurable Product","Lietot lai izveidotu konfigurējamu preci"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use config","Use config"
"Use default","Use default"
"Use for Promo Rule Conditions","Use for Promo Rule Conditions"
"Use four-digit year format.","Use four-digit year format."
"Use in Advanced Search","Use in Advanced Search"
"Use in Layered Navigation","Use in Layered Navigation"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use in Quick Search","Use in Quick Search"
"Used for Sorting in Product Listing","Used for Sorting in Product Listing"
"Used in Product Listing","Used in Product Listing"
"Value for ""%s"" is invalid.","Value for ""%s"" is invalid."
"Value for ""%s"" is invalid: %s","Value for ""%s"" is invalid: %s"
"Varchar","Varchar"
"View as","Skatīt kā"
"Virtual Product","Virtual Product"
"Visibility","Redzamība"
"Visible","Redzams"
"Visible on Catalog Pages on Front-end","Redzams publiskā kataloga lapās"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Ūdenszīme"
"Watermark Default Size","Udenszīmes noklusētais izmērs"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark Position","Ūdenszīmes pozīcija"
"We Also Recommend","We Also Recommend"
"Website","Vietne"
"Website Item Must be checked","Website Item Must be checked"
"Website Store Must be checked","Website Store Must be checked"
"Websites","Vietnes"
"What's this?","What's this?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","Wrong option instance type in options group."
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group.","Wrong product instance type in options group."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"Year Range","Year Range"
"Yes","Jā"
"You cannot remove system attribute from this set.","Jūs nevariet dzēst sistēmas atribūtu no šī komplekta."
"You have no items to compare.","Jums nav nevienas preces ko salīdzināt"
"You may also be interested in the following product(s)","Jūs, iespējams, interesēs arī šādas preces"
"Zoom In","tuvināt"
"Zoom Out","attālināt"
"and","un"
"and above","un augstāk"
"categories","categories"
"each","each"
"ex. http://domain.com","piem. http://domain.lv"
"leave blank if its not an image","leave blank if its not an image"
"per page","lapā"
"products","products"
"px.","px."
"save","save"
"select all","ielikt visas"
"unselect all","Izslēgt visas"
"x","x"
