"# of Use","Antal användningar"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s artiklar"
"%s and above","%s och fler"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan endast användas tillsammans med angiven indatatyp dropdown, flerval eller pris"
"Can\'t create image.","Det går inte att skapa bild."
"Cancel","Avbryt"
"Cannot create image.","Det går inte att skapa bild."
"Cannot create writeable directory '%s'.","Det går inte att skapa skrivbar mapp '%s'."
"Cart Item Attribute","Attribut för artikel i varukorg"
"Catalog","Katalog"
"Catalog Category (Anchor)","Produktkategori (är ankare)"
"Catalog Category (Non-Anchor)","Produktkategori (ej ankare)"
"Catalog Category (Without Subcategories)","Produktkategori (utan underkategorier)"
"Catalog Category Link","Länk till produktkategori"
"Catalog New Products List","Lista på nya produkter"
"Catalog Price Scope","Omfång för produktpris"
"Catalog Product Compare List","Lista produktjämförelse"
"Catalog Product Email to a Friend","Skicka till en vän"
"Catalog Product Image Gallery Popup","Bildgalleri pop-up"
"Catalog Product Link","Länk till produkt"
"Catalog Product View (Any)","Produktsida (alla)"
"Catalog Product View (Configurable)","Produktsida (konfigurerbar)"
"Catalog Product View (Grouped)","Produktsida (grupperad)"
"Catalog Product View (Simple)","Produktsida (enkel)"
"Catalog Product View (Virtual)","Produktsida (virtuell)"
"Catalog Section","Katalog sektion"
"Catalog Seo Sitemap (Category List)","Sajtkarta (kategorier lista)"
"Catalog Seo Sitemap (Category Tree)","Sajtkarta (kategorier träd)"
"Catalog Seo Sitemap (Common)","Sajtkarta (gemensam)"
"Catalog Seo Sitemap (Product List)","Sajtkarta (produkter lista)"
"Catalog URL Rewrites","URL rewrites för katalog"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog, Search","Katalog, sök"
"Categories","Kategorier"
"Categories Sitemap","Sajtkarta kategorier"
"Category","Kategori"
"Category API","Category API"
"Category Data","Kategoridata"
"Category Flat Data","Kategori 'flat' data"
"Category Link Block Template","Block-mall för kategorilänk"
"Category Link Inline Template","Inline-mall för kategorilänk"
"Category Products","Produkter i kategori"
"Category Top Navigation","Toppmeny"
"Category URL Suffix","URL suffix för kategorier"
"Category attributes API","Category attributes API"
"Category move error","Ett fel uppstod när kategorin skulle flyttas"
"Category move error %s","Fel vid flytt av kategori %s"
"Category move operation is not possible: parent category is equal to child category.","Det går inte att genomföra flytt av kategori; överordnad kategori är den samma som underordnad."
"Category move operation is not possible: the current category was not found.","Det går inte att genomföra flytt av kategori; det gick inte att hitta den nuvarande kategorin."
"Category move operation is not possible: the new parent category was not found.","Det går inte att genomföra flytt av kategori; det gick inte att hitta den nya överordnade kategorin."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori måste vara en instans av Mage_Catalog_Model_Category."
"Center","Center"
"Change","Ändra"
"Change or Retrieve attribute store view","Ändra eller hämta butiksvy för attribut"
"Change status","Status för ändring"
"Check items to add to the cart or","Kryssa för artiklar som skall läggas i varukorgen eller"
"Choose an Option...","Välj ett alternativ..."
"Clear All","Rensa alla"
"Clear Price","Rensa pris"
"Click for price","Klicka för ett pris"
"Close Window","Stäng fönster"
"Collapse All","Stäng alla"
"Comma-separated.","Komma-separerade."
"Comparable","Jämförbar"
"Comparable on Front-end","Jämförbar i butiken"
"Comparable on the Frontend","Jämförbar i butiken"
"Compare","Jämföra"
"Compare Products","Jämför produkter"
"Conditions Combination","Kombinera villkor"
"Configurable Product","Konfigurerbar produkt"
"Configurable Product Settings","Inställningar för konfigurerbar produkt"
"Configure Product","Konfigurera produkt"
"Continue","Fortsätt"
"Copy From Configurable","Kopiera från konfigurerbar"
"Country/State","Land/Stat"
"Create","Skapa"
"Create (Upload)","Skapa (Ladda upp)"
"Create Empty","Skapa tom"
"Create Permanent Redirect for URLs if URL Key Changed","Skapa permanent redirect för URL:er om URL nyckel ändras"
"Create Permanent Redirect for old URL","Skapa permanent redirect för gamla URL:er"
"Create Product Settings","Inställningar för att skapa produkt"
"Create Simple Associated Product","Skapa enkel tillhörande produkt"
"Create attribute set based on another set","Skapa attributmängd baserat på en annan mängd"
"Create new attribute","Skapa nytt attribut"
"Create new category","Skapa ny kategori"
"Create new product","Skapa ny produkt"
"Cross-sells","Korsförsäljning"
"Currently Shopping by:","Currently Shopping by:"
"Custom Design","Anpassad design"
"Custom Options","Anpassade alternativ"
"Custom options","Anpassade alternativ"
"Customer Group","Kundgrupp"
"Customers Reviews","Kunders recensioner"
"Customers Tagged Product","Kunders märkta produkter"
"Data Type for Saving in Database","Datatyp för att spara i databas"
"Date & Time Custom Options","Datum & Tid anpassade alternativ"
"Date Fields Order","Datumfält sortering"
"Date Subscribed","Prenumeration start"
"Datetime","Datum/tid"
"Decimal","Decimal"
"Declare attribute value saving scope","Uppge omfång för sparande av attributvärde"
"Default ""What's This"" Text Message","Förvalt ""Vad är detta"" meddelande"
"Default Popup Text Message","Förvalt pop-up meddelande"
"Default Price","Förvalt pris"
"Default Price Navigation Step","Förvalt prissteg för filterbaserad navigering"
"Default Qty","Förvalt antal"
"Default Values","Förvalda värden"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Fastställer omfång för basvalutan (""Valutainställningar"" > ""Valutaalternativ"" > ""Basvaluta"")."
"Delete","Ta bort"
"Delete Attribute","Ta bort attribut"
"Delete Attribute Set","Ta bort attributmängd"
"Delete Category","Ta bort kategori"
"Delete Group Price","Ta bort gruppbaserat pris"
"Delete Option","Ta bort alternativ"
"Delete Row","Ta bort rad"
"Delete Search","Ta bort sökning"
"Delete Selected Group","Ta bort markerad grupp"
"Delete Tier","Ta bort steg"
"Delete attribute","Ta bort attribut"
"Delete category","Ta bort attribut"
"Delete product","Ta bort produkt"
"Depends on design theme","Är beroende av designtema"
"Design","Design"
"Details","Detaljer"
"Disabled","Inaktiverad"
"Disallowed file type.","Otillåtna filformat."
"Display Actual Price","Visa faktiskt pris"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Visa prisintervall som ett pris"
"Display Product Count","Visa antal produkter"
"Display Type","Visningstyp"
"Display in Suggested Terms","Visa i föreslagna termer"
"Double click on a group to rename it","Dubbelklicka på en grupp för att ändra namn"
"Double click on above image to view full picture","Dubbelklicka på en bild ovan för att visa den i full storlek"
"Downloadable Information","Nedladdningsbar information"
"Duplicate","Duplicera"
"Duplicate amount found.","Duplicate amount found."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","T. ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamiska länkar kan påverka prestandan negavtivt."
"Edit","Redigera"
"Edit Attribute Set '%s'","Redigera attributsmängden '%s'"
"Edit Product Attribute","Redigera produktattribut"
"Edit Product Attribute ""%s""","Redigera produktattribut ""%s"""
"Edit Search","Ändra sök"
"Edit Search '%s'","Ändra sök '%s'"
"Edit Set Name","Ändra mängdnamn"
"Email","E-post"
"Email to a Friend","Skicka till en vän"
"Empty","Tom"
"Enable MAP","Aktivera MAP"
"Enable Qty Increments","Aktivera stegvis ökning för antal"
"Enable WYSIWYG","Aktivera Wysiwyg"
"Enable for reindexing a big number of SKUs.","Aktivera för att indexera ett stort antal art. nr."
"Enabled","Aktiverad"
"Error during retrieval of option value: %s","Ett fel uppstod när värde för alternativ skulle hämtas: %s"
"Exclude","Uteslut"
"Expand All","Öppna alla"
"Failed","Misslyckades"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Det gick inte att kopiera filen %s. Ta bort media som inte har någon bild och försök igen."
"Failed to move file: %s","Det gick inte att flytta filen: %s"
"Feature Products","Feature Products"
"Field is not complete","Fältet är inte korrekt ifyllt"
"File options format is not valid.","Alternativ för filformat är inte giltigt."
"File upload failed","Det gick inte att ladda upp filen"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filterable (no results)","Filtrerbar (utan resultat)"
"Filterable (with results)","Filtrerbar (med resultat)"
"First Name","Förnamn"
"Fixed","Fixerad"
"For internal use.","För intern användning"
"For the last time placed.","For the last time placed."
"Frontend","Butiken"
"Frontend Model","Frontend Model"
"Frontend Properties","Egenskaper för butiken"
"Gallery","Galleri"
"General Information","Allmän information"
"Get full information about attribute with list of options","Hämta all information om attribut med lista på alternativ"
"Get full information about custom option in product","Hämta all information om anpassat alternativ för produkt"
"Get list of available custom option types","Hämta en lista på tillgängliga typer av anpassade alternativ"
"Get list of non-default attributes by product type and attributes set","Hämta en lista på ej förvalda attribut efter produkttyp och attributmängd"
"Get list of possible attribute types","Hämta en lista på tillgängliga typer av attribut"
"Get special price","Hämta specialpris"
"Global","Global"
"Globally Editable","Globalt redigerbar"
"Go to Home Page","Gå till hemsidan"
"Grid","Rutnät"
"Group add","Lägg till grupp"
"Group remove","Ta bort grupp"
"Grouped Product","Grupperad produkt"
"Groups","Grupper"
"Home","Hem"
"ID","Id"
"ID: %s","Id: %s"
"If empty, the Category Name will be used","Om tomt så kommer kategorinamnet att användas"
"If empty, the Product Name will be used","Om tomt så kommer produktnamnet att användas"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Om du inte anger ett värde för en specifik butiksvy så kommer det förvalda (admin) värdet att användas."
"Image","Bild"
"Image content is not valid base64 data.","Bildinnehållet är inte giltig base64 data."
"Image does not exist.","Bilden finns inte:"
"Image file was not found.","Bildfilen kunde inte hittas."
"Image type and information need to be specified for each store view.","Bildtyp och information måste anges för varje butiksvy."
"In Cart","I varukorgen"
"In Stock","I lager"
"In stock","I lager"
"Incl. Tax","Inkl. moms"
"Index product and categories URL rewrites","Indexera URL rewrites för produkter och kategorier"
"Index product attributes for layered navigation building","Indexera produktattribut för filterbaserad navigering"
"Index product prices","Indexera produktpriser"
"Indexed category/products association","Indexerat koppling kategori/produkter"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Indatatyp"
"Integer","Heltal"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Ogiltiga priser för mängdrabatt"
"Invalid attribute %s","Ogiltigt attribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Ogiltigt block: %s."
"Invalid category IDs.","Ogiltiga kategori id."
"Invalid category.","Ogiltig kategori."
"Invalid image file type.","Ogiltigt filformat för bild."
"Invalid image type.","Ogiltig bildtyp."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Ogiltig butik har angetts"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Ogiltiga priser för mängdrabatt. Produkten är inte kopplad till den efterfrågade webbplatsen."
"Inventory","Lager"
"Is Default","Är förvalt"
"Is Required","Är obligatorisk"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artiklar som du inte vill ska visas i katalogen eller sökresultat ska ha status 'Inaktiverad"" under den önskade butiksvyn."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artiklar som du inte vill ska visas i katalogen eller sökresultat ska ha status 'Inaktiverad"" under den önskade butiksvyn."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Etikett"
"Last Name","Efternamn"
"Last Notification","Senaste meddelande"
"Layered Navigation","Filterbaserad navigering"
"Learn More","Läs mer"
"Line %d, Email: %s","Rad %d, e-post: %s"
"Line %d, SKU: %s","Rad %d, artikelnummer: %s"
"Link (Related, Up sell, Cross sell)","Länk (Relaterade, uppförsäljning, korsförsäljning)"
"Link product does not exist.","Den länkade produkten finns inte."
"Link to a Specified Category","Länk till en specifik kategori"
"Link to a Specified Product","Länk till en specifik produkt"
"List","Lista"
"List Mode","Listläge"
"List of Products that are set as New","Lista på produkter som är Nya"
"List of types","Lista på typer"
"Manage Attribute Sets","Hantera attributmängder"
"Manage Attributes","Hantera attribut"
"Manage Catalog Categories","Hantera kategorier"
"Manage Categories","Hantera kategorier"
"Manage Label / Options","Hantera etiketter / alternativ"
"Manage Options (values of your attribute)","Hantera alternativ (attributvärden)"
"Manage Product Attributes","Hantera produktattribut"
"Manage Product Sets","Hantera produktmängder"
"Manage Products","Hantera produkter"
"Manage Stock","Hantera lager"
"Manage Titles (Size, Color, etc.)","Hantera etiketter (storlek, färg, etc.)"
"Max Characters","Max antal tecken"
"Maximal Depth","Max djup för meny"
"Maximum Image Size","Max bildstorlek"
"Maximum Number of Price Intervals","Max antal prisintervall"
"Maximum Qty Allowed in Shopping Cart","Max antal tillåtet i varukorg"
"Maximum allowed image size for '%s' is %sx%s px.","Max tillåten bildstorlek för '%s' är %sx%s px."
"Maximum image height","Max höjd på bild"
"Maximum image width","Max bredd på bild"
"Maximum number of characters:","Max antal tecken:"
"Maximum number of price intervals is 100","Max antal prisintervall är 100"
"Media Image","Mediabild"
"Minimum Advertised Price","Lägsta visade pris"
"Minimum Lines per Page","Minimum rader per sida"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tillåtet i varukorg"
"Minimum Qty for Item\'s Status to be Out of Stock","Minsta antal för att en artikel ska bli 'Slut i lager'"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","Fler bilder"
"Move","Flytta"
"Move category in tree","Flytta kategori i träd"
"Multi update product","Multi update product"
"Must be in the allowed values list.","Måste finnas med på listan över tillåtna värden."
"N/A","Ej tillämpligt"
"Name","Namn"
"Name in %s","Namn i %s"
"New Product","Ny produkt"
"New Product Attribute","Nytt produktattribut"
"New Products","Nya produkter"
"New Products Grid Template","Ny rutnätsmall för produkter"
"New Products List Template","Ny listmall för produkter"
"New Root Category","Ny rotkategori"
"New Search","Ny sökning"
"New Set Name","New Set Name"
"New Subcategory","Ny underkategori"
"New products","Nya produkter"
"Next","Nästa"
"No","Nej"
"No image","Ingen bild"
"No layout updates","Inga layoutuppdateringar"
"No options of this product are available.","Inga alternativ för denna produkt är tillgängliga."
"No product collections found.","No product collections found."
"None","Inga"
"Not Visible Individually","Ej individuellt synlig"
"Notify Low Stock RSS","RSS för artiklar som håller på att ta slut i lager"
"Notify for Quantity Below","Meddela när lagervärde är mindre än"
"Number of Products per Page","Antal produkter per sida"
"Number of Products to Display","Antal produkter att visa"
"Number of Uses","Antal användningar"
"Number of results","Antal resultat"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"OK","OK"
"OR","ELLER"
"Old Price:","Tidigare pris:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option values","Värden för alternativ"
"Option:","Alternativ:"
"Options","Alternativ"
"Options Control","Options Control"
"Options is required","Alternativ är obligatoriska"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Slut i lager"
"Out of stock","Slut i lager"
"PM","PM"
"Page Title Separator","Avskiljare för sidtitel"
"Parent Category","Överordnad kategori"
"Pending","Avvaktande"
"Pending Reviews RSS","RSS för recensioner att granska"
"Percentage","Procentsats"
"Please add rows to option.","Lägg till rader för alternativ."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on the Close Window button if it is not closed automatically.","Klicka på knappen Stäng fönster om det inte stängs automatiskt."
"Please enter a new group name","Ange ett nytt gruppnamn"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Uppdatera ""URL rewrites för katalog"" och ""Produktattribut"" i System -&gt; <a href=""%s"">Index hantering</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a static block ...","Välj ett statiskt block ..."
"Please select items.","Välj artiklar."
"Please select one or more attributes.","Välj ett eller flera attribut."
"Please select product(s).","Välj produkt(er)."
"Please select products for attributes update","Välj produkter för attributuppdatering"
"Please set up merge date/time","Please set up merge date/time"
"Please set up merge date/time later then present date","Please set up merge date/time later then present date"
"Please specify date required option(s).","Ange obligatoriska datumalternativ."
"Please specify the number of products, that will not be divided into subintervals.","Ange det antal produkter, som inte kommer att delas in i intervaller."
"Please specify the product required option(s)","Ange de obligatoriska alternativen för produkten."
"Please specify the product required option(s).","Ange de obligatoriska alternativen för produkten."
"Please specify the product\'s option(s).","Ange produktalternativ(en)."
"Please specify the product\'s required option(s).","Ange de obligatoriska alternativen för produkten."
"Please specify the quantity of product(s).","Ange antal för produkt(er)."
"Please specify time required option(s).","Ange obligatoriska tidsalternativ."
"Please wait...","Vänligen vänta..."
"Position","Position"
"Position in Layered Navigation","Position i filterbaserad navigering"
"Position of attribute in layered navigation block","Position för attribut i filterbaserad navigering"
"Prev","Föreg."
"Previous","Föregående"
"Price","Pris"
"Price Navigation Step Calculation","Uträkning av steg för prisbaserad navigering"
"Price Type","Pristyp"
"Price is not available","Priset är inte tillgängligt"
"Price values for options should be specified in system base currency.","Priser för alternativ ska anges i systemets basvaluta"
"Price:","Pris:"
"Price: %s","Pris: %s"
"Print This Page","Skriv ut sidan"
"Product","Produkt"
"Product API","Product API"
"Product Alerts","Produktbevakningar"
"Product Attribute","Produktattribut"
"Product Attributes","Produktattribut"
"Product Categories","Produktkategorier"
"Product Description","Produktbeskrivning"
"Product Extra Info","Extra information för produkt"
"Product Flat Data","Produkt 'flat' data"
"Product ID","Produktid"
"Product Image Placeholders","Platsbehållare för produktbild"
"Product Image Watermarks","Vattenmärken för produktbild"
"Product Images","Produktbilder"
"Product Images API","Product Images API"
"Product In Websites","Produkt på webbplatser"
"Product Info Column","Produktinfokolumn"
"Product Information","Information om produkt"
"Product Link Block Template","Blockmall för produktlänk"
"Product Link Inline Template","Inlinemall för produktlänk"
"Product Listing Sort by","Sortering av produktlistning"
"Product Name","Produktnamn"
"Product Prices","Produktpriser"
"Product Reviews","Produktrecensioner"
"Product Tags","Produktetiketter"
"Product Tier Price API","Product Tier Price API"
"Product Type","Produkttyp"
"Product URL Suffix","URL suffix för produkter"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","Product attribute sets API"
"Product attributes API","Product attributes API"
"Product collection expected.","Product collection expected."
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product types API","Product types API"
"Product with this combination of attributes already associated to configurable.","Det finns redan en produkt med samma attributkombination kopplad till den konfigurerbara produkten."
"Products","Produkter"
"Products Comparison List","Lista produktjämförelse"
"Products Information","Information om produkter"
"Products Reviews","Produktrecensioner"
"Products Sitemap","Sajtkarta för produkter"
"Products only","Endast produkter"
"Products per Page on Grid Allowed Values","Tillåtna värden för antal produkter per sida i rutnät"
"Products per Page on Grid Default Value","Förvalt antal produkter per sida i rutnät"
"Products per Page on List Allowed Values","Tillåtna värden för antal produkter per sida i lista"
"Products per Page on List Default Value","Förvalt antal produkter per sida i lista"
"Properties","Egenskaper"
"Qty","Antal"
"Qty Increments","Stegvis ökning för antal"
"Qty Uses Decimals","Antal använder decimaler"
"Qty for Item\'s Status to Become Out of Stock","Antal för att artikelns status ska bli Slut i lager"
"Qty:","Antal:"
"Quantity","Antal"
"Quick Create","Snabbskapa"
"Quick Overview","Snabb översikt"
"Quick simple product creation","Snabbt skapa enkel produkt"
"Records for ""%s"" store found.","Poster för butik ""%s"" hittades."
"Redirect","Redirect"
"Redirect URL","URL för redirect"
"Regular Price:","Ordinarie pris:"
"Related Products","Relaterade produkter"
"Remove","Ta bort"
"Remove Product From Websites","Ta bort produkt från webbplatser"
"Remove This Item","Ta bort artikeln"
"Remove attribute from attribute set","Ta bort attribut från attributmängd"
"Remove attribute set","Ta bort attributmängd"
"Remove custom option","Ta bort anpassat alternativ"
"Remove group from attribute set","Ta bort grupp från attributmängd"
"Remove option","Ta bort alternativ"
