" Copy","Kopiera"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Tyvärr kan ej registrerade kunder inte prenumerera på nyhetsbrevet. <a href=""%s"">Skapa ett konto här</a>."
"Start","Börja"
"Status","Status"
"Store","Butik"
"Store View","Butiksvy"
"Subject","Ämnesrad"
"Submit","Skicka"
"Subscribe","Prenumerera"
"Subscribed","Prenumerant"
"Subscriber","Prenumerant"
"Subscribers","Prenumeranter"
"Subscribers From","Prenumeranter från"
"Subscription Options","Alternativ för prenumeration"
"Success Email Sender","E-postavsändare för mail om lyckad prenumeration"
"Success Email Template","E-postmall för mail om lyckad prenumeration"
"Template Content","Innehåll i mall"
"Template Information","Information om mall"
"Template Name","Mallnamn"
"Template Styles","Stilar för mall"
"Template Subject","Ämnesrad för mall"
"Template Type","Malltyp"
"Thank you for your subscription.","Tack för att du prenumererar på vårt nyhetsbrev."
"The subscription has been removed.","Prenumerationen har tagits bort."
"The subscription has been saved.","Prenumerationen har sparats."
"There was a problem with the subscription.","Det uppstod ett fel med prenumerationen."
"There was a problem with the subscription: %s","Det uppstod ett fel med prenumerationen: %s"
"There was a problem with the un-subscription.","Det uppstod ett fel i samband med uppsägningen av prenumerationen."
"This email address is already assigned to another user.","E-postadressen används redan av en annan användare."
"Type","Typ"
"Unconfirmed","Obekräftad"
"Unsubscribe","Säg upp prenumeration"
"Unsubscribe Selected","Säg upp markerade prenumerationer"
"Unsubscribed","Prenumeration uppsagd"
"Unsubscription Email Sender","E-postavsändare för uppsägning av prenumeration"
"Unsubscription Email Template","E-postmall för uppsägning av prenumeration"
"View Newsletter","Granska nyhetsbrev"
"Website","Webbsida"
"You have been unsubscribed.","Din prenumeration är uppsagd."
"Your subscription has been confirmed.","Din prenumeration är bekräftad."
