"%s","%s"
"%s already exist.","%s finns redan."
"%s already exists.","%s finns redan."
"-- Please Select --","-- Vänligen välj --"
"Anchor symbol (#) is not supported in request path","<a> tecken (#) stöds inte som sökväg"
"Anchor symbol (#) is not supported in url rewrite suffix","<a> tecken (#) stöds inte som URL rewrite suffix"
"Are you sure?","Är du säker?"
"Auto-redirect to Base URL","Auto-redirect till bas URL"
"Back","Tillbaka"
"Backup Options","Alternativ för backup"
"Base JavaScript URL","Bas URL för JavaScript"
"Base Link URL","Bas URL för länkar"
"Base Media URL","Bas URL för media"
"Base Secure URL","Säker bas URL (https)"
"Base Skin URL","Bas URL för tema"
"Base URL","Bas URL"
"Base Unsecure URL","Bas URL osäker (http)"
"Before modifying the store view code please make sure that it is not used in index.php.","Innan kod för butiksvy ändras så försäkra dig om att den inte används i index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Innan kod för webbplats ändras så försäkra dig om att den inte används i index.php."
"Block with name ""%s"" already exists","Det finns redan ett block med namn ""%s"""
"Browser Capabilities Detection","Browser Capabilities Detection"
"CSS Settings","CSS inställningar"
"Cache Storage Management","Hantera cachelagring"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cachelagring kan innehålla extra data. Är du säker på att du vill tömma den?"
"Can not create invoice. Order was not found.","Det går inte att skapa faktura. Beställningen kunde inte hittas."
"Can't retrieve request object","Det gick inte att hämta objekt för förfrågan"
"Can\'t retrieve entity config: %s","Can\'t retrieve entity config: %s"
"Cancel","Avbryt"
"Cannot complete this operation from non-admin area.","Det går inte att genomföra detta från en ej admin sektion."
"Card type does not match credit card number.","Korttyp överensstämmer inte med kortnummer."
"Code","Kod"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Domän för cookie"
"Cookie Lifetime","Livslängd för cookie"
"Cookie Path","Sökväg för cookie"
"Cookie Restriction Mode","Begränsningsläge för cookie"
"Copyright","Copyright"
"Core","Core"
"Countries Options","Alternativ för länder"
"Country","Land"
"Create Store","Skapa butik"
"Create Store View","Skapa butiksvy"
"Create Website","Skapa webbplats"
"Credit card number does not match credit card type.","Kortnummer överensstämmer inte med korttyp."
"Current Package Name","Namn nuvarande paket"
"Custom Admin Path","Custom Admin Path"
"Custom Admin URL","Custom Admin URL"
"Custom Design","Anpassad design"
"Custom Email 1","Anpassad e-postadress 1"
"Custom Email 2","Anpassad e-postadress 2"
"Custom Variables","Egna variabler"
"Custom1 Contact Email","Anpassad 1 e-postadress"
"Custom1 Contact Name","Anpassad 1 namn"
"Custom2 Contact Email","Anpassad 2 e-postadress"
"Custom2 Contact Name","Anpassad 2 namn"
"Customer Support","Kundtjänst"
"Dashboard","Översikt"
"Date From","Datum från"
"Date To","Datum till"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","Förvalt"
"Default Country","Förvalt land"
"Default Description","Förvald beskrivning"
"Default Keywords","Förvalda nyckelord"
"Default No-route URL","Förvald URL för no-route"
"Default Pages","Förvalda sidor"
"Default Robots","Förvalt meta robots"
"Default Store","Förvald butik"
"Default Store View","Förvald butiksvy"
"Default Title","Förvald titel"
"Default Web URL","Förvald web URL"
"Delete","Ta bort"
"Delete Store","Ta bort butik"
"Delete Store View","Ta bort butiksvy"
"Delete Website","Ta bort webbplats"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Design"
"Design Change","Designändring"
"Developer","Utvecklare"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable Email Communications","Inaktivera e-postkommunikation"
"Disable Modules Output","Inaktivera moduler"
"Display Demo Store Notice","Visa demobutik meddelande"
"Duplicate Of Template Name","Dublett på temanamn"
"Edit Design Change","Redigera designändring"
"Edit Store","Redigera butik"
"Edit Store View","Redigera butiksvy"
"Edit Website","Redigera webbplats"
"Empty identifier field name","Inget namn för fält id"
"Empty main table name","Inget namn för huvudtabell"
"Enable Charts","Aktivera diagram"
"Enabled","Aktiverad"
"Enabled for Admin","Aktiverad för admin"
"Enabled for Frontend","Aktiverad för butiken"
"Environment Update Time","Environment Update Time"
"Error in file: ""%s"" - %s","Det uppstod ett fel i filen: ""%s"" - %s"
"European Union Countries","EU länder"
"Exceptions Log File Name","Namn på exceptions logg fil"
"Favicon Icon","Favicon"
"File %s does not exist","Filen %s finns inte"
"File %s is not readable","Filen %s är inte läsbar"
"File not found","Filen kunde inte hittas"
"File system","Filsystem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Fil av format ""%value%"" är skyddad och kan inte laddas upp"
"First Day of Week","Första dag i veckan"
"Flush Cache Storage","Töm cachelagring"
"Flush Magento Cache","Töm Magento cache"
"Footer","Sidfot"
"Forgot Password Email Sender","E-postavsändare glömt lösenord"
"Forgot Password Email Template","E-postmall glömt lösenord"
"General","Allmänt"
"General Contact","Allmän kontakt"
"General Contact Email","Allmän kontakt e-postadress"
"General Contact Name","Allmän kontakt namn"
"General Settings","Allmänna inställningar"
"Get info about current Magento installation","Hämta info om befintlig Magento installation"
"Global","Global"
"HTML Head","HTML Head"
"HTML tags are not allowed","HTML-taggar är inte tillåtna"
"Header","Sidhuvud"
"Host","Host"
"How many links to display at once.","Hur många länkar som visas samtidigt."
"ID Path for Specified Store","ID Path for Specified Store"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date.","Felaktigt utgångsdatum för kort."
"Input type ""%value%"" not found in the input types list.","Indatatyp ""%value%"" kunde inte hittas i listan över indatatyper."
"Invalid URL '%value%'.","Ogiltig URL '%value%'."
"Invalid base url type","Ogiltig typ för bas URL"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Ogiltig typ för block: %s"
"Invalid block: %s","Ogiltigt block: %s"
"Invalid connection","Ogiltig anslutning"
"Invalid date","Ogiltigt datum"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid query","Ogiltig förfrågan"
"Invalid transactional email code: %s","Ogiltig kod e-post för transaktioner: %s"
"Invalid website\'s configuration path: %s","Ogiltig sökväg för konfiguration av webbplats: %s"
"JavaScript Settings","JavaScript inställningar"
"Layout","Layout"
"Leave empty for access from any location.","Leave empty for access from any location."
"List of stores","Lista på butiker"
"Locale","Språk"
"Locale Options","Språkalternativ"
"Log Settings","Logginställningar"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Login is Case Sensitive","Inloggning är shiftlägeskänslig"
"Logo Image","Logo bild"
"Logo Image Alt","Logo Alt tagg"
"Logo Image Src","Logo sökväg till bild"
"Magento info","Magento info"
"Magento info API","Magento info API"
"Mail Sending Settings","Inställningar för e-post"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","URL måste sluta med '/', t. ex http://domän.se/"
"Manage Stores","Hantera butiker"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Media Storage","Medialagring"
"Merge CSS Files","Slå ihop CSS filer"
"Merge JavaScript Files","Slå ihop JS filer"
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous Scripts","Diverse script"
"Model collection resource name is not defined.","Model collection resource name is not defined."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%1$s"" cannot depend on ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" requires module ""%2$s""."
"Name","Namn"
"New Design Change","Ny designändring"
"New Store","Ny butik"
"New Store View","Ny butiksvy"
"New Website","Ny webbplats"
"No","Nej"
"Offloader header","Offloader header"
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Package","Paket"
"Pagination","Sidindelning"
"Pagination Frame","Sidindelning inramning"
"Pagination Frame Skip","Sidindelning antal steg utanför inramning"
"Parent directory does not exist: %s","Överordnad mapp finns inte: %s"
"Path ""%value%"" is not available and cannot be used.","Sökväg ""%value%"" är inte tillgänglig och kan inte användas."
"Path ""%value%"" is protected and cannot be used.","Sökväg ""%value%"" är skrivskyddad och kan inte användas."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please define flag code.","Ange kod för flagga."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Ange 6 eller fler tecken. Mellanslag i början eller slutet kommer att tas bort."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Ange 7 eller fler tecken. Lösenord ska innehålla både siffror och bokstäver."
"Please enter a number 0 or greater in this field.","Ange siffra 0 eller högre i detta fält."
"Please enter a number 1 or greater in this field.","Ange siffra 1 eller högre i detta fält."
"Please enter a number greater than 0 in this field.","Ange ett tal som är större än 0 i detta fält."
"Please enter a number lower than 100.","Ange ett nummer lägre än 100."
"Please enter a valid $ amount. For example $100.00.","Ange ett giltigt belopp. T ex 100."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Ange en giltig URL nyckel. T ex ""exempel-sida"", ""exempel-sida.html"" eller ""sokvag/exempel-sida""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Ange en giltig URL, t ex http://www.exempel.se eller www.exempel.se"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Ange en giltig URL. Protokoll är obligatoriskt (http://, https:// eller ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Ange ett giltigt XML id. T ex block1, block_1 eller block-1."
"Please enter a valid credit card number.","Ange ett giltigt kortnummer."
"Please enter a valid credit card verification number.","Ange ett giltigt verifieringsnummer (CVC) för kortet."
"Please enter a valid date between %s and %s","Ange ett giltigt datum mellan %s och %s"
"Please enter a valid date equal to or greater than %s","Ange ett giltigt datum lika med eller senare än %s"
"Please enter a valid date less than or equal to %s","Ange ett giltigt datum tidigare än eller lika med %s"
"Please enter a valid date.","Ange ett giltigt datum."
"Please enter a valid day (1-%d).","Ange en giltig dag (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Ange en giltig e-postadress, t ex namn@exempel.se."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Ange ett giltigt faxnummer. T ex 0123-456789."
"Please enter a valid full date","Ange ett giltigt fullständigt datum"
"Please enter a valid month (1-12).","Ange en giltig månad (1-12)."
"Please enter a valid number in this field.","Ange ett giltigt nummer i detta fält."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ange ett giltigt telefonnummer, t ex 0123-456789."
"Please enter a valid social security number. For example 123-45-6789.","Ange ett giltigt personnummer, t ex 010101-0106."
"Please enter a valid year (1900-%d).","Ange ett giltigt årtal (1900-%d)."
"Please enter a valid zip code.","Ange ett giltigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Ange ett giltigt postnummer, t ex 123 45."
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Ange en giltig längd i CSS. T ex 100px, 77pt, 20em, .5ex eller 50%."
"Please make sure your passwords match.","Försäkra dig om att dina lösenord överensstämmer."
"Please select State/Province.","Välj region."
"Please select a file","Välj en fil"
"Please select an option.","Välj ett alternativ."
"Please select one of the above options.","Välj ett av alternativen ovan."
"Please select one of the options.","Välj ett av alternativen."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"Please specify either a category or a product, or both.","Ange antingen en kategori, en produkt eller båda"
"Please use letters only (a-z or A-Z) in this field.","Använd endast bokstäver (a-z eller A-Z) i detta fält."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Använd endast siffror i detta fält. Undvik mellanslag eller andra tecken som punkter eller komman."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Använd endast bokstäver (a-z eller A-Z) eller siffror (0-9) i detta fält. Inga mellanslag eller andra tecken är tillåtna."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller mellanslag och # i detta fält."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Använd endast bokstäver (a-z eller A-Z), siffror (0-9) eller understreck (_) i detta fält. Första tecknet ska vara en bokstav."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Använd endast bokstäver (a-z), siffror (0-9) eller understreck (_) i detta fält. Första tecknet ska vara en bokstav."
"Please use only visible characters and spaces.","Använd endast synliga tecken och mellanslag."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Ange datum som: dd/mm/åååå. T ex 17/03/2006 för den 17:e mars, 2006."
"Please wait, loading...","Vänligen vänta, laddar..."
"Polls","Enkäter"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Giltighet för återställningslänk (dagar)"
"Request Path for Specified Store","Request Path for Specified Store"
"Request path length exceeds allowed %s symbols.","Request path length exceeds allowed %s symbols."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Requested file may not include parent directory traversal (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set.","Resource is not set."
"Retrieve info about current Magento installation","Hämta info om befintlig Magento installation"
"Retrieve store data","Hämta data om butik"
"Retrieve store list","Hämta lista på butiker"
"Return-Path Email","Return-Path Email"
"Root Category","Rotkategori"
"Sales Representative","Försäljning representant"
"Sales Representative Contact Email","Försäljning representant e-postadress"
"Sales Representative Contact Name","Försäljning representant namn"
"Save","Spara"
"Save Store","Spara butik"
"Save Store View","Spara butiksvy"
"Save Website","Spara webbplats"
"Search Engines Optimization","Sökmotoroptimering"
"Secure","Säker"
"Security","Säkerhet"
"Select Date","Välj datum"
"Select Media Database","Välj databas för media"
"Sender Email","E-postavsändare"
"Sender Name","Avsändarnamn"
"Services","Tjänster"
"Session Cookie Management","Hantera session cookies"
"Session Lifetime (seconds)","Livslängd session (sekunder)"
"Session Validation Settings","Inställningar sessionsvalidering"
"Set Return-Path","Set Return-Path"
"Set as Default","Ange som förvalt"
"Skin (Images / CSS)","Tema (bilder / CSS)"
"Sort Order","Sortering"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angivet datum/tid ""%1$s"" överensstämmer inte med ""%2$s""."
"Start date cannot be greater than end date.","Startdatum kan inte vara senare än slutdatum."
"Startup Page","Startsida"
"Status","Status"
"Storage Configuration for Media","Storage Configuration for Media"
"Store","Butik"
"Store API","Store API"
"Store Contact Address","Kontaktadress butik"
"Store Contact Information","Kontaktinformation butik"
"Store Contact Telephone","Kontakttelefon butik"
"Store Email Addresses","E-postadresser för butik"
"Store Information","Information om butik"
"Store Name","Butiksnamn"
"Store View","Butiksvy"
"Store View Information","Information om butiksvy"
"Store View Name","Butiksvy namn"
"Store view doesn't exist","Butiksvy finns inte"
"Store with the same code","Butik med samma kod"
"System","System"
"System Log File Name","Namn på system loggfil"
"Template Path Hints","Template Path Hints"
"Template Settings","Template Settings"
"Template Variables","Mallvariabler"
"Templates","Mallar"
"Text length does not satisfy specified text range.","Textlängd överensstämmer inte med det angivna intervallet."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s du angav är ogiltig. Försäkra dig om att det är i formatet ""http://domain.com/""."
"The From Date value should be less than or equal to the To Date value.","Värdet Från datum ska vara tidigare än eller lika med värdet Till datum."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Butikskoden kan endast innehålla bokstäver (a-z), siffror (0-9) eller understreck (_). Det första tecknet ska vara en bokstav."
"The store does not exist","Butiken finns inte"
"The store has been deleted.","Butiken har tagits bort."
"The store has been saved.","Butiken har sparats."
"The store view has been deleted.","Butiksvyn har tagits bort."
"The store view has been saved","Butiksvyn har sparats"
"The template Name must not be empty.","Mallnamn kan inte vara tomt."
"The value is not within the specified range.","Värdet är inte inom det angivna intervallet."
"The website does not exist.","Webbplatsen finns inte."
"The website has been deleted.","Webbplatsen har tagits bort."
"The website has been saved.","Webbplatsen har sparats."
"Themes","Teman"
"This category and all its child elements","Denna kategori och alla dess underordnade element"
"This category and its child categories only","Denna kategori och dess underordnade kategorier"
"This category and its products only","Denna kategori och dess produkter"
"This category only","Endast denna kategori"
"This date is a required value.","Detta datum är ett obligatoriskt värde."
"This is a required field.","Detta är ett obligatoriskt fält."
"This store cannot be deleted.","Denna butik kan inte tas bort."
"This store view cannot be deleted.","Denna butiksvy kan inte tas bort."
"This website cannot be deleted.","Denna webbplats kan inte tas bort."
"This will be displayed just before body closing tag.","Detta kommer att infogas innan stängnings-tag för body."
"This will be included before head closing tag in page HTML.","Detta kommer att infogas innan stängnings-tag för head."
"Timezone","Tidszon"
"Title Prefix","Prefix för meta titel"
"Title Suffix","Suffix för meta titel"
"Transactional Emails","E-post för transaktioner"
"Translate Inline","Översättning inline"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Inaktivera alla cacher för att inline översättning ska fungera korrekt."
"Translations","Översättningar"
"Two and more slashes together are not permitted in request path","Två eller fler snedstreck tillsammans (//) är inte tillåtna i en sökväg"
"Two and more slashes together are not permitted in url rewrite suffix","Två eller fler snedstreck tillsammans (//) är inte tillåtna som suffix för URL rewrite"
"Unable to create directory: %s","Det gick inte att skapa mappen: %s"
"Unable to delete store view. Please, try again later.","Det gick inte att ta bort butiksvyn. Försök igen senare."
"Unable to delete store. Please, try again later.","Det gick inte att ta bort butiken. Försök igen senare."
"Unable to delete website. Please, try again later.","Det gick inte att ta bort webbplatsen. Försök igen senare."
"Unable to proceed. Please, try again","Det gick inte att gå vidare. Försök igen senare."
"Unable to proceed. Please, try again.","Det gick inte att gå vidare. Försök igen senare."
"Unable to save file ""%s"" at ""%s""","Det gick inte att spara fil ""%s"" för ""%s"""
"Unable to save file: %s","Det gick inte att spara fil: %s"
"Unknown old style column type definition: {$definition}.","Unknown old style column type definition: {$definition}."
"Unknown scope ""%s"".","Okänt omfång ""%s""."
"Unsecure","Osäker"
"Url Options","URL alternativ"
"Use Custom Admin Path","Use Custom Admin Path"
"Use Custom Admin URL","Use Custom Admin URL"
"Use HTTP Only","Use HTTP Only"
"Use SID on Frontend","Use SID on Frontend"
"Use Secure URLs in Admin","Använd säkra URL:er i admin"
"Use Secure URLs in Frontend","Använd säkra URL:er i butiken"
"Use Web Server Rewrites","Använd rewrites från webbservern"
"VAT Number","VAT nummer"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Validering misslyckades."
"Values less than 60 are ignored. Note that changes will apply after logout.","Värden mindre än 60 sparas inte. Förändringar tillämpas efter ut- och inloggning."
"Variable Code must be unique.","Kod för variabel ska vara unik."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk."
"Web","Web"
"Website","Webbplats"
"Website Information","Information om webbplats"
"Website Name","Webbplatsens namn"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Webbplatskod kan endast innehålla bokstäver (a-z), siffror (0-9) eller understreck (_). Det första tecknet ska vara en bokstav."
"Website with the same code","Webbplats med samma kod"
"Weekend Days","Helgdagar"
"Welcome Text","Välkomsttext"
"Wrong file info format","Felaktigt format för infofil"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
"Wrong old style column type definition: {$definition}.","Wrong old style column type definition: {$definition}."
"Yes","Ja"
"You will have to log in after you save your custom admin path.","You will have to log in after you save your custom admin path."
"Your design change for the specified store intersects with another one, please specify another date range.","Din designändring för den angivna butiken krockar med en annan. Välj ett annat datumintervall."
"database ""%s""","databas ""%s"""
