"%s","%s"
"%s already exist.","%s already exist."
"%s already exists.","%s existe déjà."
"-- Please Select --","-- Faites un choix --"
"PHP SOAP extension is required.","L'extension SOAP de PHP est requise."
"Package","Interface"
"Pagination","Pagination"
"Pagination Frame","Trame de pagination"
"Pagination Frame Skip","Taille de la trame de pagination"
"Parent directory does not exist: %s","Le répertoire parent n'existe pas : %s"
"Path ""%value%"" is not available and cannot be used.","Le chemin ""%value%"" n'est pas correct et ne peut pas être utilisé."
"Path ""%value%"" is protected and cannot be used.","Le chemin ""%value%"" est protégé et ne peut pas être utilisé."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please define flag code.","Veuillez définir un code de drapeau."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Veuillez saisir au moins 6 caractères. Les espaces en début ou en fin de chaîne seront ignorés."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Veuillez saisir au moins 7 caractères. Le mot de passe doit contenir à la fois des caractères numériques et alphabétiques."
"Please enter a number 0 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 0 dans ce champ."
"Please enter a number 1 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 1."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter a number lower than 100.","Veuillez saisir un nombre inférieur à 100."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple 100.00 €."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Veuillez saisir une URL valide. Par exemple ""page-exemple"", ""page-exemple.html"" ou ""niveau/page-exemple""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.exemple.com ou www.exemple.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Veuillez saisir une URL valide. Le protocole est obligatire (http://, https:// ou ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Veuillez saisir un identifiant XML valide. Par exemple, quelquechose_1, bloc5, id-4."
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Please enter a valid date between %s and %s","Veuillez saisir une date valide entre %s et %s"
"Please enter a valid date equal to or greater than %s","Veuillez saisir une date valide supérieure ou égale à %s"
"Please enter a valid date less than or equal to %s","Veuillez saisir une date valide inférieure ou égale à %s"
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid day (1-%d).","Veuillez saisir un jour valide (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse email valide. Par exemple prenom.nom@domaine.com"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de fax valide. Par exemple 0123456789."
"Please enter a valid full date","Veuillez saisir une date complète valide."
"Please enter a valid month (1-12).","Veuillez saisir un mois valide (1-12)."
"Please enter a valid number in this field.","Veuillez saisir un nombre valide."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid year (1900-%d).","Veuillez saisir une année valide (1900-%d)."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 92100."
"Please enter issue number or start date for switch/solo card type.","Veuillez saisir le numéro de problème ou une date de début pour le type de carte switch/solo."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Veuillez saisir une longueur CSS valide. Par exemple 100px ou 77pt ou 20 em ou .5ex ou 50%."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select State/Province.","Veuillez choisir un état/province."
"Please select a file","Sélectionnez un fichier"
"Please select an option.","Sélectionnez une option"
"Please select one of the above options.","Veuillez choisir une des options ci-dessus."
"Please select one of the options.","Veuillez choisir une des options."
"Please set available and/or protected paths list(s) before validation.","Veuillez renseigner correctement la liste des chemins avant validation."
"Please specify either a category or a product, or both.","Spécifiez une catégorie, un produit ou les deux."
"Please use letters only (a-z or A-Z) in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z) dans ce champ."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Seuls les chiffres sont autorisés dans ce champ. Évitez les espaces ou autres caractères tels que les points ou les virgules."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9), des espaces ou des dièses (#) dans ce champ."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilisez uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des underscores (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ, en commençant par une lettre."
"Please use only visible characters and spaces.","Veuillez utiliser uniquement des caractères visibles et des espaces."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple, 21/12/2012 pour le 21 Décembre 2012."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Polls","Sondages"
"Port (25)","Port (25)"
"Profiler","Profileur"
"Recovery Link Expiration Period (days)","Durée avant expiration d'un lien de récupération (en jours)"
"Request Path for Specified Store","Chemin de requête pour le magasin spécifié"
"Request path length exceeds allowed %s symbols.","Request path length exceeds allowed %s symbols."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Requested file may not include parent directory traversal (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Le magasin demandé ""%s"" n'est pas valide"
"Resource is not set.","La ressource n'est pas renseignée."
"Retrieve info about current Magento installation","Récupérer des informations sur l'installation Magento"
"Retrieve store data","Récupérer les données du magasin"
"Retrieve store list","Récupérer la liste des magasins"
"Return-Path Email","Adresse email de réponse"
"Root Category","Catégorie racine"
"Sales Representative","Représentant des ventes"
"Sales Representative Contact Email","Email du contact représentant des ventes"
"Sales Representative Contact Name","Nom du contact représentant des ventes"
"Save","Sauvegarder"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Save Website","Sauvegarder le site web"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Secure","Sécurisé"
"Security","Sécurité"
"Select Date","Sélectionner une date"
"Select Media Database","Sélectionner la base de données des media"
"Sender Email","Email de l'expéditeur"
"Sender Name","Nom de l'expéditeur"
"Services","Services"
"Session Cookie Management","Gestion des cookies de session"
"Session Lifetime (seconds)","Durée des sessions (secondes)"
"Session Validation Settings","Paramètres de validation de session"
"Set Return-Path","Renseigner le chemin de retour"
"Set as Default","Définir par défaut"
"Skin (Images / CSS)","Design (Images / CSS)"
"Sort Order","Ordre de tri"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","La date/heure spécifiée ""%1$s"" ne correspond pas au format ""%2$s"""
"Start date cannot be greater than end date.","La date de début doit être antérieure à la date de fin."
"Startup Page","Page de démarrage"
"Status","Statut"
"Storage Configuration for Media","Configuration du stockage des media"
"Store","Magasin"
"Store API","API des magasins"
"Store Contact Address","Adresse de contact du magasin"
"Store Contact Information","Informations de contact du magasin"
"Store Contact Telephone","Téléphone de contact du magasin"
"Store Email Addresses","Adresses email du magasin"
"Store Information","Informations magasin"
"Store Name","Nom du magasin"
"Store View","Vue magasin"
"Store View Information","Information de vue magasin"
"Store View Name","Nom de vue magasin"
"Store view doesn't exist","La vue magasin n'existe pas"
"Store with the same code","Magasin avec le même code"
"System","Système"
"System Log File Name","Nom de fichier de logs système"
"Template Path Hints","Astuce chemin des gabarits"
"Template Settings","Paramètres de gabarit"
"Template Variables","Variables de gabarit"
"Templates","Gabarits"
"Text length does not satisfy specified text range.","La longueur du texte ne satisfait pas la plage de texte spécifiée."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Le %s que vous avez saisi n'est pas valide. Veuillez vérifier qu'il respecte le format ""http://domaine.com/""."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Le code du magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"The store does not exist","Le magasin n'existe pas."
"The store has been deleted.","Le magasin a été supprimé."
"The store has been saved.","Le magasin a été sauvegardé."
"The store view has been deleted.","La vue magasin a été supprimée."
"The store view has been saved","La vue magasin a été sauvegardée."
"The template Name must not be empty.","Le nom du gabarit ne doit pas être vide."
"The value is not within the specified range.","La valeur n'est pas dans la plage spécifiée."
"The website does not exist.","Le site web n'existe pas."
"The website has been deleted.","Le site web a été supprimé."
"The website has been saved.","Le site web a été sauvegardé."
"Themes","Thèmes"
"This category and all its child elements","Cette catégorie et tous ses descendants"
"This category and its child categories only","Cette catégorie et toutes ses sous-catégories"
"This category and its products only","Cette catégorie et ses produits seulement"
"This category only","Cette catégorie seulement"
"This date is a required value.","Cette date est obligatoire."
"This is a required field.","Ce champ est obligatoire."
"This store cannot be deleted.","Ce magasin ne peut pas être effacé."
"This store view cannot be deleted.","Cette vue magasin ne peut pas être effacée."
"This website cannot be deleted.","Ce site web ne peut pas être effacé."
"This will be displayed just before body closing tag.","Ceci sera affiché juste avant la balise de fermeture de body"
"This will be included before head closing tag in page HTML.","Ceci sera inclus juste avant la balise de fermeture de body"
"Timezone","Fuseau horaire"
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Transactional Emails","Emails transactionnels"
"Translate Inline","Traduire en ligne"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Les caches de traduction, de blocs et autres sorties doivent être désactivés pour utiliser la traduction en ligne."
"Translations","Traductions"
"Two and more slashes together are not permitted in request path","Il n'est pas autorisé d'utiliser 2 slashes ou plus à la suite dans le chemin de requête."
"Two and more slashes together are not permitted in url rewrite suffix","Il n'est pas autorisé d'utiliser 2 slashes ou plus à la suite dans le suffixe de réécriture d'URL."
"Unable to create directory: %s","Impossible de créer le répertoire : %s"
"Unable to delete store view. Please, try again later.","Impossible de supprimer la vue magasin. Veuillez réessayer ultérieurement."
"Unable to delete store. Please, try again later.","Impossible de supprimer le magasin. Veuillez réessayer ultérieurement."
"Unable to delete website. Please, try again later.","Impossible de supprimer le site web. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unable to proceed. Please, try again.","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unable to save file ""%s"" at ""%s""","Impossible d'enregistrer le fichier ""%s"" sur ""%s"""
"Unable to save file: %s","Impossible d'enregistrer le fichier"
"Unknown old style column type definition: {$definition}.","Ancien style de définition de type de colonne inconnu : {$definition}."
"Unknown scope ""%s"".","Portée inconnue ""%s""."
"Unsecure","Non sécurisé"
"Url Options","Options d'URL"
"Use Custom Admin Path","Utiliser le chemin d'accès au back office personnalisé"
"Use Custom Admin URL","Utiliser une URL d'admin personnalisée"
"Use HTTP Only","Utiliser uniquement HTTP"
"Use SID on Frontend","Utiliser un SID dans le front office"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées pour le front office (mon compte et passage de commande)"
"Use Web Server Rewrites","Utiliser les réécritures du serveur web"
"VAT Number","Numéro de TVA"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Validation has failed.","La validation a échoué."
"Values less than 60 are ignored. Note that changes will apply after logout.","Les valeurs inférieures à 60 sont ignorées. Notez que ces changements prendront effet après déconnexion."
"Variable Code must be unique.","Le code de variable doit être unique"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Attention ! L'activation de cette fonctionnalité n'est pas recommandée dans un environnement de production car elle présente un risque de sécurité potentiel."
"Web","Web"
"Website","Site web"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Le code de site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre."
"Website with the same code","Site web avec le même code"
"Weekend Days","Jours de weekend"
"Welcome Text","Texte de bienvenue"
"Wrong file info format","Mauvais format d'informations de fichier"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Wrong old style column type definition: {$definition}.","Ancien style de définition de type de colonne erroné : {$definition}."
"Yes","Oui"
"You will have to log in after you save your custom admin path.","Vous devrez vous reconnecter après avoir enregistré le chemin personnalisé."
"Your design change for the specified store intersects with another one, please specify another date range.","Votre changement de design pour le magasin spécifié interfère avec un autre. Spécifiez une autre tranche de dates."
"database ""%s""","Base de donnée ""%s"""
