"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d règles de prix catalogue basées sur l'attribut ""%s"" ont été désactivées."
"%s Coupon(s) have been generated","%s bons de réduction ont été générés"
"Special Price","Prix spécial"
"Specific Coupon","Bon de réduction spécifique"
"Status","Statut"
"Stop Further Rules Processing","Ne pas traiter les règles suivantes (non cumulable)"
"Store View Specific Labels","Libellés spécifiques par vue magasin"
"Subtotal","Sous-total"
"Subtotal Amount","Montant du sous-total"
"The rule has been deleted.","La règle a été supprimée."
"The rule has been saved.","La règle a été sauvegardée."
"This rule no longer exists.","Cette règle n'existe plus."
"Times Used","Nombre d'utilisations"
"To Date","Date de fin"
"To Fixed Value","Nouveau prix"
"To Percentage","nouveau prix en %%"
"Total","Total"
"Total Amount","Montant du total"
"Total Items Quantity","Quantité totale d'articles"
"Total Weight","Poids total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Impossible de créer la quantité demandée de bons de réduction. Veuillez vérifier les paramètres et réessayer."
"Unable to find a rule to delete.","Impossible de trouver la règle à supprimer."
"Update prices using the following information","Mettre à jour les prix en utilisant l'information suivante"
"Update product's %s %s: %s","Mettre à jour le %s du produit %s : %s"
"Update the Product","Mettre à jour le produit"
"Use Auto Generation","Utiliser la génération automatique"
"Used","Utilisé"
"Uses per Coupon","Nombre d'utilisations par coupon"
"Uses per Customer","Nombre d'utilisations par client"
"Website","Site web"
"Websites","Sites web"
"Wrong rule specified.","Mauvaise règle spécifiée"
"Yes","Oui"
"total amount","le montant total"
"total quantity","la quantité totale"
