"* Select shipping method","* 選擇運送方式"
"Order creation error","訂單建立錯誤"
"Parcel Post","郵政包裹"
"Pessimistic","悲觀"
"Priority Mail","優先郵件"
"Priority Overnight","優先隔夜"
"Rate 1 Amount","評級 1 數量"
"Rate 1 Ship To Applicable Countries","評級 1 運送到適用的國家"
"Rate 1 Ship to Specific Countries","評級 1 運送到特定國家"
"Rate 1 Title","比率 1 標題"
"Rate 2 Amount","比率 2 數量"
"Rate 2 Ship To Applicable Countries","比率2 發貨到可接受國家"
"Rate 2 Ship to Specific Countries","比率 2 發貨到指定國家"
"Rate 2 Title","比率 2 標題"
"Rate 3 Amount","比率 3 數量"
"Rate 3 Ship To Applicable Countries","比率 3 發貨到可接受國家"
"Rate 3 Ship to Specific Countries","比率 3 發貨到指定國家"
"Rate 3 Title","比率 3 標題"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","需要現場的Google Checkout交易。確保該選項對應，使用安全的URL在前端（，""網絡""，"">""安全""""）。"""
"Residential","住宅"
"Sandbox","沙箱"
"Secure Callback URL","安全回撥URL"
"Small - %s","小- %s"
"Standard Overnight","標準過夜"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","所產生的稅金額度取決于從Google Checkout收到的資訊，因為從Google Checkout收到的資訊與計算而來的稅金額度可能有所不同"
"Title","標題"
"Total Chargeback: %s","總退款：%s"
"Total Charged: %s","總收費：%s"
"Total Refunded: %s","總退費：%s"
"Transparent","交易"
"UPS","UPS的"
"USPS","美國郵政總局"
"United Kingdom","英國"
"United States","美國"
"Unknown Reason","原因不明"
"White Background","白色背景"
"Yes","是"
"You will be redirected to GoogleCheckout in a few seconds.","幾秒後您將被重定向到Google Checkout。"
