"# of Use","# 使用"
"%1$s incl tax.","%1$s 含稅。"
"%s - %s","%s - %s"
"%s Item(s)","%s 個項目"
"%s and above","%s及以上"
"Category URL Suffix","分類 URL 尾碼"
"Category attributes API","分類屬性 API"
"Category move error","分類移動錯誤"
"Category move operation is not possible: parent category is equal to child category.","無法進行分類移動操作：母類別與子類別相同。"
"Category move operation is not possible: the current category was not found.","無法進行分類移動操作：無法找到當前類別。"
"Category move operation is not possible: the new parent category was not found.","無法進行分類移動操作：無法找到新的母類別。"
"Category must be an instance of Mage_Catalog_Model_Category.","分類必須為 Mage_Catalog_Model_Category 的一個實例。"
"Center","中心"
"Change","更改"
"Change or Retrieve attribute store view","更改或取回屬性商店視圖"
"Change status","更改狀態"
"Check items to add to the cart or","檢查要加入購物車的內容"
"Choose an Option...","選擇選項..."
"Clear All","清除全部"
"Clear Price","Clear價格"
"Click for price","單擊獲取價格"
"Close Window","關閉窗口"
"Collapse All","折疊全部"
"Comma-separated.","逗號分隔。"
"Comparable","可比較"
"Comparable on Front-end","前端可比較"
"Comparable on the Frontend","前端可比較"
"Compare","比較"
"Compare Products","比較產品"
"Conditions Combination","條件組合"
"Configurable Product","可配置的產品"
"Configurable Product Settings","可配置的產品設置"
"Configure Product","配置產品"
"Continue","繼續"
"Copy From Configurable","從配置中複製"
"Country/State","國家/州"
"Create","建立"
"Create (Upload)","建立（上傳）"
"Create Empty","建立空的"
"Create Permanent Redirect for URLs if URL Key Changed","建立永久重定向的URL，如果URL的關鍵改變"
"Create Permanent Redirect for old URL","為老URL建立永久重定向"
"Create Product Settings","建立產品設置"
"Create Simple Associated Product","建立簡單的關聯產品"
"Create attribute set based on another set","建立屬性集基於另一屬性集"
"Create new attribute","建立新屬性"
"Create new category","建立新分類"
"Create new product","建立新產品"
"Cross-sells","交叉銷售"
"Currently Shopping by:","目前的購物者："
"Custom Design","自定設計"
"Custom Options","自定選項"
"Custom options","自定選項"
"Customer Group","客戶組"
"Customers Reviews","客戶評測"
"Customers Tagged Product","客戶標記的產品"
"Data Type for Saving in Database","要保存在數據庫中的數據類型"
"Date & Time Custom Options","日期和時間自定選項"
"Date Fields Order","日期欄位順序"
"Date Subscribed","訂閱日期"
"Datetime","日期時間"
"Decimal","十進製"
"Declare attribute value saving scope","聲明屬性值保存範圍"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","預設彈出窗口文字資訊"
"Default Price","預設價格"
"Default Price Navigation Step","預設價格導航步驟"
"Default Qty","預設數量"
"Default Values","預設值"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","定義基本貨幣的範圍（""貨幣設定"">""貨幣選項"">""基本貨幣""）。"
"Delete","刪除"
"Delete Attribute","刪除屬性"
"Delete Attribute Set","刪除屬性集"
"Delete Category","刪除分類"
"Delete Group Price","刪除組價格"
"Delete Option","刪除選項"
"Delete Row","刪除行"
"Delete Search","刪除搜索"
"Delete Selected Group","刪除所選組"
"Delete Tier","刪除級別"
"Delete attribute","刪除屬性"
"Delete category","刪除分類"
"Delete product","刪除產品"
"Depends on design theme","取決於設計主題"
"Design","設計"
"Details","詳情"
"Disabled","已禁用"
"Disallowed file type.","不允許的文件類型。"
"Display Actual Price","顯示實際價格"
"Display Price Interval as One Price","顯示為一價的價格區間"
"Display Product Count","顯示產品計數"
"Display in Suggested Terms","顯示建議的搜索條件"
"Double click on a group to rename it","雙擊組即可更名"
"Double click on above image to view full picture","雙擊上述圖片即可查看完整大小"
"Downloadable Information","可下載的資訊"
"Duplicate","重複"
"Duplicate website group price customer group.","重複的網站群價格的客戶群。"
"Duplicate website tier price customer group and quantity.","重複網站價格級別的客戶分組和數量。"
"Duplicate website, country and state tax found.","發現重複的網站、國家，以及州稅率。"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例如{{media URL=""path/to/image.jpg""}}{{skin URL=""path/to/picture.gif""}。動態指令解析影響目錄性能。"
"Edit","編輯"
"Edit Attribute Set '%s'","編輯屬性集 '%s'"
"Edit Product Attribute","編輯產品屬性"
"Edit Product Attribute ""%s""","編輯產品屬性""%s"""
"Edit Search","編輯搜索"
"Edit Search '%s'","編輯搜索 '%s'"
"Edit Set Name","編輯集名稱"
"Email","電子郵件"
"Email to a Friend","給朋友發郵件"
"Empty","空"
"Enable MAP","啟用對應"
"Enable Qty Increments","啟用數量遞增"
"Enable WYSIWYG","啟用所見即所得"
"Enabled","已啟用"
"Error during retrieval of option value: %s","獲取選項值 %s的過程中出錯"
"Exclude","排除"
"Expand All","全部展開"
"Failed","已失敗"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","文件 %s 複製失敗。請刪除與不存在圖像有關的媒體，然後重試。"
"Failed to move file: %s","移動文件 %s 失敗"
"Feature Products","主要產品"
"Field is not complete","欄位不完整"
"File options format is not valid.","文件選項格式無效"
"File upload failed","文件上傳失敗"
"Filter model name must be declared.","篩選器模式名稱必須聲明。"
"Filter must be an object. Please set correct filter.","篩選器必須是對象。請設置正確的篩選器。"
"Filterable (no results)","可篩選（無結果）"
"Filterable (with results)","可篩選（有結果）"
"First Name","名字"
"Fixed","固定"
"For internal use.","限內部使用。"
"For the last time placed.","放置的最後一次。"
"Frontend","前端"
"Frontend Model","前端模式"
"Frontend Properties","前端屬性"
"Gallery","畫廊"
"General Information","常規資訊"
"Get full information about attribute with list of options","獲取屬性的完整信息之選項列表"
"Get full information about custom option in product","獲取產品自定選項的完整信息"
"Get list of available custom option types","獲取可用的自定選項類型名單"
"Get list of non-default attributes by product type and attributes set","獲取非預設屬性設置按產品類型和屬性列表"
"Get list of possible attribute types","獲取可能的屬性類型列表"
"Get special price","獲取特惠價格"
"Global","全球"
"Globally Editable","全球範圍內可編輯"
"Go to Home Page","前往主頁"
"Grid","網格"
"Group add","群組新增"
"Group remove","群組刪除"
"Grouped Product","分組產品"
"Groups","群組"
"Home","主頁"
"ID","ID"
"ID: %s","ID：%s"
"If empty, the Category Name will be used","如果為空，則使用分類名稱"
"If empty, the Product Name will be used","如果為空，則使用產品名稱"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如果您不為特定商店視圖指定一個選項值，則使用預設 (Admin) 值。"
"Image","圖案"
"Image content is not valid base64 data.","影像內容不是有效的 base64 數據。"
"Image does not exist.","圖片不存在。"
"Image file was not found.","無法找到圖片文件。"
"Image type and information need to be specified for each store view.","需要為每個商店視圖指定圖片類型和信息。"
"In Cart","購物車"
"In Stock","有貨"
"In stock","現貨"
"Incl. Tax","含稅"
"Index product and categories URL rewrites","索引產品和類別 URL 重寫"
"Index product attributes for layered navigation building","為分層導航建築索引產品屬性"
"Index product prices","索引產品價格"
"Indexed category/products association","已索引的分類/產品關聯"
"Info","資料"
"Info Column Options Wrapper","資訊欄選項包裝"
"Input Type","輸入類型"
"Integer","整數"
"Interval Division Limit","區間劃分限制"
"Invalid Tier Prices","無效價格級別"
"Invalid attribute %s","無效的屬性 %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","為屬性 %s (%s) 指定的屬性選項無效，正在跳過該記錄。"
"Invalid attribute set specified, skipping the record.","指定的屬性集無效，正在跳過該記錄。"
"Invalid block: %s.","無效的塊： %s。"
"Invalid category IDs.","無效分類ID。"
"Invalid category.","無效的分類。"
"Invalid image file type.","無效的圖像文件類型。"
"Invalid image type.","無效的圖像類型。"
"Invalid option ID specified for %s (%s), skipping the record.","為 %s (%s) 指定的選項ID無效，正在跳過該記錄。"
"Invalid product type specified, skipping the record.","指定的產品類型無效，正在跳過該記錄。"
"Invalid store specified","指定的店舖無效"
"Invalid store specified, skipping the record.","指定的店舖無效，正在跳過該記錄。"
"Invalid tier prices. The product is not associated to the requested website.","無效價格級別。該產品與所請求的網站無關聯。"
"Inventory","庫存"
"Is Default","為預設值"
"Is Required","為必須"
"Items %s to %s of %s total","項目 %s 到 %s 共 %s個"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","您不希望顯示在分類或搜索結果中的內容應在目標店舖中設置'Disable'狀態。"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","您不希望在分類或搜索結果中顯示的內容應在目標店舖中設置'Disabled'狀態。"
"Keep your eyes open for our special Back to School items and save A LOT!","睜大眼睛找到特殊的""返校"" 項目，獲得大實惠！"
"Label","標籤"
"Last Name","姓氏"
"Last Notification","最新通知"
"Layered Navigation","分層導航"
"Learn More","了解更多"
"Line %d, Email: %s","第%行，郵箱：%"
"Line %d, SKU: %s","行 %s， SKU：%s"
"Link (Related, Up sell, Cross sell)","連結（相關，超售，交叉銷售）"
"Link product does not exist.","連結的產品不存在。"
"Link to a Specified Category","連結到指定的分類"
"Link to a Specified Product","連結到指定產品"
"List","列表"
"List Mode","列表模式"
"List of Products that are set as New","名單被定為新產品"
"List of types","類型名單"
"Manage Attribute Sets","管理屬性集"
"Manage Attributes","管理屬性"
"Manage Catalog Categories","管理分類類別"
"Manage Categories","管理分類"
"Manage Label / Options","管理標籤/選項"
"Manage Options (values of your attribute)","管理選項 (你的屬性值)"
"Manage Product Attributes","管理產品屬性"
"Manage Product Sets","管理產品設置"
"Manage Products","管理產品"
"Manage Stock","庫存管理"
"Manage Titles (Size, Color, etc.)","管理名稱（尺寸，顏色等）"
"Max Characters","字符數上限"
"Maximal Depth","最大深度"
"Maximum Image Size","最大圖像大小"
"Maximum Number of Price Intervals","價格區間的最大數量"
"Maximum Qty Allowed in Shopping Cart","購物車數量上限"
"Maximum allowed image size for '%s' is %sx%s px.","允許的最大圖像大小為'%s'%SX%S PX。"
"Maximum image height","圖片最大高度"
"Maximum image width","圖片最大寬度"
"Maximum number of characters:","最大字符數："
"Maximum number of price intervals is 100","價格區間的最大數量為100"
"Media Image","媒體圖片"
"Minimum Advertised Price","最低廣告價格"
"Minimum Lines per Page","每頁最低行數"
"Minimum Qty Allowed in Shopping Cart","購物車裡允許的最少數量"
"Minimum Qty for Item\'s Status to be Out of Stock","商品狀態的最小數量為缺貨"
"Missing SKU, skipping the record.","丟失SKU，正在跳過該記錄。"
"More Views","更多視圖"
"Move","移動"
"Move category in tree","在樹中移動分類"
"Must be in the allowed values list.","必須位於允許的值列表中。"
"N/A","N/A"
"Name","名稱"
"Name in %s","%s的名稱"
"New Product","新產品"
"New Product Attribute","新產品屬性"
"New Products","新產品"
"New Products Grid Template","新產品網格範本"
"New Products List Template","新產品列表範本"
"New Root Category","新建根類別"
"New Search","新搜索"
"New Set Name","新集名稱"
"New Subcategory","新建子類別"
"Next","下一個"
"No","否"
"No image","無圖片"
"No layout updates","無佈局更新"
"No options of this product are available.","該產品沒有可用選項。"
"No product collections found.","未找到產品集合。"
"None","無"
"Not Visible Individually","無獨立可見性"
"Notify Low Stock RSS","存貨不足RSS通知"
"Notify for Quantity Below","存量過低通知"
"Number of Products to Display","顯示的產品數量"
"Number of Uses","用戶數"
"Number of results","結果數量"
"Number of results (For the last time placed)","結果數（在過去的時間放在）"
"OK","確定"
"OR","或"
"Old Price:","原價："
"On Gesture","手勢"
"Option validation failed to add product to cart.","新增產品到購物車時選項驗證失敗。"
"Option values","選項值"
"Option:","選項："
"Options","選項"
"Options Control","選項控制"
"Options is required","選項是必須的"
"Our customer service is available 24/7. Call us at (555) 555-0123.","我們提供全天候客戶服務。請致電我們 (555) 555-0123。"
"Out of Stock","無貨"
"Out of stock","缺貨"
"PM","PM"
"Page Title Separator","頁面標題分隔器"
"Parent Category","父分類"
"Pending","掛起"
"Pending Reviews RSS","掛起評測RSS"
"Percentage","百分率"
"Please add rows to option.","請新增選項行。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","請小心，一旦您點擊這一行，就會從所選文件中載入包裹數據，所有未保存的數據都將丟失。"
"Please click on the Close Window button if it is not closed automatically.","如果沒有自動關閉，請點擊關閉窗口按鈕。"
"Please enter a new group name","請輸入新組的名稱"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","請重新整理""目錄URL重寫""和""產品屬性""系統 -><a href="" %s""="">索引管理</a>"
"Please select a static block ...","請選擇一個靜態塊..."
"Please select items.","請選擇項目。"
"Please select one or more attributes.","請選擇一個或多個屬性。"
"Please select product(s).","請選擇產品。"
"Please select products for attributes update","請選擇要更新屬性的產品"
"Please specify date required option(s).","請指定日期需要的選項。"
"Please specify the number of products, that will not be divided into subintervals.","請註明產品的數量，不會被劃分成子區間。"
"Please specify the product required option(s)","請指定產品需要的選項"
"Please specify the product required option(s).","請指定產品需要的選項。"
"Please specify the product\'s option(s).","請指定產品的選項。"
"Please specify the product\'s required option(s).","請指定產品的必要選項。"
"Please specify the quantity of product(s).","請指定產品數量。"
"Please specify time required option(s).","請指定時間需要的選項。"
"Please wait...","請稍候..."
"Position","位置"
"Position in Layered Navigation","在層次式導航中定位"
"Position of attribute in layered navigation block","分層導航區塊的屬性位置"
"Prev","上一個"
"Previous","前"
"Price","價格"
"Price Navigation Step Calculation","價格導航步驟計算"
"Price Type","價格類型"
"Price is not available","價格不可用"
"Price values for options should be specified in system base currency.","價格數值選項應當在系統基礎匯率中指定。"
"Price:","價格："
"Price: %s","價格：%s"
"Print This Page","列印本頁面"
"Product","產品"
"Product API","產品 API"
"Product Alerts","產品警報"
"Product Attribute","產品屬性"
"Product Attributes","產品屬性"
"Product Categories","產品分類"
"Product Description","產品描述"
"Product Extra Info","產品的額外資訊"
"Product Flat Data","產品平面數據"
"Product ID","產品 ID"
"Product Image Placeholders","產品圖片預留位置"
"Product Image Watermarks","產品圖像水印"
"Product Images","產品圖像"
"Product Images API","產品圖片 API"
"Product In Websites","網站中的產品"
"Product Info Column","產品資訊欄"
"Product Information","產品資訊"
"Product Link Block Template","產品連結區塊範本"
"Product Link Inline Template","產品連結內聯範本"
"Product Listing Sort by","產品列表排列順序"
"Product Name","產品名"
"Product Prices","產品價格"
"Product Reviews","產品評測"
"Product Tags","產品標籤"
"Product Tier Price API","產品價格級別 API"
"Product Type","產品類型"
"Product URL Suffix","產品URL前綴"
"Product View Extra Hint","產品視圖額外提示"
"Product attribute sets API","產品屬性集API"
"Product attributes API","產品屬性 API"
"Product collection expected.","預期的產品集合。"
"Product is not loaded","產品尚未載入"
"Product links API (related, cross sells, up sells)","產品連結API（相關、交叉銷售、超售）"
"Product name","產品名"
"Product types API","產品類型API"
"Product with this combination of attributes already associated to configurable.","具有此屬性組合的產品已與可配置產品關聯。"
"Products","產品"
"Products Comparison List","產品比較列表"
"Products Information","產品資訊"
"Products Reviews","產品評論"
"Products Sitemap","產品網站地圖"
"Products only","僅產品"
"Products per Page on Grid Allowed Values","網格允許的數值中的每頁產品數量"
"Products per Page on Grid Default Value","網格預設值每頁產品"
"Products per Page on List Allowed Values","列表允許值每頁產品"
"Products per Page on List Default Value","列表預設數值中的每頁產品數量"
"Properties","屬性"
"Qty","數量"
"Qty Increments","數量遞增"
"Qty Uses Decimals","數量使用小數"
"Qty for Item\'s Status to Become Out of Stock","數量到達缺貨的狀態"
"Qty:","數量："
"Quantity","數量"
"Quick Create","快速建立"
"Quick Overview","快速概述"
"Quick simple product creation","快速簡單產品建立"
"Records for ""","記錄為 """
"Redirect","重定向"
"Redirect URL","重定向URL"
"Regular Price:","常規價格："
"Related Products","相關產品"
"Remove","刪除"
"Remove Product From Websites","從網站刪除產品"
"Remove This Item","刪除該內容"
"Remove attribute from attribute set","刪除屬性從屬性集"
"Remove attribute set","刪除屬性集"
"Remove custom option","刪除自定選項"
"Remove group from attribute set","刪除群組從屬性集"
"Remove option","刪除選項"
"Remove product assignment","刪除產品的分配"
"Remove product image","刪除產品圖片"
"Remove product link","刪除產品連結"
"Remove value from custom option","刪除數值從自定選項"
"Rename existing group","重新命名現有群組"
"Rename group","重新命名群組"
"Reorganize EAV category structure to flat structure","重新識別EAV分類結構為平面結構"
"Reorganize EAV product structure to flat structure","重新整理EAV產品結構為平面結構"
"Reset","重置狀態"
"Results","結果"
"Retrieve attribute data","獲取屬性數據"
"Retrieve attribute list","獲取屬性列表"
"Retrieve attribute options","獲取屬性選項"
"Retrieve categories tree","獲取分類樹"
"Retrieve category attributes","獲取分類屬性"
"Retrieve category data","獲取分類數據"
"Retrieve hierarchical tree","獲取層次結構樹"
"Retrieve linked products","獲取連結的產品"
"Retrieve list of assigned products","獲取已分配產品列表"
"Retrieve list of option values","獲取選項值列表"
"Retrieve list of product custom options","獲取產品自定選項列表"
"Retrieve one level of categories by website/store view/parent category","獲取網站/店舖視圖/父分類的 一級分類"
"Retrieve option value info","獲取選項值資料"
"Retrieve product","獲取產品"
"Retrieve product attribute sets","獲取產品屬性集"
"Retrieve product image","獲取產品圖片"
"Retrieve product image list","獲取產品圖片列表"
"Retrieve product image types","獲取產品圖片類型"
"Retrieve product link type attributes","獲取產品連結類型屬性"
"Retrieve product link types","獲取產品連結類型"
"Retrieve product tier prices","獲取產品價格級別"
"Retrieve product types","獲取產品類型"
"Retrieve products data","獲取產品數據"
"Retrieve products list by filters","按照篩選器獲取產品列表"
"Reviews","評測"
"Roll Over for preview","翻轉預覽"
"Root","根"
"SKU","SKU"
"SKU length should be %s characters maximum.","SKU長度最多為 %s 個字符。"
"Save","保存"
"Save Attribute","保存屬性"
"Save Attribute Set","保存屬性集"
"Save Category","保存分類"
"Save Search","保存搜索"
"Save and Continue Edit","保存並繼續編輯"
"Saved %d record(s)","已保存 %s 條記錄"
"Scope","範圍"
"Scope must not be changed, because the attribute is used in configurable products.","範圍不能更改，因為可配置產品中使用了屬性。"
"Search","搜索"
"Search Engine Optimizations","搜索引擎優化"
"Search Information","搜索資訊"
"Search Query","搜索查詢"
"Search Term with such search query already exists.","使用此類查詢的搜索條件已存在。"
"Searchable","可搜索"
"See price before order confirmation.","確認訂單前顯示價格。"
"Select Category...","選擇分類..."
"Select Configurable Attributes ","選擇可配置屬性"
"Select Product...","選擇產品..."
"Select type of option","選擇選項類型"
"Select type options required values rows.","選擇需要值的選項類型。"
"Selected Product Types","選擇產品類型"
"Selected configuration is not available.","所選的配置不可用。"
"Send Count","發送數量"
"Set Ascending Direction","設置降序順序"
"Set Descending Direction","設置升序順序"
"Set Name","設置名稱"
"Set Root Category for Store","為店舖選擇根分類"
"Set root category for this store in the <a href=""%s"">configuration</a>","為這個店鋪設定主分類在<a href="" %s""="">這裡<!-- A--></a>"
"Set special price","設置特價"
"Set/Get current store view","設置/獲取當前店舖視圖"
"Settings","設置"
"Shop By","購物"
"Shopping Options","購物選項"
"Show","顯示"
"Show Details","顯示詳情"
"Show Tags","顯示標籤"
"Simple Product","簡單產品"
"Site Map","網站地圖"
"Sitemap","網站地圖"
"Skip import row, is not valid value ""%s"" for field ""%s""","跳過導入行，是不是有效的價值，""%s""的""場""""%s""的"""""
"Skip import row, required field ""%s"" for the new customer is not defined.","跳過進口行，所需欄位""%s""的新客戶沒有被定義。"
"Skip import row, the value ""%s"" is invalid for field ""%s""","跳過導入行，值%s""的""是無效的領域""，""%s""的"""""
"Skipping import row, required field ""%s"" for new products is not defined.","進口連續跳繩，所需的領域""%S新產品""沒有定義。"""
"Skipping import row, required field ""%s"" is not defined.","跳過進口行，必要欄位""%""是沒有定義。"
"Skipping import row, store ""%s"" field does not exist.","跳繩進口行，商店""%s的""欄位不存在。"""
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","跳過進口行，值""%s""不是有效相對於""%s""欄位。"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","某些已經處理的產品無有效SKU值。請在針對這些產品執行操作前首先填寫。"
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","下列某些產品必須的選項不完整。請修改並配置所有必須的選項。"
"Sort By","分類依據"
"Sort Order","排序順序"
"Source Model","源型號"
"Special Expires On: %s","特殊過期於： %s"
