"# of Use","# di utilizzi"
"%1$s incl tax.","%1$s incl tasse."
"%s - %s","%s - %s"
"%s Item(s)","%s Prodotti/o"
"%s and above","%s e oltre"
"Add to Compare","Confronta"
"Add to Wishlist","Aggiungi alla Wishlist"
"Additional Information","Ulteriori informazioni"
"Alert Urls","Url di allerta"
"All","Tutto"
"All Product Types","Tutti i tipi di prodotto"
"All Websites","Tutti i siti"
"All products","Tutti i prodotti"
"All products - recently added products, New products - products marked as new","Tutti i prodotti – prodotti aggiunti di recente, nuovi prodotti – prodotti segnati come nuovi"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tutti i prodotti di questo set saranno cancellati! Sei sicuro di voler cancellare questo set di attributi?"
"Allow All Products per Page","Consenti tutti i prodotti per pagina"
"Allow Dynamic Media URLs in Products and Categories","Consenti Media URL dinamici nei prodotti e nelle categorie"
"Allow HTML Tags on Frontend","Consenti tags HTML nel Frontend"
"Allowed File Extensions","Estensione file permesse"
"Allowed file extensions to upload","Estensione file permessa per il caricamento"
"Amount","Importo"
"An error occurred while adding products to websites.","Si è verificato un errore durante l\'aggiunta dei prodotti al sito."
"An error occurred while clearing comparison list.","Si è verificato un errore durante la pulizia della lista di comparazione."
"An error occurred while deleting this review.","Si è verificato un errore durante la rimozione di questa recensione."
"An error occurred while removing products from websites.","Si è verificato un errore durante la rimozione di prodotti dal sito."
"An error occurred while saving the URL rewrite","Si è verificato un errore durante il salvataggio dell\'URL rewrite."
"An error occurred while saving the attribute set.","Si è verificato un errore durante il salvataggio del set di attributi."
"An error occurred while saving the collection, aborting. Error message: %s","Si è verificato un errore durante il salvataggio della raccolta, terminato. Messaggio di errore: %s"
"An error occurred while saving the product. ","Si è verificato un errore durante il salvataggio del prodotto. "
"An error occurred while saving the search query.","Si è verificato un errore durante il salvataggio della query di ricerca."
"An error occurred while saving this group.","Si è verificato un errore durante il salvataggio di questo gruppo."
"An error occurred while saving this review.","Si è verificato un errore durante il salvataggio di questa recensione."
"An error occurred while trying to delete the category.","Si è verificato un errore durante il tentativo di cancellare la categoria."
"An error occurred while updating the product(s) attributes.","Si è verificato un errore durante l\'aggiornamento dgli attributi dei/l prodotto/i."
"An error occurred while updating the product(s) status.","Si è verificato un errore durante l\'aggiornamento dello stato del/i prodotto/i."
"An invalid group ID is specified, skipping the record.","È stato specificato un ID gruppo non valido, salta il record."
"An invalid option ID is specified for %s (%s), skipping the record.","È stato specificato un ID opzione non valido per %s (%s), salta il record."
"An invalid store was specified.","È stato specificato un negozio non valido."
"Anchor Custom Text","Ancora testo personalizzato"
"Anchor Custom Title","Ancora titolo personalizzato"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicabile solo ai prodotti del catalogo e alle categorie. Qualsiasi contenuto media sarà inserito nell\'editor come un URL statico. Non sarà aggiornato nel caso di cambiamento delle configurazione di base del sistema URL."
"Apply MAP (Default Value)","Applica MAP (Valore predefinito)"
"Apply To","Applica a"
"Approved","Approvato"
"Are you sure you want to delete this category?","Sei sicuro di voler cancellare questa categoria?"
"Are you sure you would like to remove all products from your comparison?","Sei sicuro di voler rimuovere tutti i prodotti dal confronto?"
"Are you sure you would like to remove this item from the compare products?","Sei sicuro di voler rimuovere questo elemento dal confronto dei prodotti?"
"Are you sure?","Sei sicuro?"
"As low as:","A partire da:"
"Assign","Assegna"
"Assign product link","Assegna link prodotto"
"Assign product to category","Assegna prodotto alla categoria"
"Assigned Products","Prodotti assegnati"
"Associated Products","Prodotti associati"
"Attrib. Set Name","Nome set attrib."
"Attribute ""%s"" is invalid.","L\'attributo ""%s"" non è valido."
"Attribute ""%s"" is required.","L'attributo ""%s"" è obbligatorio."
"Attribute Information","Informazioni attributo"
"Attribute Model","Modello attributo"
"Attribute Name:","Nome attributo:"
"Attribute Set","Set di attributi"
"Attribute Sets","Set di attributi"
"Attribute add","Aggiungi attributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Il codice attributi non è valido. In questo campo utilizzare solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera."
"Attribute group with the \/name/\"" name already exists""","Il gruppo di attributi con il nome \/name/\"" esiste già"""
"Attribute group with the \/name/\ name already exists","Attribute group with the \/name/\ name already exists"
"Attribute remove","Rimuovi attributo"
"Attribute with the same code already exists","Un attributo con lo stesso codice esiste già"
"Attributes","Attributi"
"Attrribute names can be specified per store.","Il nome degli attributi può essere specificato per ogni negozio."
"Autogenerate","Autogenerato"
"Availability:","Disponibilità:"
"Back","Indietro"
"Backend Model","Modello Backend"
"Backend Table","Tabella Backend "
"Backend Table Title","Titolo tabella Backend"
"Backorders","Backorders"
"Based On","Basato su"
"Before Order Confirmation","Prima della conferma dell'ordine"
"Best Value","Valore migliore"
"Block after Info Column","Blocco dopo info colonna"
"Bottom Block Options Wrapper","Wrapper blocco opzioni in basso"
"Bottom/Left","In basso/Sinistra"
"Bottom/Right","In basso/destra"
"Browse By","Sfoglia per"
"Bundle Items","Prodotti Bundle"
"Buy %1$s","Acquista %1$s"
"Buy %1$s for","Acquista %1$s per"
"Buy %1$s for %2$s","Acquista %1$s per %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Acquista %1$s per %2$s (%3$s incl. tasse) ciascuno"
"Buy %1$s for %2$s each","Acquista %1$s a %2$s ciascuno"
"Cache Lifetime (Seconds)","Durata Cache (Secondi)"
"Cache refresh needed.","È necessario ricaricare la Cache."
"Can be Divided into Multiple Boxes for Shipping","Può essere diviso in più scatole per la spedizione"
"Can be used only with catalog input type Dropdown","Può essere utilizzato solo con catologo con input dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Può essere utilizzato solo con il tipo di input dropdown, Selezione multipla e prezzo"
"Can\'t create image.","Impossibile creare l\'immagine."
"Cancel","Cancella"
"Cannot create image.","Impossibile creare l\'immagine."
"Cannot create writeable directory '%s'.","Impossibile creare la directory scrivibile '%s'."
"Cart Item Attribute","Attributi articoli carrello"
"Catalog","Catalogo"
"Catalog Category (Anchor)","Categoria catalogo (Ancorato)"
"Catalog Category (Non-Anchor)","Categoria catalogo (Non ancorato)"
"Catalog Category (Without Subcategories)","Categoria catalogo (Senza sottocategorie)"
"Catalog Category Link","Link categoria catalogo"
"Catalog New Products List","Elenco nuovi prodotti catalogo"
"Catalog Price Scope","Campo di applicazione prezzo catalogo"
"Catalog Product Compare List","Elenco di confronto prodotti catalogo"
"Catalog Product Email to a Friend","Invia ad un amico il catalogo prodotti"
"Catalog Product Image Gallery Popup","Galleria Popup immagini catalogo prodotti "
"Catalog Product Link","Link prodotti catalogo"
"Catalog Product View (Any)","Vedi catalogo prodotti (Qualsiasi)"
"Catalog Product View (Configurable)","Vedi catalogo prodotti (Configurabili)"
"Catalog Product View (Grouped)","Vedi catalogo prodotti (Raggruppato)"
"Catalog Product View (Simple)","Vedi catalogo prodotti (Semplice)"
"Catalog Product View (Virtual)","Vedi catalogo prodotti (Virtuali)"
"Catalog Section","Sezione catalogo"
"Catalog Seo Sitemap (Category List)","Sitemap Catalogo Seo (Lista categorie)"
"Catalog Seo Sitemap (Category Tree)","Sitemap Catalogo Seo (Albero categorie)"
"Catalog Seo Sitemap (Common)","Sitemap Catalogo Seo (Comune)"
"Catalog Seo Sitemap (Product List)","Sitemap Catalogo Seo (Elenco prodotti)"
"Catalog URL Rewrites","URL Rewrites del catalogo"
"Catalog product custom option values API","API prodotto catalogo valori opzione personalizzata"
"Catalog product custom options API","API prodotto catalogo opzioni personalizzate"
"Catalog, Search","Catalogo, Ricerca"
"Categories","Categorie"
"Categories Sitemap","Categorie sitemap"
"Category","Categoria"
"Category API","Categoria API"
"Category Data","Categoria Dati"
"Category Flat Data","Categoria dati Flat"
"Category Link Block Template","Link categoria blocco Template"
"Category Link Inline Template","Link Categoria inline Template "
"Category Products","Prodotti categoria"
"Category Top Navigation","Navigazione Categorie"
"Category URL Suffix","Suffisso URL Categoria"
"Category attributes API","Attributi categoria API"
"Category move error","Errore spostamento categoria"
"Category move error %s","Errore spostamento categoria %s"
"Category move operation is not possible: parent category is equal to child category.","Lo spostamento della categoria non è possibile: la categoria genitore è uguale alla categoria figlio."
"Category move operation is not possible: the current category was not found.","Lo spostamento della categoria non è possibile: la categoria non è stata trovata."
"Category move operation is not possible: the new parent category was not found.","Lo spostamento della categoria non è possibile: nuova categoria genitore non trovata."
"Category must be an instance of Mage_Catalog_Model_Category.","La categoria deve essere un istanza di Catalog_Model_Category."
"Center","Centro"
"Change","Cambia"
"Change or Retrieve attribute store view","Cambiare o recuperare attributo vista negozio"
"Change status","Cambia stato"
"Check items to add to the cart or","Spunta i prodotti per aggiungerli al carrello o"
"Choose an Option...","Scegli un opzione..."
"Clear All","Cancella tutto"
"Clear Price","Cancella prezzo"
"Click for price","Clicca per il prezzo"
"Close Window","Chiudi finestra"
"Collapse All","Comprimi tutto"
"Comma-separated.","Separati da virgole."
"Comparable","Comparabile"
"Comparable on Front-end","Comparabile sul Front-end"
"Comparable on the Frontend","Comparabile sul Frontend"
"Compare","Confronta"
"Compare Products","Confronta prodotti"
"Conditions Combination","Combinazione di Condizioni"
"Configurable Product","Prodotto configurabile"
"Configurable Product Settings","Impostazioni prodotto configurabile"
"Configure Product","Configura prodotto"
"Continue","Continua"
"Copy From Configurable","Copia da configurabile"
"Country/State","Paese/Stato"
"Create","Crea"
"Create (Upload)","Crea (caricamento)"
"Create Empty","Crea vuoto"
"Create Permanent Redirect for URLs if URL Key Changed","Crea un reindirizzamento permanente per i vecchi URL se la URL key è cambiata"
"Create Permanent Redirect for old URL","Crea un reindirizzamento permanente per il vecchio URL"
"Create Product Settings","Crea impostazioni prodotto"
"Create Simple Associated Product","Crea prodotto semplice associato"
"Create attribute set based on another set","Crea un set di attributi basato su un altro set"
"Create new attribute","Crea nuovo attributo"
"Create new category","Crea nuova categoria"
"Create new product","Crea nuovo prodotto"
"Cross-sells","Prodotti consigliati"
"Currently Shopping by:","Attualmente acquisti da:"
"Custom Design","Design personalizzato"
"Custom Options","Opzioni personalizzate"
"Custom options","Opzioni personalizzate"
"Customer Group","Gruppo cliente"
"Customers Reviews","Recensioni clienti"
"Customers Tagged Product","Clienti che hanno taggato il prodotto"
"Data Type for Saving in Database","Tipo dati per salvataggio nel Database"
"Date & Time Custom Options","Opzioni personalizzate Data & ora "
"Date Fields Order","Ordine dei campi data"
"Date Subscribed","Data di registrazione"
"Datetime","Dataora"
"Decimal","Decimale"
"Declare attribute value saving scope","Dichiarare il campo di applicazione in cui salvare il valore dell'attributo"
"Default ""What's This"" Text Message","Messaggio predefinito per ""Che cos'è questo"""
"Default Popup Text Message","Messaggio Popup predefinito"
"Default Price","Prezzo predefinito"
"Default Price Navigation Step","Prezzo predefinito negli step di navigazione"
"Default Qty","Qtà predefinita"
"Default Values","Valori predefiniti"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definire il campo di applicazione della valuta (""Impostazioni valuta"" > ""Opzioni valuta"" > ""valuta corrente"")."
"Delete","Elimina"
"Delete Attribute","Elimina attributo"
"Delete Attribute Set","Elimina set di attributi"
"Delete Category","Elimina categoria"
"Delete Group Price","Cancella prezzo del gruppo"
"Delete Option","Elimina opzioni"
"Delete Row","Elimina riga"
"Delete Search","Elimina ricerca"
"Delete Selected Group","Elimina gruppo selezionato"
"Delete Tier","Cancella Fascia"
"Delete attribute","Cancella attributo"
"Delete category","Elimina categoria"
"Delete product","Elimina prodotto"
"Depends on design theme","Dipende dal design del tema"
"Design","Design"
"Details","Dettagli"
"Disabled","Disabilitato"
"Disallowed file type.","Vieta tipo di file."
"Display Actual Price","Visualizza prezzo attuale"
"Display Page Control","Mostra controllo pagina"
"Display Price Interval as One Price","Mostra gli intervalli di prezzo come un unico prezzo"
"Display Product Count","Visualizza conteggio prodotto"
"Display Type","Mostra tipo"
"Display in Suggested Terms","Mostra fra i termini consigliati"
"Double click on a group to rename it","Doppio click su un gruppo per rinominarlo"
"Double click on above image to view full picture","Doppio click sull'immagine per ingrandirla"
"Downloadable Information","Informazioni scaricabili"
"Duplicate","Duplicato"
"Duplicate amount found.","Importo trovato duplicato."
"Duplicate website group price customer group.","Duplica sito gruppo prezzo gruppo cliente."
"Duplicate website tier price customer group and quantity.","Duplica sito fascia prezzo cliente gruppo e quantità."
"Duplicate website, country and state tax found.","Duplica sito, paese e tasse statali trovate."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Es. {{media url=""percorso/immagine.jpg""}} {{skin url=""percorso/immagine.gif""}}. L'analisi delle direttive dinamiche influisce sulle prestazioni. "
"Edit","Modifica"
"Edit Attribute Set '%s'","Modifica set di attributi '%s'"
"Edit Product Attribute","Modifica attributo prodotto"
"Edit Product Attribute ""%s""","Modifica attributo prodotto ""%s"""
"Edit Search","Modifica ricerca"
"Edit Search '%s'","Modifica ricerca '%s'"
"Edit Set Name","Modifica nome set"
"Email","Email"
"Email to a Friend","Mandalo via email ad un amico"
"Empty","Vuoto"
"Enable MAP","Attiva MAP"
"Enable Qty Increments","Abilita incrementi Qtà"
"Enable WYSIWYG","Abilita WYSIWYG"
"Enable for reindexing a big number of SKUs.","Abilita alla reindicizzazione un grande numero di SKUs."
"Enabled","Abilitato"
"Error during retrieval of option value: %s","Errore durante il recupero delle opzioni del valore: %s"
"Exclude","Escludi"
"Expand All","Espandi tutto"
"Failed","Fallito"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Impossibile copiare il file %s. Cancella i media con immagini che non esistono e riprova."
"Failed to move file: %s","Impossibile spostare file: %s"
"Feature Products","Caratteristica prodotti"
"Field is not complete","Il campo non è completo"
"File options format is not valid.","Il formato del file opzioni non è valido."
"File upload failed","Caricamento file non riuscito"
"Filter model name must be declared.","Il nome del modello del filtro deve essere dichiarato."
"Filter must be an object. Please set correct filter.","Il filtro deve essere un oggetto. Impostare filtro corretto."
"Filterable (no results)","Filtrabile (nessun risultato)"
"Filterable (with results)","Filtrabile (con risultati)"
"First Name","Nome"
"Fixed","Fixed"
"For internal use.","Per uso interno."
"For the last time placed.","Per l'ultima volta inserito."
"Frontend","Frontend"
"Frontend Model","Modello Frontend"
"Frontend Properties","Proprietà Frontend"
"Gallery","Gallery"
"General Information","Informazioni generali"
"Get full information about attribute with list of options","Ottieni tutte le informazioni riguardo all\'attributo dalla lista delle opzioni"
"Get full information about custom option in product","Ottieni tutte le informazioni riguardanti l\'opzione personalizzata nel prodotto"
"Get list of available custom option types","Ottieni una lista dei tipi di opzione personalizzata disponibili"
"Get list of non-default attributes by product type and attributes set","Ottieni una lista degli attributi non predefiniti per tipo di prodotto e set di attributi"
"Get list of possible attribute types","Ottieni una lista dei possibili tipi di attributo"
"Get special price","Ottieni prezzo speciale"
"Global","Globale"
"Globally Editable","Modificabile globalmente"
"Go to Home Page","Vai alla Home Page"
"Grid","Griglia"
"Group add","Aggiungi gruppo"
"Group remove","Rimuovi gruppo"
"Grouped Product","Prodotti raggruppati"
"Groups","Gruppi"
"Home","Home"
"ID","ID -"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se vuoto, sarà utilizzato il nome della categoria"
"If empty, the Product Name will be used","Se vuoto, sarà utilizzato il nome prodotto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non viene specificata una opzione per la vista specifica del negozio verrà utilizzato il valore predefinito (Admin)."
"Image","Immagine"
"Image content is not valid base64 data.","I contenuti dell\'immagine non sono validi su dati base64."
"Image does not exist.","L\'immagine non esiste."
"Image file was not found.","Il file immagine non è stato trovato."
"Image type and information need to be specified for each store view.","Tipo immagine e le informazioni necessitano di essere specificata per ogni vista negozio."
"In Cart","Nel carrello"
"In Stock","Disponibile"
"In stock","Disponibile"
"Incl. Tax","Incl. Tasse"
"Index product and categories URL rewrites","Indice delle URL rewrites dei prodotti e delle categorie"
"Index product attributes for layered navigation building","Indice attributi prodotti per la costruzione della navigazione a livelli"
"Index product prices","Indice prezzi prodotti"
"Indexed category/products association","Indice categorie/prodotti associati"
"Info","Info"
"Info Column Options Wrapper","Info opzioni colonna wrapper"
"Input Type","Tipo di input"
"Integer","Intero"
"Interval Division Limit","Limite intervallo di divisione"
"Invalid Tier Prices","Fascia prezzi non valida"
"Invalid attribute %s","Attributo non valido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opzioni attributo specificate non valide per l\'attributo %s (%s), salta il record."
"Invalid attribute set specified, skipping the record.","Set di attributi specificato non valido, salta il record."
"Invalid block: %s.","Blocco non valido: %s."
"Invalid category IDs.","ID categorie non valido."
"Invalid category.","Categoria non valida."
"Invalid image file type.","Tipo file immagine non valido."
"Invalid image type.","Tipo immagine non valido."
"Invalid option ID specified for %s (%s), skipping the record.","ID opzione specificato non valido per %s (%s), salta il record."
"Invalid product type specified, skipping the record.","Tipo prodotto specificato non valido, Salta il record."
"Invalid store specified","Negozio specificato non valido"
"Invalid store specified, skipping the record.","Negozio specificato non valido, salta il record."
"Invalid tier prices. The product is not associated to the requested website.","Livello prezzi non valido. Il prodotto non è associato al sito richiesto."
"Inventory","Inventario"
"Is Default","È predefinito"
"Is Required","Obbligatorio"
"Items %s to %s of %s total","Articoli da %s a %s di %s totali"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non si desidera mostrare nel catalogo o nei risultati di ricerca devono avere lo stato 'disabilitato' nel negozio desiderato."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non si desidera mostrare nel catalogo o nei risultati di ricerca deve avere lo stato 'disabilitato' nel negozio desiderato."
"Keep your eyes open for our special Back to School items and save A LOT!","Tieni gli occhi aperti per i nostro speciale Torna A Scuola e risparmierai TANTISSIMO!"
"Label","Etichetta"
"Last Name","Cognome"
"Last Notification","Ultima notifica"
"Layered Navigation","Navigazione a livelli"
"Learn More","Per saperne di più"
"Line %d, Email: %s","Riga %d, Email: %s"
"Line %d, SKU: %s","Riga %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Prodotti correlati, Prodotti alternativi, Prodotti consigliati)"
"Link product does not exist.","Il Link al prodotto non esiste."
"Link to a Specified Category","Link ad una determinata categoria"
"Link to a Specified Product","Link ad un determinato prodotto"
"List","Lista"
"List Mode","Modalità Lista"
"List of Products that are set as New","Lista dei prodotti che sono impostati come Nuovo"
"List of types","Lista di tipi"
"Manage Attribute Sets","Gestisci i set di attributi"
"Manage Attributes","Gestisci attributi"
"Manage Catalog Categories","Gestisci categorie catalogo"
"Manage Categories","Gestisci categorie"
"Manage Label / Options","Gestisci le etichette / Opzioni"
"Manage Options (values of your attribute)","Gestisci opzioni (valore del tuo attributo)"
"Manage Product Attributes","Gestisci attributi prodotto"
"Manage Product Sets","Gestisci set attributi"
"Manage Products","Gestisci prodotti"
"Manage Stock","Gestici scorte"
"Manage Titles (Size, Color, etc.)","Gestisci titoli (Dimensione, Colore, etc.)"
"Max Characters","Max Caratteri"
"Maximal Depth","Profondità massima"
"Maximum Image Size","Dimensione massima immagine"
"Maximum Number of Price Intervals","Numero massimo di intervalli di prezzo"
"Maximum Qty Allowed in Shopping Cart","Massima Qtà permessa nel carrello"
"Maximum allowed image size for '%s' is %sx%s px.","La massima dimensione permessa per l\'immagine '%s' è %sx%s px."
"Maximum image height","Altezza massima immagine"
"Maximum image width","Larghezza massima immagine"
"Maximum number of characters:","Massimo numero di caratteri:"
"Maximum number of price intervals is 100","Il numero massimo di intervalli di prezzo è 100"
"Media Image","Immagine Media"
"Minimum Advertised Price","Prezzo minimo pubblicizzato"
"Minimum Lines per Page","Righe minime per pagina"
"Minimum Qty Allowed in Shopping Cart","Qtà minima ammessa nel carrello"
"Minimum Qty for Item\'s Status to be Out of Stock","Qtà minima dello stato dell\'articolo per essere non disponibile"
"Missing SKU, skipping the record.","SKU mancante, salta il record."
"More Views","Altre viste"
"Move","Sposta"
"Move category in tree","Sposta in albero categoria"
"Multi update product","Multi aggiornamento prodotto "
"Must be in the allowed values list.","Deve essere nella lista dei valori permessi."
"N/A","N/A"
"Name","Nome"
"Name in %s","Nome in %s"
"New Product","Nuovo prodotto"
"New Product Attribute","Nuovo attributo prodotto"
"New Products","Nuovi prodotti"
"New Products Grid Template","Nuovo Template griglia prodotti"
"New Products List Template","Nuovo Template lista prodotti"
"New Root Category","Nuova categoria Root"
"New Search","Nuova ricerca"
"New Set Name","Nome nuovo Set"
"New Subcategory","Nuova sottocategoria"
"New products","Nuovi prodotti"
"Next","Successivo"
"No","No"
"No image","Nessuna immagine"
"No layout updates","Nessun aggiornamento al layout"
"No options of this product are available.","Non è disponibile nessuna opzione di questo prodotto."
"No product collections found.","Non è stata trovata nessuna raccolta del prodotto."
"None","Nessuno"
"Not Visible Individually","Non visibile individualmente"
"Notify Low Stock RSS","Comunica via RSS scorte in esaurimento"
"Notify for Quantity Below","Avvisa per quantità inferiori a "
"Number of Products per Page","Numero di prodotti per pagina"
"Number of Products to Display","Numero di prodotti da visualizzare"
"Number of Uses","Numero di utilizzi"
"Number of results","Numero di risultati"
"Number of results (For the last time placed)","Numero di risultati (per l'ultima volta immessi)"
"OK","OK"
"OR","O"
"Old Price:","Prezzo precedente:"
"On Gesture","con gesture"
"Option validation failed to add product to cart.","L\'opzione di validazine ha fallito nell\'aggiungere il prodotto al carrello."
"Option values","Valori opzione"
"Option:","Opzione:"
"Options","Opzioni"
"Options Control","Controllo opzioni"
"Options is required","Opzioni è richiesto"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Il nostro servizio clienti è disponibile 24/7. Chiamaci al (555) 555-0123."
"Out of Stock","Non disponibile"
"Out of stock","Non disponibile"
"PM","PM"
"Page Title Separator","Separatore titolo pagina"
"Parent Category","Categoria genitore"
"Pending","In attesa"
"Pending Reviews RSS","Recensioni in attesa RSS"
"Percentage","Percentuale"
"Please add rows to option.","Aggiungere righe di opzione."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Fai attenzione ogni volta che clicchi sulla riga saranno caricati i moduli dei dati pacchetto dal file selezionato e tutti i moduli dati non salvati andranno persi."
"Please click on the Close Window button if it is not closed automatically.","Clicca sul pulsante Chiudi Finestra se non si chiude automaticamente."
"Please enter a new group name","Inserire un nuovo nome gruppo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Ricarica ""Catalogo URL Rewrites"" e ""Attributi prodotti"" in Sistema -&gt; <a href=""%s"">Gestione indice</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Aggiorna ""Url Rewrites del Catalogo"" e ""Attributi Prodotto"" in Sistema -> <a href=""%s"">Amministrazione Indice</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Aggiorna ""Attributi Prodotto"" in Sistema -&gt; <a href=""%s"">Amministrazione Indice</a>"
"Please select a static block ...","Selezionare un blocco statico ..."
"Please select items.","Seleziona gli articoli."
"Please select one or more attributes.","Selezionare uno o più attributi."
"Please select product(s).","Selezionare prodotto(i)"
"Please select products for attributes update","Selezionare prodotti per l\'aggiornamento attributi"
"Please set up merge date/time","Imposta unione data/ora"
"Please set up merge date/time later then present date","Imposta unione data/ora successiva a quella attuale."
"Please specify date required option(s).","Specificare data opzione richiesta."
"Please specify the number of products, that will not be divided into subintervals.","Specificare il numero di prodotti che non sarà diviso in sotto intervalli."
"Please specify the product required option(s)","Specificare le opzioni del prodotto."
"Please specify the product required option(s).","Specificare le opzioni del prodotto."
"Please specify the product\'s option(s).","Specificare le opzioni del prodotto."
"Please specify the product\'s required option(s).","Specificare le opzioni richieste del prodotto."
"Please specify the quantity of product(s).","Specificare la quantità del prodotto."
"Please specify time required option(s).","Specificare il tempo dell\'opzione richiesta."
"Please wait...","Attendere prego..."
"Position","Posizione"
"Position in Layered Navigation","Posizione nella navigazione a livelli"
"Position of attribute in layered navigation block","Posizione dell'attributo nel blocco navigazione a livelli"
"Prev","Preced"
"Previous","Precedente"
"Price","Prezzo"
"Price Navigation Step Calculation","Calcola gli step di navigazione del prezzo"
"Price Type","Tipo prezzo"
"Price is not available","Prezzo non disponibile"
"Price values for options should be specified in system base currency.","I valori dei prezzi per le opzioni dovrebbero essere specificati nella valuta corrente di sistema."
"Price:","Prezzo:"
"Price: %s","Prezzo: %s"
"Print This Page","Stampa questa pagina"
"Product","Prodotto"
"Product API","API prodotto"
"Product Alerts","Avvisi prodotto"
"Product Attribute","Attributo prodotto"
"Product Attributes","Attributi Prodotto"
"Product Categories","Categorie prodotti"
"Product Description","Descrizione prodotto"
"Product Extra Info","Info extra prodotto"
"Product Flat Data","Dati prodotto Flat"
"Product ID","ID prodotto"
"Product Image Placeholders","Segnaposti immagine prodotto"
"Product Image Watermarks","Watermarks immagine prodotto"
"Product Images","Immagini prodotto"
"Product Images API","API immagini prodotto"
"Product In Websites","Prodotto nei siti web"
"Product Info Column","Colonna Info prodotto"
"Product Information","Informazioni prodotto"
"Product Link Block Template","Template link blocco prodotto"
"Product Link Inline Template","Template in linea collegamento prodotto"
"Product Listing Sort by","Listino prodotti ordinato per"
"Product Name","Nome prodotto"
"Product Prices","Prezzi prodotto"
"Product Reviews","Recensioni prodotto"
"Product Tags","Tag prodotto"
"Product Tier Price API","API fascia prezzo prodotto"
"Product Type","Tipo prodotto"
"Product URL Suffix","Suffisso URL prodotto"
