"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d regole carrello basato sugli attributi ""%s"" disabilitate."
"%s Coupon(s) have been generated","%s Coupon è stato generato"
"Actions","Azioni"
"Sales Discount Amount","Importo sconto"
"Sales Subtotal Amount","Importo sconto sul subtotale"
"Sales Total Amount","Sconto sull\'importo totale"
"Save and Continue Edit","Salva e continua la modifica"
"Shipping Country","Paese di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Postcode","CAP di spedizione"
"Shipping Region","Regione di spedizione"
"Shipping State/Province","Stato/Provincia di spedizione"
"Shopping Cart Price Rule","Regola prezzo carrello"
"Shopping Cart Price Rules","Regole di prezzo del carrello"
"Special Price","Prezzi speciali"
"Specific Coupon","Coupon specifico"
"Status","Stato"
"Stop Further Rules Processing","Ferma processo di ulteriori regole"
"Store View Specific Labels","Visualizza etichette specifiche negozio"
"Subtotal","Subtotale"
"Subtotal Amount","Importo subtotale"
"The rule has been deleted.","La regola è stata cancellata."
"The rule has been saved.","La regola è stata salvata"
"This rule no longer exists.","Questa regola non esiste."
"Times Used","Numero di utilizzi"
"To Date","Alla data"
"To Fixed Value","Per valore fisso"
"To Percentage","Per percentuale"
"Total","Totale"
"Total Amount","Importo totale"
"Total Items Quantity","Quantità totale oggetti"
"Total Weight","Peso totale"
"Unable to create requested Coupon Qty. Please check settings and try again.","Impossibile creare la quantità di Coupon richiesti. Controlla le impostazioni e riprova."
"Unable to find a rule to delete.","Impossibile trovare regola da cancellare"
"Update prices using the following information","Aggiornamento prezzi usando le seguenti informazioni"
"Update product's %s %s: %s","Aggiornamento prodotti %s %s: %s"
"Update the Product","Aggiornamento prodotti"
"Use Auto Generation","Usa Generazione Automatica"
"Used","Usato"
"Uses per Coupon","Usi per coupon"
"Uses per Customer","Usi per cliente"
"Website","Sito Web"
"Websites","Siti Web"
"Wrong rule specified.","Regola specificata errata"
"Yes","Sì"
"total amount","Totale"
"total quantity","quantità totale"
