"-OR-","-Oppure-"
"Buyer claims that he did not receive goods or service.","Il compratore sostiene di non aver ricevuto il bene o servizio."
"Buyer claims that he/she did not authorize transaction.","Il compratore sostiene di non aver autorizzato la transazione."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Il compratore sostiene di aver ricevuto un differente bene o servizio rispetto alla descrizione fornita dal venditore sul bene o servizio."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Il compratore sostiene che la merce non lo soddisfa, è difettosa o danneggiata."
"Buyer\'s Tax ID","ID tasse dell\'acquirente"
"Buyer\'s Tax ID Type","Tipo ID tasse dell\'acquirente"
"By default it is ""reports.paypal.com"".","Questo è predefinito su ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV Entry is Editable","Il Campo CVV è modificabile"
"CVV2 Check Result by PayPal","CVV2 Risultato verifica di PayPal"
"Can not send new order email.","Impossibile inviare nuovo ordine email."
"Cannot create target file for reading reports.","Impossibile creare il file target per leggere I resoconti."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel API URL personalizzato"
"Charge-off","Charge-off"
"Chargeback","Chargeback"
"Checkout with PayPal","Completa l'acquisto con PayPal"
"Choose a secure bundled payment solution for your business.","Scegli una soluzione sicura per i pagamenti per il tuo business"
"City","Città"
"Click here if you are not redirected within 10 seconds...","Clicca qui se non vieni reindirizzato entro 10 secondi..."
"Close","Chiudi"
"Company","Azienda"
"Complaint","Lamentela"
"Completion Date","Data di Completamento"
"Configure","Configura"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connetti il tuo account venditore con un gateway PCI-compliant che consente ai tuoi clienti di pagare senza lasciare il tuo sito."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connetti il tuo account venditore con un gateway completamente personalizzabile che consente ai tuoi clienti di pagare senza lasciare il sito."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Connessione in corso al server PayPal SFTP per acquisire nuovi rapporti. Sicuro di voler procedere?"
"Continue","Continua"
"Countries Payment Applicable From","Modulo di paesi validi per il pagamento"
"Country","Paese"
"Coupon Redemption","Rimborso Coupon"
"Credit","Credito"
"Credit Card Settings","Impostazioni Carta di Credito"
"Currency Conversion required to cover negative balance","Conversione valuta richiesta per coprire bilancio negativo"
"Custom","Personalizzato"
"Custom Endpoint Hostname or IP-Address","Endpoint Hostname o indirizzo IP Personalizzato"
"Custom Path","Path  Personalizzata"
"Customer Information","Informazioni cliente"
"Customer did not include a confirmed address.","Il cliente non ha inserito un indirizzo confermato."
"Customer failed to pay.","Cliente ha fallito il pagamento."
"Customer used non-confirmed address.","Cliente ha usato un indirizzo non confermato."
"Daily","Giornalmente"
"Debit","Debito"
"Debit Card Cash Back","Cash Back Carta di Debito"
"Debit Card Transaction","Transazione Carta di Debito"
"Debit or Credit","Credito o Debito"
"Debug Mode","Modalità Debug"
"Direct Payment API","Pagamento Diretto API"
"Discount","Sconto"
"Display Express Checkout in the Payment Information step","Mostra Express Checkout nel passo informazioni di pagamento"
"Displays on catalog pages and homepage.","Mostra su pagine catalogo ed hompage"
"Dispute","Disputa"
"Don't have a PayPal account? Simply enter your email address.","Non hai un account PayPal? Inserite semplicemente il vostro indirizzo email."
"Dynamic","Dinamico"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Edit Shopping Cart","Modifica Carrello della spesa"
"Email Address","Indirizzo email"
"Email Associated with PayPal Merchant Account","Email associata con l'account venditore PayPal"
"Email Associated with PayPal Merchant Account (Optional)","Email associata con l'account venditore PayPal (Opzionale)"
"Enable Automatic Fetching","Abilita recupero Automatico"
"Enable Express Checkout","Abilita Express Checkout"
"Enable PayPal Guest Checkout","Abilita acquisto ospite PayPal "
"Enable Payflow Link","Abilita Payflow Link"
"Enable SSL verification","Abilita verifica SSL"
"Enable this Solution","Abilita questa Soluzione"
"Enabled","Abilitato"
"Event","Evento"
"Event Code","Codice Evento"
"Every 10 days","Ogni 10 giorni"
"Every 14 days","Ogni 14 giorni"
"Every 3 days","Ogni 3 giorni"
"Every 30 days","Ogni 30 giorni"
"Every 40 days","Ogni 40 giorni"
"Every 7 days","Ogni 7 giorni"
"Exact Match. Address and Postal Code. International","Corrispondenza Esatta. Indirizzo e Codice Avviamento Postale. Internazionale"
"Exact Match. Address and Postal Code. UK-specific","Corrispndenza Esatta. Indirizzo e Codice Avviamento Postale. Specifico UK"
"Exact Match. Address and nine-digit ZIP code","Corrispndenza Esatta. Indirizzo and ZIP-code a 9 cifre"
"Explanation: %s.","Spiegazione: %s."
"Express Checkout","Express Checkout"
"Express Checkout APIs","Express Checkout"
"Express Checkout and Order have been canceled.","Express Checkout e l\'Ordine sono stati annullati."
"Express Checkout has been canceled.","Express Checkout è stato annullato."
"Failed to fetch reports from '%s@%s'.","Impossibile acquisire I resoconti da '%s@%s'."
"Fax","Fax"
"Fee Amount","Totale Tassa"
"Fee Debit or Credit","Tassa Debito o Credito"
"Fee Reversal","Inversione Tassa"
"Fee: Foreign ACH Withdrawal","Tassa: Prelievo ACH estero"
"Fee: Mass Pay Request","Tassa: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Tassa: Pagamenti sito web Account Pro Mensile"
"Fee: WorldLink Check Withdrawal","Tassa: Prelievo WorldLink Check"
"Fetch","Reso"
"Fetch Updates","Recupera aggiornamenti"
"Fetched %s report rows from '%s@%s'.","Reso %s righe report da '%s@%s'."
"For Virtual Quotes Only","Solo per citazioni virtuali"
"Frontend Experience Settings","Settaggi Frontend Experience"
"Funding","Finanziamento"
"General (Authorization)","Generale (Autorizzazione)"
"General (Dividend)","Generale (Dividendo)"
"General (Funds Transfer from PayPal Account to Another)","Generale (Trasferimento Fondi da conto PayPal ad un altro)"
"General (Purchase with a credit card)","Generale (Purchase with a credit card)"
"General Adjustment without businessrelated event","Generale Aggiustamento senza evento associato al business"
"General Currency Conversion","Generale Conversione Valuta"
"General Funding of PayPal Account ","Generale Finanziamento sul conto PayPal"
"General Redemption","Generale Recupero"
"General Withdrawal from PayPal Account","Generale Transazione da conto PayPal"
"General. Product no longer supported","Generale. Prodotto non più supportato"
"General: Use of PayPal account for purchasing as well as receiving payments","Generale: Uso del conto PayPal sia per acquistare che per ricevere pagamenti"
"General: Withdrawal from PayPal Account","Generale: Transazione da conto PayPal"
"General: Withdrawal to Non-Bank Entity","Generale: Transazione a Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","Generale: aggiustamento a tipo non appartenente alle altre categorie T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Generale: bonus a tipo non appartenente alle altre categorie T08xx"
"General: event not yet categorized","Generale: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","Generale: tariffa non-pagamento a tipo non appartenente alle altre categorie T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Generale: pagamento ricevuto a tipo non appartenente alle altre categorie T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Generale: inversione a tipo non appartenente alle altre categorie T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","Generale: trattenuta temporanea a tipo non appartenente alle altre categorie T15xx categories"
"Get Credentials from PayPal","reperisci credenziali da PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Pagamento di Certificato Omaggio: acquisto di Certificato Omaggio"
"Gift Certificate Redemption","Recupero Pagamento di Certificato"
"Gross Amount","Totale Lordo"
"Header Background Color","Colore di sfondo dell\'Header"
"Header Border Color","Colore del bordo dell\'Header"
"Header Image URL","Immagine URL dell\'Header"
"Help","Aiuto"
"Hidden Virtual PayPal Debit Card Transaction","Transazione Carta Virtuale Nascosta PayPal Debit"
"Hold for Dispute Investigation","Attendi per indagine controversia"
"IPN ""%s"".","IPN ""%s""."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Importo transazione %s. ID Transazione: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". Una controversia è stata risolta e chiusa. %s Importo transazione %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Caso tipo ""%s"". Caso ID ""%s"" %s"
"IPN verification ""%s"".","Verifica IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se lasciato vuoto, sarà usato un valore predefinito. Una custom URL potrebbe essere fornita dall\'accortod CardinalCommerce."
"If not specified, Default Country from General Config will be used","Se non specificato, sarà utilizzato il paese predefinito nella Configurazione Generale"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se questa opzione è attivata, l\'utente potrà cambiare l\'indirizzo e il metodo di spedizione dal sito PayPal. La modalità In live funziona solo tramite protocollo HTTPS."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Se non hai utenti multipli installati nel tuo account, re-inserisci il Login Venditore qua."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossibile emettere una transazione di rimborso, poiché la transazione capture non esiste."
"Incentive","Incentivo"
"Initiation Date","Data inizio"
"Integral Evolution","Evoluzione integrale"
"Invoice ID","ID fattura"
"Issuer Liability","Responsabilità dell\'emittente"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","E\' raccmandato impostare questo valore su ""Carta di Debito o di Credito"" per viste negozio."
"It is recommended to set this value to ""PayPal"" per store views.","È raccomandato impostare questo valore su ""PayPal"" per viste negozio."
"Items in Your Shopping Cart","Oggetti nel tuo Carrello della Spesa"
"Last Correlation ID","Ultima ID di correlazione"
"Last Transaction ID","Ultima ID di transazione"
"Learn More","Per saperne di più"
"Login","Login"
"Mass Pay Payment","Pagamento Mass Pay"
"Matched (CVV2)","Verificato (CVV2)"
"Matched (CVV2CSC)","Verificato (CVV2CSC)"
"Matched Address only (no ZIP)","Verificato solo indirizzo (no ZIP)"
"Matched Address only (no ZIP). International","Verificato solo indirizzo (no ZIP). Internazionale"
"Matched Postal Code only (no Address)","Verificato solo codice postale (no indirizzo)"
"Matched five-digit ZIP only (no Address)","Verificato solo codice ZIP a cinque cifre  (no Indirizzo)"
"Matched whole nine-didgit ZIP (no Address)","Verificato codice ZIP a nove cifre (no Indirizzo)"
"Merchant Account","Venditore Account"
"Merchant Country","Paese Venditore"
"Merchant Liability","Responsabilità Venditore"
"Merchant Location","Posizione Venditore"
"Merchant Protection Eligibility","Idoneità Protezione Venditore"
"Merchant Referral Bonus","Rinvio Bonus Venditore"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview."
"Merchant account is not verified.","Account commerciante non verificato."
"Merchant denied this pending payment.","Il Commerciante ha rifiutato il pagamento in attesa."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Il Venditore ha un account non-U.S  e non dispone di un meccanismo di prelievo."
"Merchant must upgrade account to Business or Premier status.","Merchant must upgrade account to Business or Premier status."
"Merchant reference ID format is not supported.","Formato dell\'ID di riferimento del Venditore non supportato."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","I Venditori devono richiedere PayPal di abilitare le funzioni di accordo fatturazione. Non abilitare questa opzione finché PayPal non conferma che gli accordi di fatturazione sono abilitati sul tuo account."
"Mobile Payment (made via a mobile phone)","Pagamento Mobile (effettuato attraverso telefono cellulare)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview."
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Indirizzo non controllato, o l\'acquirente non ha avuto risposta. Servizio non disponibile"
"N/A. Global Unavailable","N/A. Globale non disponibile"
"N/A. International Unavailable","N/A. Internationale non disponibile"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Il venditore ha indicato che CVV2 non é presente sulla carta"
"N/A. No response","N/A. Nessuna risposta"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Non permesso per transazioni MOTO (Internet/Telefono)"
"N/A. Not processed","N/A. Non elaborato"
"N/A. Retry","N/A. Riprova"
"N/A. Service not Supported","N/A. Servizio non supportato"
"N/A. Service not available","N/A. Servizio non disponibile"
"N/A. Service not supported","N/A. Servizio non supportato"
"N/A. The merchant did not provide AVS information","N/A. Il venditore non ha fornito informazioni AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Il venditore non ha attivato la gestione del codice CVV2"
"N/A. Unavailable","N/A. Non disponibile"
"Negative Balance","Bilancio Negativo"
"Never","Mai"
"No","No"
"No Details matched","Nessun dettaglio verificato"
"No Details matched. International","Nessun dettaglio verificato. Internazionale"
"No Liability Shift","Nessun cambiamento di responsabilità"
"No Logo","Nessun logo"
"No match","Nessuna corrispondenza"
"None of the address information matched","Nessuna informazione sull\'indirizzo corrisponde"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Non sei sicuro quale metodo di pagamento PayPal utilizzare? Clicca <a href=""%s"" target=""_blank"">qui</a> per saperne di più"
"Note: %s","Nota: %s"
"Nothing to fetch because of an empty configuration.","Niente da riportare a causa di una configurazione vuota."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Notare che PayPal può gestire un massimo di dieci opzioni. Questo è il motivo per cui Magento trasferirà solo le prime dieci opzioni più economiche di spedizione, nel caso in cui ve ne siano più di dieci"
"Notified customer about creditmemo #%s.","Utente avvisato del suo creditmemo #%s."
"Notified customer about invoice #%s.","Utente avvisato della sua fattura #%s."
"Now accepting PayPal (150 X 40)","Da ora si accettano PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Da ora si accettano PayPal (150 X 60)"
"Number of Child Authorizations","Numero di autorizzazioni figlie"
"Open Authorization","Autorizzazione aperta"
"Order","ordine"
"Order ID","ID ordine"
"Order Valid Period (days)","Periodo validità ordine (giorni)"
"Ordered amount of %s.","Quantità ordinatà %s."
"Ordering amount of %s is pending approval on gateway.","La quantità ordinata di %s è in attesa di approvazione dal gateway."
"Page Background Color","Colore di sfondo pagina"
"Page Style","Stile pagina"
"Part of the address information matched","Parte dell\'informazione sull\'indirizzo corrisponde"
"Partner","Partner"
"Pasarela integral","Pasarela integrale"
"Password","Password"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal Soluzioni Pagamento Tutto-in-Uno &nbsp;&nbsp;<i>Accetta e esegue pagamenti con carte di credito e PayPal.</i>"
"PayPal Balance Manager function of PayPal account","PayPal funzione Balance Manager dell\'account PayPal"
"PayPal Billing Agreement Settings","PayPal Cliente Impostazioni Condizioni"
"PayPal Buyer Warranty Bonus","PayPal Bonus di garanzia acquirente"
"PayPal Debit Card Cash Advance","PayPal Cash Advance Carta di debito"
"PayPal Debit Card Withdrawal from ATM","PayPal Prelievo da ATM Carta di Debito"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Express Checkout Shortcut Wrapper","PayPal Shortcut Wrapper per Checkout veloce"
"PayPal Express Checkout Token does not exist.","PayPal il Token per Checkout veloce non esiste."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout non è attivo."
"PayPal Express Order Review Form","PayPal Modulo per revisione veloce ordine"
"PayPal Fee Information","PayPal Informazione tariffa"
"PayPal Merchant Pages Style","PayPal Stile pagina venditore"
"PayPal Payment Gateways","PayPal Payment Gateways"
"PayPal Payment Solutions","Soluzioni di pagamento PayPal"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","PayPal Logo del prodotto"
"PayPal Protection Bonus","PayPal Bonus di protezione"
"PayPal Reference ID","PayPal ID di riferimento"
"PayPal Reference ID Type","PayPal tipo ID di riferimento"
"PayPal Settlement Reports","PayPal Resoconto impostazioni"
"PayPal certificate does not exist.","PayPal il certificato non esiste"
"PayPal certificate file is empty.","PayPal il file del certificato è vuoto"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal non supporta elaborazione di ordini per un valore totale pari a zero. Per completare l\'acquisto, procedere con il processo di pagamento standard."
"PayPal gateway has rejected request. %s","PayPal gateway ha rifiutato la richiesta. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal consiglia di impostare un Utente aggiuntivo al tuo account in manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal consiglia di impostare un Utente aggiuntivo al tuo account in manager.paypal.com, invece di inserire il nome utente e la password qui. Questo permetterà di migliorare la sicurezza e di evitare interruzioni del servizio se in seguito viene modificata la password. Se non vuoi impostare un Utente aggiuntivo è possibile reinserire il Login Venditore qui."
"PayPal response hasn't required fields.","La risposta di PayPal non ha i campi richiesti."
"PayPal retains reports for 45 days.","PayPal conserva I resoconti per 45 giorni."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Risultato Servizio Autenticazione Visa Payer"
"Payer Address ID","ID indirizzo del pagante"
"Payer Address Status","Stato indirizzo del pagante"
"Payer Email","Email del pagante"
"Payer ID","ID del pagante"
"Payer Status","Stato del pagante"
"Payer is not identified.","Il pagante non è stato identificato"
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (Include Express Checkout)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Include Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro e Express Checkout"
"Payment Action","Azione Pagamento"
"Payment Applicable From","Modulo Appropriato Pagamento"
"Payment Refund initiated by merchant","Rimborso Pagamento iniziato dal venditore"
"Payment has been declined. Please try again.","Il pagamento è stato rifiutato. Prego provare di nuovo."
"Payment is being reviewed by PayPal for risk.","Payment is being reviewed by PayPal for risk."
"Payment transactions disallow storing objects.","Le operazioni di pagamento non consentono il salvataggio di oggetti."
"Payment was made to an email address that is not yet registered or confirmed.","Payment was made to an email address that is not yet registered or confirmed."
"Payments Advanced","Pagamenti Avanzati"
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Include Express Checkout)"
"Payments Pro (Includes Express Checkout)","Payments Pro (Include Express Checkout)"
"Payments Pro Hosted Solution","Payments Pro Hosted Solution"
"Payments Pro and Express Checkout","Payments Pro e Express Checkout"
"Payments Standard","Pagamenti Standard"
"Payments by PayPal (150 X 40)","Pagamenti da PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamenti da PayPal (150 X 60)"
"Pending PayPal","PayPal In attesa"
"Place Order","Effettua l\'ordine"
"Please agree to all the terms and conditions before placing the order.","Accetta tutti i termini e le condizioni prima di effettuare l\'ordine"
"Please contact PayPal Customer Service.","Per favore contatta il Customer Service di Paypal."
"Please do not refresh the page until you complete payment.","Non aggiornare la pagine finché il pagamento non è competo."
"Please re-enable the previously enabled payment solutions.","Riattiva la precedente soluzione di pagamento attiva"
"Please select a shipping method...","Selezionare un metodo di spedizione..."
"Please select region, state or province","Selezionare regione, stato o provincia."
"Please update order data to get shipping methods and rates","Aggiornare i dati dell\'ordine per ricevere i metodi di spedizione e i tassi"
"Points Incentive Redemption","Rimborso punti incentivo"
"Postage Payment to either USPS or UPS","Pagamento postale a USPS o UPS"
"Preapproved Payment (BillUser API), either sent or received","Pagamento pre approvato (BillUser API), in spedizione o ricezione"
"Preapproved Payment ID","ID Pagamento Preapprovato"
"Price","Prezzo"
"Pro","Pro"
"Process payments using your own internet merchant account.","Elabora pagamenti utilizzando il tuo account venditore."
"Product Name","Nome Prodotto"
"Proxy Host","Proxy Host"
"Proxy Port","Porta Proxy"
"Qty","Qtà"
"Reauthorization","Riautorizzazione"
"Reference Information","Informazione di riferimento"
"Reimbursement for a chargeback.","Rimborso per chargeback."
"Reimbursement of Chargeback","Rimborso di Chargeback"
"Report Date","Data resoconto"
"Reports","Resoconti"
"Requested %s and configured %s merchant emails do not match.","Requested %s and configured %s merchant emails do not match."
"Require CVV Entry","Richiede immissione CVV"
"Require Customer's Billing Address","Richiede indirizzo di fatturazione del cliente"
"Required PayPal Settings","Impostazioni PayPal obbligatorie"
"Required Settings","Impostazioni richieste"
"Reversal","Inversione"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Inversione di Utilizzo Punti"
"Reversal of an adjustment.","Inversione di un aggiustamento"
"Reversal of hold for Dispute Investigation","Inversione di sospensione per indagine controversia"
"Review Order","Rivedi l\'Ordine"
"Reward Voucher Redemption","Ricompensa Rimborso Voucher"
"SFTP Credentials","Credenziali SFTP"
"Sale","Vendita"
"Sales","Vendites"
"Same as shipping","Stessa spedizione"
"Sandbox Credentials","Sandbox Credenziali"
