"%s","%s"
"%s already exist.","%s già  presente."
"%s already exists.","%s già  presenti."
"-- Please Select --","-- Selezionare --"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Inserire 6 o più caratteri. Gli spazi iniziali o finali saranno ignorati."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Inserire 7 o più caratteri. La password dovrebbe contenere sia caratteri numerici che alfabetici."
"Please enter a number 0 or greater in this field.","Inserire 0 o un numero supereiore in questo campo."
"Please enter a number 1 or greater in this field.","In questo campo inserire il numero 1 o un numero maggiore."
"Please enter a number greater than 0 in this field.","Insereire un numero maggiore di 0 in questo campo."
"Please enter a number lower than 100.","Inserire un numero minore di 100."
"Please enter a valid $ amount. For example $100.00.","Inserire un importo valido di $. Per esempio $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Inserire un chiave URL valida. Per esempio ""example-page"", ""example-page.html"" o ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserire un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Inserire un URL valido. Il protocollo è obbligatorio (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Inserire un identificativo XML valido. Per esempio something_1, block5, id-4."
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please enter a valid credit card verification number.","Inserire numero di verifica della carta di credito."
"Please enter a valid date between %s and %s","Inserire una data valida tra %s e %s"
"Please enter a valid date equal to or greater than %s","Inserire una data valida uguale o maggiore di %s"
"Please enter a valid date less than or equal to %s","Inserire una data valida inferiore o uguale a %s"
"Please enter a valid date.","Inserire una data valida."
"Please enter a valid day (1-%d).","Inserisci un giorno valido (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Inserire un indirizzo email valido. Per esempio johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Inserire un numero di fax valido. Per esempio (123) 456-7890 or 123-456-7890."
"Please enter a valid full date","Inserire una data completa valida"
"Please enter a valid month (1-12).","Inserire mese (1-12)."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserisci un numero di telefono valido. Per esempio (123) 456-7890 o 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Inserire un numero valido di previdenza sociale. Per esempio 123-45-6789."
"Please enter a valid year (1900-%d).","Inserire anno (1900-%d)."
"Please enter a valid zip code.","Inserire codice zip valido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserire un codice zip valdio. Per esempio 90602 o 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Si prega di inserrie il numero di rilascio o la data di inizio per switch/solo tipo della carta."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Inserire una lunghezza CSS valida. Per esempio 100px o 77pt or 20em o .5ex or 50%."
"Please make sure your passwords match.","Assicurati che le password corrispondano."
"Please select State/Province.","Selezionare Stato/Provincia."
"Please select a file","Seleziona un file"
"Please select an option.","Selezionare una opzione."
"Please select one of the above options.","Selezionare una delle opzioni soprastanti."
"Please select one of the options.","Selezionare una delle opzioni."
"Please set available and/or protected paths list(s) before validation.","Impostare la lista del percorso(i) disponibile/o protetto  prima della convalida."
"Please specify either a category or a product, or both.","Specificare una categoria o un prodotto, oppure entrambi."
"Please use letters only (a-z or A-Z) in this field.","Utilizzare solo lettere in questo campo (a-z o A-Z)."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Utilizzare solo numeri in questo campo. Evitare spazi o altri caratteri come punti e virgole."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilizzare solo lettere (a-z o A-Z) o solo numeri (0-9) in questo campo. Non sono permessi spazi o altri caratteri."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Utilizzare solo lettere (a-z or A-Z) o numeri (0-9) o spazi o solo # in questo campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","In questo campo utilizzare solo lettere (a-z or A-Z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilizzare solo lettere (a-z), numeri (0-9) o underscore(_) in questo campo, la prima lettera deve essere una lettera."
"Please use only visible characters and spaces.","Utilizzare solo caratteri visibili e spazi."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilizzare questo formato della data: dd/mm/yyyy. Per esempio 17/03/2006 per il 17 di Marzo, 2006."
"Please wait, loading...","Attendere prego, caricamento..."
"Polls","Sondaggi"
"Port (25)","Porta (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Periodo recupero scadenza link (giorni)"
"Request Path for Specified Store","Richiesta percorso per il negozio specificato"
"Request path length exceeds allowed %s symbols.","La lunghezza del percorso richiesto supera i %s caratteri permessi."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Il file richiesto non può includere l\'attraversamento di directory genitore (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Negozio richiesto non valido ""%s"""
"Resource is not set.","Risorsa non è impostato."
"Retrieve info about current Magento installation","Recupera informazioni riguardanti l\'attuale installazione di Magento."
"Retrieve store data","Recupera dati negozio"
"Retrieve store list","Recupera lista negozio"
"Return-Path Email","Rendi percorso email"
"Root Category","Categoria Root"
"Sales Representative","Rappresentante vendite"
"Sales Representative Contact Email","Email del rappresentante vendite"
"Sales Representative Contact Name","Nome del rappresentante vendite"
"Save","Salva"
"Save Store","Salva negozio"
"Save Store View","Salva vista negozio"
"Save Website","Salva sito web"
"Search Engines Optimization","Ottimizzazione motori di ricerca"
"Secure","Secure"
"Security","Sicurezza"
"Select Date","Seleziona data"
"Select Media Database","Seleziona Media Database"
"Sender Email","Mittente Email"
"Sender Name","Nome mittente"
"Services","Servizi"
"Session Cookie Management","Sessione gestione Cookie"
"Session Lifetime (seconds)","Durata sessione (secondi)"
"Session Validation Settings","Impostazioni di convalida sessione"
"Set Return-Path","Imposta ritorno-percorso"
"Set as Default","Imposta come predefinito"
"Skin (Images / CSS)","Skin (Immagini / CSS)"
"Sort Order","Ordinamento"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/ora indicate ""%1$s"" non corrispondono con il formato ""%2$s""."
"Start date cannot be greater than end date.","La data di inzio non può essere maggiore della data finale."
"Startup Page","Pagina Iniziale"
"Status","Stato"
"Storage Configuration for Media","Configurazione spazio di archiviazione per Media"
"Store","Negozio"
"Store API","API negozio"
"Store Contact Address","Indirizzo di contatto negozio"
"Store Contact Information","Informazioni di contatto negozio"
"Store Contact Telephone","Numero di telefono contatto negozio"
"Store Email Addresses","Indirizzi email negozio"
"Store Information","Informazioni negozio"
"Store Name","Nome negozio"
"Store View","Vista negozio"
"Store View Information","Informazioni vista negozio"
"Store View Name","Nome vista negozio"
"Store view doesn't exist","La vista negozio non esiste"
"Store with the same code","Negozio con lo stesso codice"
"System","Sistema"
"System Log File Name","Nome file Log di sistema"
"Template Path Hints","Suggerimenti percorso template"
"Template Settings","Impostazioni template"
"Template Variables","variabili template"
"Templates","Templates"
"Text length does not satisfy specified text range.","La lunghezza del testo non rispetta la lunghezza specificata."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Il %s che hai inserito non è valido. Assicurati che seuga il formato ""http://domain.com/""."
"The From Date value should be less than or equal to the To Date value.","Il valore Dalla Data deve essere minore o uguale al valore della Data A."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Il codice negozio più contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"The store does not exist","Il negozio non esiste"
"The store has been deleted.","Il negozio è stato cancellato."
"The store has been saved.","Il negozio è stato salvato."
"The store view has been deleted.","La vista negozio è stata cancellata."
"The store view has been saved","La vista negozio è stata salvata."
"The template Name must not be empty.","Il nome del template non può essere vuoto."
"The value is not within the specified range.","Il valore non è compreso nell\'intervallo specificato."
"The website does not exist.","Il sito web non esiste."
"The website has been deleted.","Il sito web è stato cancellato."
"The website has been saved.","Il sito web è stato salvato."
"Themes","Temi"
"This category and all its child elements","Questa categoria e tutti i suoi elementi figlio"
"This category and its child categories only","Solo questa categoria e i suoi elementi figlio"
"This category and its products only","Solo questa categoria e i suoi prodotti"
"This category only","Solo questa categoria"
"This date is a required value.","Questa data è un valore obbligatorio."
"This is a required field.","Questo è un campo obbligatorio."
"This store cannot be deleted.","Questo negozio non può essere cancellato."
"This store view cannot be deleted.","Questa vista negozio non può essere cancellata."
"This website cannot be deleted.","Questo sito web non può essere cancellato."
"This will be displayed just before body closing tag.","Sarà visualizzato poco prima della chiusura del tag body."
"This will be included before head closing tag in page HTML.","Sarà  incluso prima della chiusura del tag head nella pagina HTML."
"Timezone","Fuso orario"
"Title Prefix","Prefisso titolo"
"Title Suffix","Suffisso titolo"
"Transactional Emails","Email transazionali"
"Translate Inline","Traduci in linea"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Traduci, i blocchi e gli altri output della cache dovrebbero essere disabilitati per entrambe le traduzioni in linea frontend e admin."
"Translations","Traduzioni"
"Two and more slashes together are not permitted in request path","Due o più slash insieme non sono permessi nel percorso richiesto"
"Two and more slashes together are not permitted in url rewrite suffix","Due o più slash insieme non sono permessi nel suffisso dell\'url rewrite"
"Unable to create directory: %s","Impossibile creare la directory: %s"
"Unable to delete store view. Please, try again later.","Impossibile cancellare la vista negozio. Riprovare più tardi."
"Unable to delete store. Please, try again later.","Impossibile cancellare il negozio. Riprovare più tardi."
"Unable to delete website. Please, try again later.","Impossibile cancellare il sito web. Riprovare più tardi."
"Unable to proceed. Please, try again","Impossibile procedere. Riprovare"
"Unable to proceed. Please, try again.","Impossibile procedere. Riprovare"
"Unable to save file ""%s"" at ""%s""","Impossibile salvare file ""%s"" in ""%s"""
"Unable to save file: %s","Impossibile salvare file: %s"
"Unknown old style column type definition: {$definition}.","Definizione tipo colonna vecchio stile sconosciuta: {$definition}."
"Unknown scope ""%s"".","Ambito sconosciuto ""%s""."
"Unsecure","Non sicuro"
"Url Options","Opzioni url"
"Use Custom Admin Path","Utilizza percorso admin personalizzato"
"Use Custom Admin URL","Usa URL personalizzato per l'admin"
"Use HTTP Only","Utilizza solo HTTP"
"Use SID on Frontend","Utilizza SID sul Frontend"
"Use Secure URLs in Admin","Utilizza Secure URL in Admin"
"Use Secure URLs in Frontend","Utilizza Secure URLs nel Frontend"
"Use Web Server Rewrites","Utilizza Web Server Rewrites"
"VAT Number","Numero partita IVA"
"Validate HTTP_USER_AGENT","Convalida HTTP_USER_AGENT"
"Validate HTTP_VIA","Convalida HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Convalida HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Convalida REMOTE_ADDR"
"Validation has failed.","Convalida non riuscita."
"Values less than 60 are ignored. Note that changes will apply after logout.","I valori minori di 60 sono ignorati. Nota che le modifiche saranno applicate dopo il logout."
"Variable Code must be unique.","Codice variabile deve essere unico."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Attenzione! Non è raccomandabile abilitare questa funzione nell'ambiente di produzione perchè rappresenta un poteziale rischio per la sicurezza."
"Web","Web"
"Website","Sito web"
"Website Information","Informazioni sito web"
"Website Name","Nome sito web"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Il codice del sito web può contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"Website with the same code","Sito web con lo stesso codice"
"Weekend Days","Giorni del Fine settimana"
"Welcome Text","Testo di benvenuto"
"Wrong file info format","Formato info file non valido"
"Wrong number of arguments for %s","Numero argomenti errato per %s"
"Wrong old style column type definition: {$definition}.","Definizione tipo colonna vecchio stile errata: {$definition}."
"Yes","Si"
"You will have to log in after you save your custom admin path.","Dopo aver salvato il percorso admin personalizzato dovrai effettuare nuovamente il log in."
"Your design change for the specified store intersects with another one, please specify another date range.","La tua modifica al design per il negozio specificato si interseca con un altra, specificare un altro intervallo di data."
"database ""%s""","database ""%s"""
