" Copy"," Copia"
"Sender","Mittente"
"Sender Email","Email Mittente"
"Sender Name","Nome Mittente"
"Sending","Invio in corso"
"Sent","Inviato"
"Sign Up for Our Newsletter:","Iscriviti alla nostra Newsletter:"
"Sign up for our newsletter","Iscriviti alla nostra newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Spiacenti, ma l\' amministratore ha negato la sottoscrizione per utenti ospite. Si prega di registrarsi <a href=""%s"">registrazione</a>."
"Start","Inizio"
"Status","Stato"
"Store","Negozio"
"Store View","Vista Negozio"
"Subject","Soggetto"
"Submit","Invia"
"Subscribe","Iscriviti"
"Subscribed","Sottoscritto"
"Subscriber","Sottoscrittore"
"Subscribers","Sottoscrittori"
"Subscribers From","Form Sottoscrittori"
"Subscription Options","Opzioni di Iscrizione"
"Success Email Sender","Mittente Email di conferma iscrizione"
"Success Email Template","Template Email Iscrizione Eseguita"
"Template Content","Contenuto Template"
"Template Information","Informazioni Template"
"Template Name","Nome Template"
"Template Styles","Stili Template"
"Template Subject","Soggetto Template"
"Template Type","Tipo Template"
"Thank you for your subscription.","Grazie per la sua sottoscrizione."
"The subscription has been removed.","La sottoscrizione è stata rimossa"
"The subscription has been saved.","La sottoscrizione è stata salvata"
"There was a problem with the subscription.","Si è verificato un errore con la sottoscrizione."
"There was a problem with the subscription: %s","Si è verificato un errore con la sottoscrizione: %s"
"There was a problem with the un-subscription.","Si è verificato un errore con la revoca della sottoscrizione."
"This email address is already assigned to another user.","Questo indirizzo email risulta già assegnato ad un altro utente"
"Type","Tipo"
"Unconfirmed","Non Confermato"
"Unsubscribe","Revoca sottoscrizione"
"Unsubscribe Selected","Revoca Sottoscrizione selezionato"
"Unsubscribed","Sottoscrizione revocata"
"Unsubscription Email Sender","Mittente Email di Cancellazione"
"Unsubscription Email Template","Template Email Annulla Iscrizione"
"View Newsletter","Vedi Newsletter"
"Website","Website"
"You have been unsubscribed.","La tua sottoscrizione è stata revocata"
"Your subscription has been confirmed.","La tua sottoscrizione è stata confermata"
