"%s was added to your shopping cart.","%s התווסף לעגלת הקניות."
"%s was updated in your shopping cart.","%s עודכן בעגלת הקניות ."
"* Required Fields","* שדות חובה"
"Edit Address","ערוך כתובת"
"Edit Billing Address","ערוך כתובת לחיוב"
"Edit Condition","ערוך התניה"
"Edit Items","ערוך פריטים"
"Edit Shipping Address","ערוך כתובת למשלוח"
"Edit Terms and Conditions","ערוך תקנון שימוש"
"Edit Your Cart","ערוך את הסל שלך"
"Edit item","ערוך פריט"
"Edit item parameters","ערוך פרמטרים של פריט"
"Email Address","כתובת דוא&#34;ל"
"Enable Onepage Checkout","אפשר צ'ק אאוט בדף אחד"
"Enable Terms and Conditions","אפשר תנאים שימוש"
"Enabled","פעיל"
"Enter a New Address","הכנס כתובת חדשה"
"Enter your coupon code if you have one.","הקלד את קוד הקופון, במידה ויש לך."
"Enter your destination to get a shipping estimate.","הכנס את יעדך לקבלת הערכת המשלוח"
"Estimate Shipping and Tax","עלות משלוח ומיסים מוערכת"
"Excl. Tax","לא כולל מס"
"Fast and easy check out","תשלום מהיר וקל"
"Fax","טלפון נוסף"
"Forgot an Item?","שכחת פריט כלשהו?"
"Forgot your password?","שכחתי סיסמא"
"Get a Quote","קבל הצעת מחיר"
"Get list of available payment methods","קבל רשימה של שיטות תשלום אפשריות"
"Get list of available shipping methods","קבל רשימה של שיטות משלוח אפשריות"
"Get list of products in shopping cart","קבל רשימת מוצרים בעגלת קניות"
"Get terms and conditions","קבל תנאי שימוש"
"Get total prices for shopping cart","קבל מחיר כולל לעגלת קניות"
"Gift Message","ברכה"
"Grand Total:","סה""כ:"
"Grouped Product Image","תמונת מוצר מקובצת"
"HTML","HTML"
"ID","קוד/ת.ז/זיהוי"
"Incl. Tax","כולל מס"
"Invalid checkout type.","הקלדת יציאה לא תקפה."
"Invalid data.","Invalid data."
"Invalid email address ""%s""","כתובת הדוא""ל ""%s"" אינה תקינה"
"Invalid method: %s","שיטה לא תקינה: %s"
"Invalid shipping method.","שיטת משלוח שגויה"
"Item not found or already ordered","פריט לא קיים או שהפריט כבר הוזמן"
"Items","פריטים"
"Items After","פריטים אחרי"
"Items Before","פריטים לפני"
"Load customer quote error","שגיאה בטעינת הצעת מחיר ללקוח"
"Loading next step...","טוען את השלב הבא..."
"Login","כניסה"
"Login/Registration Before","הכנס/הרשם לפני"
"Manage Terms and Conditions","נהל תנאים"
"Maximum Display Recently Added Item(s)","מספר פריטים מקסימלי לתצוגה של פריטים שנוספו לאחרונה"
"Maximum qty allowed for Shipping to multiple addresses is %s","כמות מקסימלית מורשית למשלוח המפוצל לכמה כתובות הינה %s"
"Minimum order amount is %s","סכום הזמנה מינימלי הינו %s"
"Move","העבר"
"Move to Wishlist","עבור לרשימת החלומות"
"Multishipping Checkout","צ'ק אאוט רב משלוחי"
"Multishipping Checkout Address (Any) Form","טופס כתובת צ'ק אאוט רב משלוחי"
"Multishipping Checkout Billing Address Creation","יצירת כתובת חיוב צ'ק אאוט רב משלוחי"
"Multishipping Checkout Billing Address Edit Form","עריכת טופס כתובת חיוב צ'ק אאוט רב משלוחי"
"Multishipping Checkout Billing Address Selection","בחירת כתובת חיוב צ'ק אאוט רב משלוחי"
"Multishipping Checkout Billing Information Step","שלב פרטי חיוב צ'ק אאוט רב משלוחי"
"Multishipping Checkout Customer Address Edit Form","טופס עריכת כתובת לקוח צ'ק אאוט רב משלוחי"
"Multishipping Checkout Overview","סקירת צ'ק אאוט רב משלוחי"
"Multishipping Checkout Shipping Address Creation","יצירת כתובת משלוח צ'ק אאוט רב משלוחי"
"Multishipping Checkout Shipping Address Edit Form","עריכת טופס כתובת משלוח צ'ק אאוט רב משלוחי"
"Multishipping Checkout Shipping Address Selection","בחירת כתובת משלוח צ'ק אאוט רב משלוחי"
"Multishipping Checkout Shipping Information Step","שלב פרטי משלוח צ'ק אאוט רב משלוחי"
"Multishipping Checkout Success","צ'ק אאוט רב משלוחי מוצלח"
"My Cart","עגלת הקניות שלי"
"My Cart (%s item)","העגלה שלי (%s פריט)"
"My Cart (%s items)","העגלה שלי (%s פריטים)"
"My Cart Link","קישור לעגלה שלי"
"New Address","כתובת חדשה"
"New Condition","תנאי חדש"
"New Terms and Conditions","תנאים חדשים"
"No Payment Methods","אין אמצעי תשלום"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","סכום ההזמנה יוצג לפני סגירת ההזמנה"
"One Page Checkout","צ'ק אאוט בדף אחד"
"One Page Checkout Failure","שגיאה בצ'ק אאוט בדף אחד"
"One Page Checkout Overview","סקירת צ'ק אאוט בדף אחד"
"One Page Checkout Success","צ'ק אאוט בדף אחד מוצלח"
"One item of products do not have identifier or sku","מוצר או פריט אחד ללא קוד מוצר או מק""ט"
"One item of products is not belong any of quote item","פריט או מוצר לא שייכים לפריט שנבחר"
"Order #","מס' הזמנה"
"Order Review","סקירת ההזמנה"
"Order Success","ההזמנה בוצעה בהצלחה"
"Order place error.","שגיאה בביצוע הזמנה"
"Other Items in Your Order","פריטים נוספים בהזמנה"
"Overview Items After","סקור פריטים אחרי"
"Password","סיסמא"
"Payment Failed Email Reciever","יעד דוא""ל תשלום נכשל"
"Payment Failed Email Sender","מקור דוא""ל תשלום נכשל"
"Payment Failed Emails","דוא""ל תשלומים שנכשלו"
"Payment Failed Template","תבנית תשלום שנכשל"
"Payment Information","שיטת התשלום"
"Payment Method","שיטת התשלום"
"Payment Methods After Checkout Button","שיטות תשלום אחרי כפתור צ'ק אאוט"
"Payment Methods Before Checkout Button","שיטות תשלום לפני כפתור צ'ק אאוט"
"Payment method information","פרטי שיטות תשלום"
"Payment method is not defined","שיטת תשלום לא מוגדרת"
"Payment methods in shopping cart","שיטות תשלום בעגלת קניות"
"Payment profile # %s: ""%s"".","פרופיל תשלום # %s: ""%s""."
"Place Order","בצע הזמנה"
"Please agree to all Terms and Conditions before placing the order.","אנא אשר את תקנון השימוש לפני ביצוע ההזמנה."
"Please agree to all Terms and Conditions before placing the orders.","אנא אשר את תקנון השימוש לפני ביצוע ההזמנות."
"Please agree to all the terms and conditions before placing the order.","אנא אשר את תקנון השימוש לפני ביצוע ההזמנות."
"Please check billing address information.","נא לבדוק את סעיפי כתובת החיוב."
"Please check shipping address information.","נא לבדוק את סעיפי כתובת המשלוח."
"Please check shipping addresses information.","נא לבדוק את סעיפי כתובות המשלוח."
"Please choose to register or to checkout as a guest","נא לבחור להירשם או לצאת כאורחת"
"Please log in below:","אנא התחבר (בתחתית):"
"Please select region, state or province","בחר איזור, מדינה או מחוז"
"Please select shipping address for applicable items","אנא בחר כתובת למשלוח עבור פריט ישים"
"Please select shipping methods for all addresses","אנא בחר שיטות משלוח לכל הכתובות"
"Please select valid payment method.","נא לבחור אמצעי תשלום תקף."
"Please specify payment method.","נא לפרט אמצעי תשלום."
"Please specify shipping method.","נא לפרט אמצעי משלוח."
"Please specify shipping methods for all addresses.","נא לפרט אמצעי משלוח לכל הכתובות."
"Price","מחיר"
"Proceed to Checkout","המשך לקופה"
"Product","מוצר"
"Product Name","תאור"
"Products","מוצרים"
"Qty","כמות"
"Qty:","כמות:"
"Quantity was recalculated from %d to %d","הכמות הוקטנה מ %d ל %d"
"Quote Lifetime (days)","תוקף הצעת מחיר (ימים)"
"Quote item does not exist.","פריט נקוב לא קיים"
"Quote item is not found.","לא ניתן למצוא פריט נקוב"
"Recently added item(s)","פריט(ים) שהוספו לאחרונה"
"Register","הירשם"
"Register and save time!","הירשם וחסוך זמן!"
"Register to Create an Account","הרשם כדי ליצור חשבון"
"Register with us for future convenience:","הרשם לשירות שלנו למען נוחיותך בעתיד:"
"Remove Item","הסר"
"Remove This Item","הסר פריט זה"
"Remove coupon code from shopping cart","הסר קוד קופון מעגלת קניות"
"Remove item","הסר"
"Remove product from shopping cart","הסר מוצר מעגלת קניות"
"Remove product(s) from shopping cart","הסר מוצר(ים) מעגלת קניות"
"Require Customer To Be Logged In To Checkout","דרישת לקוח להיות מחובר למערכת בכדי לצאת."
"Retrieve information about shopping cart","אחזר מידע אודות עגלת קניות"
"Review Order","סקור ההזמנה"
"Review Order - %s","צפה בהזמנה - %s"
"Sales","מכירות"
"Save Condition","שמור תנאי"
"Save in address book","שמור בספר הכתובות"
"See price before order confirmation.","הצג מחיר לפני אישור ההזמנה."
"Select Address","בחר כתובת"
"Select Addresses","בחר כתובות"
"Select Shipping Method","בחר שיטת המשלוח"
"Select State/Province...","בחר אזור\מחוז..."
"Select a billing address from your address book or enter a new address.","בחר כתובת למשלוח מספר הכתובת שלך או שהכנס <a href=""#"" onclick=""billing.newAddress(true); return false;"">כתובת חדשה</a>."
"Select a shipping address from your address book or enter a new address.","בחר כתובת למשלוח מספר הכתובות או הזן <a href=""#"" onclick=""shipping.newAddress(true); return false;"">כתובת חדשה</a>."
"Send Payment Failed Email Copy Method","שיטת העתקת דוא""ל נכשל שליחת תשלום"
"Send Payment Failed Email Copy To","העתק ל- דוא""ל נכשל שליחת תשלום"
"Send To","שלח ליעד"
"Separate by "","".","הפרד על ידי "",""."
"Set customer for shopping cart","הגדר לקוח לעגלת קניות"
"Set customer's addresses in shopping cart","הגדר כתובת של לקוח בעגלת קניות"
"Set payment method","הגדר שיטות תשלום"
"Set shipping method","הגדר שיטות משלוח"
"Ship to Multiple Addresses","משלוח למספר כתובות"
"Ship to different address","שלח לכתובת שונה"
"Ship to this address","שלח לכתובת זו"
"Shipping Address","כתובת למשלוח"
"Shipping Information","אופן המשלוח"
"Shipping Method","שיטת שילוח"
"Shipping Methods","שיטות המשלוח"
"Shipping To","משלוח ליעד"
"Shipping information","אופן משלוח"
"Shipping method has not been selected yet","שיטת המשלוח עדיין לא נבחרה"
"Shipping methods in shopping cart","שיטות משלוח בעגלת קניות"
"Shipping selection is not applicable.","לא ניתן לבחור שיטת משלוח זאת"
"Shopping Cart","סל קניות"
"Shopping Cart Form Before","טופס עגלת קניות לפני"
"Shopping Cart Sidebar","תפריט צד של עגלת קניות"
"Shopping Cart Sidebar Extra Actions","פעולות נוספות בתפריט צד של עגלת קניות"
"Shopping Cart is Empty","סל הקניות ריק"
"Shopping cart ability to set coupon code","יכולת עגלת קופון להתאים לקוד קופון"
"Show Content as","הראה תוכן כ"
"Some of the requested products are not available in the desired quantity.","אין כמות במלאי של חלק מהפריטים שנבחרו"
"Some of the requested products are unavailable.","חלק מהמוצרים הנבחרים לא קיימים"
"Some products quantities were recalculated because of quantity increment mismatch","חלק מהכמויות של המוצרים חושבו מחדש עקב חוסר התאמה בהגדלת הכמויות"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","מצטערים, לא ניתן לבצע רכישות ללא הרשמה. אנא נסה שנית, או פנה למנהל האתר."
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"State/Province","מדינה/מחוז"
"Status","מצב"
"Store View","תצוגת חנות"
"Street Address","כתובת רחוב"
"Street Address %s","כתובת רחוב %s"
"Submitting order information...","שולח מידע על ההזמנה..."
"Subtotal","סיכום ביניים:"
"Subtotal must exceed minimum order amount","סכום ביניים צריך להיות רב מכמות ההזמנה."
"Telephone","טלפון"
"Terms and Conditions","תקנון שימוש"
"Terms and Conditions Information","מידע תקנון שימוש"
"Terms and conditions","תקנון שימוש"
"Text","טקסט"
"Thank you for your purchase!","אנו מודים על הזמנתך!"
"The condition has been deleted","התנאי נמחק בהצלחה"
"The condition has been saved.","התנאי נשמר בהצלחה"
"The onepage checkout is disabled.","תהליך צ'ק אאוט בדף אחד הושהה"
"The product could not be found.","המוצר לא נמצא"
"The product does not exist.","המוצר לא קיים"
"There are <a href=""%s"">%s items</a> in your cart.","קיימים <a href=""%s"">%s פריטים</a>בעגלת הקניות."
"There is <a href=""%s"">1 item</a> in your cart.","יש <a href=""%s"">פריט</a> בעגלת הקניות."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","כתובת הדואר שעמה ביקשת להירשם תפוסה. נסה כתובת אחרת."
"There was an error processing your order. Please contact us or try again later.","ארעה שגיאה במהלך עיבוד ההזמנה. צור עמנו קשר או נסה שנית בזמן הקרוב."
"This condition no longer exists.","תנאי זה לא קיים"
"Total","סה""כ"
"Total for this address","סה""כ לכתובת הנבחרת"
"Unable to set Payment Method.","לא ניתן להגדיר שיטות תשלום"
"Unit Price","מחיר ליחידה"
"Update Cart","עדכן עגלת קניות"
"Update Qty &amp; Addresses","עדכון כמות וכתובות"
"Update Shopping Cart","עדכן את סל הקניות"
"Update Total","עדכן סה""כ"
"Update product quantities in shopping cart","עדכן כמות מוצרים בעגלת הקניות"
"Update product(s) quantities in shopping cart","עדכן כמות מוצרים בעגלת הקניות"
"Use Billing Address","השתמש בכתובת שהוזנה בחיוב"
"VAT Number","מספר מע""מ"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","הזמנתך התקבלה ובקרוב תקבל אישור עם פרטי ההזמנה למייל שהגדרת. <br/>כשהמשלוח יצא, תקבל מייל נוסף ובו קישור למעקב אודות התקדמות המשלוח."
"What's this?","מה זה?"
"You have no items in your shopping cart.","סל הקניות שלכם ריק, מוזנח ומסכן.<br/>הוסיפו אליו מוצרים שאתם אוהבים והחזירו אותו לחיים!"
"You will receive an order confirmation email with details of your order and a link to track its progress.","אישור הזמנה ישלח לכתובת האימייל שצויינה ובה קישור למעקב אחר התקדמות ההזמנה."
"Your Checkout Progress","התקדמות התשלום שלך"
"Your billing agreement # is: %s.","הסכם החיוב שלך הוא: #  %s."
"Your order # is: %s.","ההזמנה שלך: #  %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","הזמנתך אינה יכולה להתבצע בשעה זו עקב חוסר אמצעי תשלום זמינים לו."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","הזמנתך אינה יכולה להתבצע בשעה זו עקב חוסר אמצעי תשלום זמינים לו. אנא בצע שינויים נדרשים בכתובת המשלוח."
"Your order has been received.","הזמנתך התקבלה."
"Your order number is ","מספר ההזמנה שלך הוא"
"Your recurring payment profiles:","פרופיל התשלום החוזר שלך הוא:"
"Zip/Postal Code","מיקוד"
